"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00093807","1899-06","36.13361","-80.22222","295.7","WINSTON SALEM REYNOLDS AIRPORT, NC US","","","","","194.5",",0","9",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","18",",0","","","","","","","10.0",",0,19,","0",",,0,30,+","0",",,0,30,+","22.1",",,0,13,","36.7",",0,08,+","","","0.0",",0","78.1",",,,0","0",",,,0","24.82",",0","31.25",",,,0","18.38",",,,0","","","","","","","","","","","",""
"USW00093807","1900-07","36.13361","-80.22222","295.7","WINSTON SALEM REYNOLDS AIRPORT, NC US","","","","","261.0",",0","5",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","20",",0","","","","","","","13.3",",0,10,","0",",,0,31,+","0",",,0,31,+","51.3",",,0,26,","37.8",",0,20,","0.0","","0.0",",0","73.6",",,,0","0",",,,0","26.75",",0","33.28",",,,0","20.22",",,,0","","","","","","","","","","","",""
"USW00093807","1904-01","36.13361","-80.22222","295.7","WINSTON SALEM REYNOLDS AIRPORT, NC US","","","0.0","0","0.0",",0","","","","","","","","","","","0",",0","27",",0","6",",0","0",",0","0",",0","","","","","","","-15.6",",0,30,","","","","","","","16.1",",0,21,","","","545.6",",0","","","","","0.73",",0","5.80",",,,0","-4.34",",,,0","","","","","","","","","","","",""
"USW00093807","1904-02","36.13361","-80.22222","295.7","WINSTON SALEM REYNOLDS AIRPORT, NC US","","","0.0","0","0.0",",0","7",",0","6",",0","2",",0","0",",0","2",",0","0",",0","23",",0","2",",0","0",",0","0",",0","","","","","","","-15.0",",0,02,","0",",,0,29,+","51",",,0,10,","33.5",",,0,21,","19.4",",0,07,","","","470.8",",0","98.5",",,,0","76",",,,0","2.10",",0","7.23",",,,0","-3.04",",,,0","","","","","","","","","","","",""
"USW00093807","1904-03","36.13361","-80.22222","295.7","WINSTON SALEM REYNOLDS AIRPORT, NC US","","","0.0","0","0.0",",0","13",",0","8",",0","1",",0","0",",0","0",",0","0",",0","12",",0","0",",0","7",",0","0",",0","","","","","","","-5.0",",0,05,","0",",,0,31,+","0",",,0,31,+","38.4",",,0,23,","24.4",",0,20,","","","280.6",",0","100.4",",,,0","0",",,,0","9.28",",0","15.44",",,,0","3.12",",,,0","","","","","","","","","","","",""
"USW00093807","1904-04","36.13361","-80.22222","295.7","WINSTON SALEM REYNOLDS AIRPORT, NC US","","","9.7","0","9.7","1,0","6",",0","4",",0","0",",0","0","3,0","0","2,0","0",",0","5",",0","0","1,0","9","1,0","0","1,0","","","","","","","-3.3",",0,21,","0","3,,0,30,+","0","2,,0,30,+","14.7",",,0,26,","28.9","1,0,25,","","","187.5","1,0","36.0",",,,0","0","2,,,0","12.28","1,0","18.36","1,,,0","6.20",",,,0","","","","","","","","","","","",""
"USW00093807","1904-05","36.13361","-80.22222","295.7","WINSTON SALEM REYNOLDS AIRPORT, NC US","","","60.3","0","50.6",",0","5",",0","5",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","0",",0","","","","","","","5.0",",0,12,","0",",,0,31,+","0",",,0,31,+","61.0",",,0,17,","31.7",",0,24,","","","31.1",",0","125.8",",,,0","0",",,,0","18.96",",0","25.23",",,,0","12.69",",,,0","","","","","","","","","","","",""
"USW00093807","1904-06","36.13361","-80.22222","295.7","WINSTON SALEM REYNOLDS AIRPORT, NC US","","","202.9","0","142.6",",0","9",",0","8",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","6",",0","","","","","","","10.0",",0,12,","0",",,0,30,+","0",",,0,30,+","41.9",",,0,28,","34.4",",0,05,","","","8.4",",0","156.2",",,,0","0",",,,0","22.81",",0","28.29",",,,0","17.32",",,,0","","","","","","","","","","","",""
"USW00093807","1904-07","36.13361","-80.22222","295.7","WINSTON SALEM REYNOLDS AIRPORT, NC US","","","386.6","0","183.7",",0","11",",0","8",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","6",",0","","","","","","","15.0",",0,03,","0",",,0,31,+","0",",,0,31,+","61.0",",,0,23,","35.0",",0,19,","0.0","0","0.0",",0","125.3",",,,0","0",",,,0","24.26",",0","29.47",",,,0","19.05",",,,0","","","","","","","","","","","",""
"USW00093807","1904-08","36.13361","-80.22222","295.7","WINSTON SALEM REYNOLDS AIRPORT, NC US","","","547.8","0","161.2",",0","9",",0","4",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","3",",0","","","","","","","11.1",",0,29,","0",",,0,31,+","0",",,0,31,+","73.7",",,0,31,","33.3",",0,22,","0.0","0","0.0",",0","165.9",",,,0","0",",,,0","23.53",",0","28.44",",,,0","18.63",",,,0","","","","","","","","","","","",""
