"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00093743","1980-10","34.68333","-77.03333","6.4","SWANSBORO BOGUE FIELD MCAF, NC US","","","","","25.1","1,X","7","1,X","6","1,X","0","1,X","0","1,X","0","1,X","0","1,X","0","1,X","0","1,X","21","1,X","0","1,X","","","","","","","4.4","1,X,27,+","0","1,,X,31,+","0","1,,X,31,+","17.5","1,,X,30,+","26.7","1,X,10,","","","70.9","1,X","62.9","1,,,X","0","1,,,X","16.81","1,X","21.96","1,,,X","11.65","1,,,X","","","","","270","1,X","","","","","15.9","1,X"
"USW00093743","1981-02","34.68333","-77.03333","6.4","SWANSBORO BOGUE FIELD MCAF, NC US","","","","","0.0","3,X","6","3,X","5","3,X","0","3,X","0","3,X","0","3,X","0","3,X","9","3,X","0","3,X","0","3,X","0","3,X","","","","","","","-8.9","3,X,04,","0","3,,X,28,+","0","3,,X,28,+","22.9","3,,X,02,","19.4","3,X,18,+","","","266.6","3,X","52.9","3,,,X","0","3,,,X","7.67","3,X","13.25","3,,,X","2.09","3,,,X","","","","","190","3,X","","","","","17.5","3,X"
"USW00093743","1996-12","34.68333","-77.03333","6.4","SWANSBORO BOGUE FIELD MCAF, NC US","","","","","0.0","1,M","","","","","","","","","","","0","1,M","6","1,M","0","1,M","2","1,M","0","1,M","","","","","","","-5.6","1,M,21,","","","","","","","21.7","1,M,30,","","","255.7","1,M","","","","","9.81","1,M","14.78","1,,,M","4.83","1,,,M","","","","","","","","","","","",""
"USW00093743","1997-01","34.68333","-77.03333","6.4","SWANSBORO BOGUE FIELD MCAF, NC US","","","0.0","M","0.0",",M","","","","","","","","","","","0",",M","10",",M","1",",M","0",",M","0",",M","","","","","","","-9.4",",M,19,","","","","","","","19.4",",M,16,","","","352.4",",M","","","","","6.96",",M","11.84",",,,M","2.09",",,,M","","","","","","","","","","","",""
"USW00093743","1997-02","34.68333","-77.03333","6.4","SWANSBORO BOGUE FIELD MCAF, NC US","","","0.0","M","0.0",",M","","","","","","","","","","","0",",M","5",",M","0",",M","1",",M","0",",M","","","","","","","-1.7",",M,10,","","","","","","","21.1",",M,03,","","","246.1",",M","","","","","9.54",",M","14.17",",,,M","4.91",",,,M","","","","","","","","","","","",""
"USW00093743","1997-03","34.68333","-77.03333","6.4","SWANSBORO BOGUE FIELD MCAF, NC US","","","3.1","M","3.1",",M","","","","","","","","","","","0",",M","0",",M","0",",M","10",",M","0",",M","","","","","","","0.6",",M,17,","","","","","","","26.7",",M,22,","","","150.5",",M","","","","","13.58",",M","18.82",",,,M","8.34",",,,M","","","","","","","","","","","",""
"USW00093743","1997-04","34.68333","-77.03333","6.4","SWANSBORO BOGUE FIELD MCAF, NC US","","","7.3","M","4.2","1,M","","","","","","","","","","","0","1,M","0","1,M","0","1,M","7","1,M","0","1,M","","","","","","","1.1","1,M,10,","","","","","","","23.9","1,M,06,","","","114.6","1,M","","","","","14.53","1,M","19.65","1,,,M","9.40","1,,,M","","","","","","","","","","","",""
"USW00093743","1997-06","34.68333","-77.03333","6.4","SWANSBORO BOGUE FIELD MCAF, NC US","","","","","132.0",",M","","","","","","","","","","","0",",M","0",",M","0",",M","27",",M","0",",M","","","","","","","10.0",",M,05,","","","","","","","30.6",",M,26,+","","","12.5",",M","","","","","22.32",",M","26.21",",,,M","18.42",",,,M","","","","","","","","","","","",""
"USW00093743","1997-07","34.68333","-77.03333","6.4","SWANSBORO BOGUE FIELD MCAF, NC US","","","","","234.0",",M","","","","","","","","","","","0",",M","0",",M","0",",M","31",",M","2",",M","","","","","","","16.7",",M,13,","","","","","","","32.8",",M,14,+","0.0","M","0.0",",M","","","","","25.88",",M","29.68",",,,M","22.08",",,,M","","","","","","","","","","","",""
"USW00093743","1997-08","34.68333","-77.03333","6.4","SWANSBORO BOGUE FIELD MCAF, NC US","","","","","209.5",",M","","","","","","","","","","","0",",M","0",",M","0",",M","31",",M","2",",M","","","","","","","16.1",",M,08,","","","","","","","32.8",",M,29,+","0.0","M","0.0",",M","","","","","25.09",",M","29.40",",,,M","20.78",",,,M","","","","","","","","","","","",""
