"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA00220KLML","1997-09","61.1833","-115.3167","156.0","GREAT SLAVE LAKE BUOY, NT CA","","","","","","","","","0","2,C","0","2,C","0","2,C","","","","","18.3","2,C,02,+","","","","","","","13.15","2,,,C","",""
"CA00220KLML","1998-08","61.1833","-115.3167","156.0","GREAT SLAVE LAKE BUOY, NT CA","","","0",",","","","","","","","","","","","","","0",",,C,31,+","","","","","","","","","","","",""
"CA00220KLML","1999-06","61.1833","-115.3167","156.0","GREAT SLAVE LAKE BUOY, NT CA","19.2",",C","0",",","0",",C","0",",C","0",",C","7",",C","0",",C","0.3",",C,10,+","0",",,C,30,+","29.9",",C,19,","","","193.2",",C","12.53",",C","17.45",",,,C","7.61",",,,C"
"CA00220KLML","1999-08","61.1833","-115.3167","156.0","GREAT SLAVE LAKE BUOY, NT CA","0.2",",C","","","0",",C","0",",C","0",",C","0",",C","0",",C","7.7",",C,31,","","","20.0",",C,04,","","","109.5",",C","14.80",",C","16.42",",,,C","13.19",",,,C"
"CA00220KLML","1999-09","61.1833","-115.3167","156.0","GREAT SLAVE LAKE BUOY, NT CA","0.0",",C","0",",","0",",C","0",",C","0",",C","0",",C","0",",C","1.1",",C,29,","0",",,C,30,+","16.4",",C,04,","","","242.2",",C","10.26",",C","12.00",",,,C","8.52",",,,C"
"CA00220KLML","2000-08","61.1833","-115.3167","156.0","GREAT SLAVE LAKE BUOY, NT CA","2.7",",C","0",",","0",",C","0",",C","0",",C","0",",C","0",",C","6.1",",C,31,","0",",,C,31,+","20.7",",C,02,","","","146.6",",C","13.69",",C","15.14",",,,C","12.24",",,,C"
"CA00220KLML","2000-09","61.1833","-115.3167","156.0","GREAT SLAVE LAKE BUOY, NT CA","0.0",",C","0",",","0",",C","3",",C","0",",C","0",",C","0",",C","-4.9",",C,26,","0",",,C,30,+","16.5",",C,07,","","","321.9",",C","7.60",",C","9.88",",,,C","5.32",",,,C"
"CA00220KLML","2001-07","61.1833","-115.3167","156.0","GREAT SLAVE LAKE BUOY, NT CA","2.4",",C","0",",","0",",C","0",",C","0",",C","1",",C","0",",C","6.2",",C,07,","0",",,C,31,+","22.1",",C,25,","131.9","","131.9",",C","14.16",",C","16.01",",,,C","12.30",",,,C"
"CA00220KLML","2001-08","61.1833","-115.3167","156.0","GREAT SLAVE LAKE BUOY, NT CA","2.1",",C","0",",","0",",C","0",",C","0",",C","1",",C","0",",C","8.0",",C,21,","0",",,C,31,+","23.0",",C,17,","253.2","","121.3",",C","14.49",",C","15.93",",,,C","13.04",",,,C"
"CA00220KLML","2001-09","61.1833","-115.3167","156.0","GREAT SLAVE LAKE BUOY, NT CA","0.0",",C","0",",","0",",C","1",",C","0",",C","0",",C","0",",C","0.0",",C,30,","0",",,C,30,+","16.7",",C,02,","461.8","","208.6",",C","11.38",",C","12.87",",,,C","9.89",",,,C"
