"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","HN01","HN01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00394960","1963-09","45.86667","-102.85","798.6","LODGEPOLE 10 NW, SD US","6",",0","6",",0","0",",0","0",",0","0",",0","","","4","","0",",,0,30,+","0",",,0,30,+","17.8",",,0,19,","","","","","","","50.3",",,,0","0",",,,0"
"USC00394960","1963-10","45.86667","-102.85","798.6","LODGEPOLE 10 NW, SD US","2",",0","1",",0","0",",0","0",",0","0",",0","","","","","0",",,0,31,+","0",",,0,31,+","8.9",",,0,28,","","","","","","","10.9",",,,0","0",",,,0"
"USC00394960","1963-12","45.86667","-102.85","798.6","LODGEPOLE 10 NW, SD US","7",",0","0",",0","0",",0","15",",0","2",",0","","","","","76",",,0,22,","25",",,0,16,+","1.0",",,0,07,","","","","","","","4.7",",,,0","76",",,,0"
"USC00394960","1964-02","45.86667","-102.85","798.6","LODGEPOLE 10 NW, SD US","3",",0","0",",0","0",",0","2",",0","0",",0","","","","","25",",,0,02,+","13",",,0,07,","0.8",",,0,07,","","","","","","","1.6",",,,0","13",",,,0"
"USC00394960","1964-03","45.86667","-102.85","798.6","LODGEPOLE 10 NW, SD US","2",",0","1",",0","0",",0","4",",0","1",",0","","","","","51",",,0,24,+","51",",,0,23,","4.1",",,0,23,","","","","","","","4.6",",,,0","51",",,,0"
"USC00394960","1964-04","45.86667","-102.85","798.6","LODGEPOLE 10 NW, SD US","4",",0","3",",0","0",",0","3",",0","2",",0","","","1","","127",",,0,06,","76",",,0,06,","10.2",",,0,27,","","","","","","","24.7",",,,0","127",",,,0"
"USC00394960","1964-05","45.86667","-102.85","798.6","LODGEPOLE 10 NW, SD US","6",",0","3",",0","0",",0","0",",0","0",",0","","","3","","0",",,0,31,+","0",",,0,31,+","24.4",",,0,02,","","","","","","","43.1",",,,0","0",",,,0"
"USC00394960","1964-06","45.86667","-102.85","798.6","LODGEPOLE 10 NW, SD US","11",",0","9",",0","2",",0","0",",0","0",",0","","","13","","0",",,0,30,+","0",",,0,30,+","33.0",",,0,11,+","","","","","","","138.5",",,,0","0",",,,0"
"USC00394960","1964-10","45.86667","-102.85","798.6","LODGEPOLE 10 NW, SD US","2",",0","1",",0","0",",0","0",",0","0",",0","","","","","0",",,0,31,+","0",",,0,31,+","5.8",",,0,17,","","","","","","","6.1",",,,0","0",",,,0"
"USC00394960","1964-12","45.86667","-102.85","798.6","LODGEPOLE 10 NW, SD US","8",",0","1",",0","0",",0","31",",0","2",",0","","","","","229",",,0,31,+","51",",,0,15,","3.6",",,0,15,","","","","","","","11.5",",,,0","141",",,,0"
"USC00394960","1965-01","45.86667","-102.85","798.6","LODGEPOLE 10 NW, SD US","10",",0","3",",0","0",",0","31",",0","7",",0","","","","","305",",,0,31,","51",",,0,31,+","5.1",",,0,31,","","","","","","","20.5",",,,0","253",",,,0"
"USC00394960","1965-03","45.86667","-102.85","798.6","LODGEPOLE 10 NW, SD US","6",",0","3",",0","0",",0","31",",0","5",",0","","","","","152",",,0,28,","76",",,0,28,+","6.9",",,0,28,","","","","","","","19.4",",,,0","227",",,,0"
"USC00394960","1965-04","45.86667","-102.85","798.6","LODGEPOLE 10 NW, SD US","6",",0","6",",0","0",",0","2",",0","4",",0","","","2","","51",",,0,16,+","152",",,0,23,","12.2",",,0,10,","","","","","","","57.0",",,,0","355",",,,0"
