"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00053989","2006-06","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","4.4",",W","","","269.8","2,W","","","","","","","0","2,W","0","2,W","0","2,W","28","2,W","24","2,W","18","","15.0","2,W,26,","","","40.6","2,W,30,+","","","0.0","2,W","","","27.97","2,W","35.86","2,,,W","20.08","2,,,W","260",",W","270",",W","15.7",",W","19.7",",W"
"USW00053989","2006-07","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","4.4","1,W","","","","","","","","","","","","","","","","","","","","","8","","","","","","","","","","","","","","","","","","","","200","1,W","210","1,W","16.5","1,W","22.8","1,W"
"USW00053989","2006-08","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","3.8",",W","","","262.0","5,W","21","1,W","12","1,W","0","1,W","0","5,W","0","5,W","0","5,W","26","5,W","20","5,W","12","","16.1","5,W,30,","13.2","1,,W,03,","42.8","5,W,05,","","","0.0","5,W","91.1","1,,,W","28.41","5,W","35.06","5,,,W","21.76","5,,,W","10",",W","360",",W","17.9",",W","25.0",",W"
"USW00053989","2006-09","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","4.1",",W","","","84.5",",W","","","","","","","0",",W","0",",W","0",",W","29",",W","5",",W","6","","6.1",",W,28,","","","36.7",",W,16,","","","17.3",",W","","","20.57",",W","27.11",",,,W","14.04",",,,W","130",",W","160",",W","16.1",",W","20.1",",W"
"USW00053989","2006-10","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","4.4",",W","","","39.7",",W","8",",W","3",",W","1",",W","0",",W","7",",W","0",",W","13",",W","3",",W","2","","-2.7",",W,23,","27.7",",,W,25,","37.2",",W,03,","","","176.8",",W","48.1",",,,W","13.91",",W","20.53",",,,W","7.29",",,,W","330",",W","360",",W","11.6",",W","16.1",",W"
"USW00053989","2006-11","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","4.5",",W","","","2.0",",W","4",",W","1",",W","0",",W","0",",W","9",",W","1",",W","6",",W","0",",W","2","","-8.2",",W,30,","3.6",",,W,28,","30.6",",W,08,","","","298.6",",W","6.2",",,,W","8.45",",W","15.19",",,,W","1.70",",,,W","180",",W","10",",W","13.9",",W","17.0",",W"
"USW00053989","2006-12","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","4.4",",W","","","0.0",",W","5",",W","4",",W","0",",W","0",",W","20",",W","2",",W","0",",W","0",",W","","","-12.7",",W,07,","20.1",",,W,30,","20.0",",W,14,","","","429.6",",W","45.3",",,,W","4.48",",W","10.59",",,,W","-1.64",",,,W","360",",W","360",",W","13.0",",W","16.5",",W"
"USW00053989","2007-01","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","4.6",",W","0.0","W","0.0",",W","4",",W","3",",W","0",",W","1",",W","29",",W","9",",W","0",",W","0",",W","","","-18.2",",W,16,","8.6",",,W,20,","16.7",",W,11,","","","602.4",",W","16.0",",,,W","-1.10",",W","4.19",",,,W","-6.39",",,,W","200",",W","200",",W","14.8",",W","18.3",",W"
"USW00053989","2007-02","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","5.0","1,W","0.0","W","0.0","1,W","3","1,W","2","1,W","0","1,W","1","1,W","20","1,W","9","1,W","1","1,W","0","1,W","2","","-18.2","1,W,14,","16.8","1,,W,12,","22.2","1,W,23,","","","491.4","1,W","31.5","1,,,W","0.13","1,W","6.17","1,,,W","-5.91","1,,,W","310","1,W","320","1,W","17.0","1,W","20.6","1,W"
"USW00053989","2007-03","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","5.4",",W","19.5","W","19.5",",W","10",",W","6",",W","1",",W","0",",W","9",",W","0",",W","15",",W","0",",W","7","","-7.1",",W,04,","32.3",",,W,30,","28.3",",W,25,","","","190.5",",W","64.3",",,,W","12.82",",W","19.29",",,,W","6.35",",,,W","190",",W","310",",W","15.7",",W","21.0",",W"
"USW00053989","2007-04","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","5.2",",W","37.3","W","17.8",",W","9",",W","4",",W","0",",W","0",",W","5",",W","0",",W","16",",W","1",",W","3","","-8.2",",W,08,","21.3",",,W,10,","32.8",",W,29,","","","193.1",",W","50.3",",,,W","12.49",",W","19.11",",,,W","5.87",",,,W","200",",W","210",",W","16.5",",W","20.1",",W"
"USW00053989","2007-05","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","4.6",",W","122.7","W","85.4",",W","17",",W","10",",W","4",",W","0",",W","0",",W","0",",W","28",",W","4",",W","9","","8.9",",W,16,","117.9",",,W,06,","32.2",",W,14,+","","","7.6",",W","340.8",",,,W","20.84",",W","26.35",",,,W","15.33",",,,W","260",",W","270",",W","16.1",",W","20.1",",W"
"USW00053989","2007-06","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","4.4",",W","295.8","W","173.1","1,W","9",",W","5",",W","1",",W","0","1,W","0","1,W","0","1,W","29","1,W","12","1,W","8","","10.6","1,W,08,","34.8",",,W,18,","33.9","1,W,25,+","","","0.5","1,W","63.8",",,,W","24.28","1,W","29.96","1,,,W","18.61","1,,,W","180",",W","200",",W","17.4",",W","21.5",",W"
"USW00053989","2007-07","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","3.7",",W","568.3","W","272.5","2,W","7",",W","6",",W","0",",W","0","2,W","0","2,W","0","2,W","29","2,W","21","2,W","14","","18.3","2,W,11,","21.8",",,W,12,","37.2","2,W,26,+","0.0","W","0.0","2,W","60.1",",,,W","27.73","2,W","33.57","2,,,W","21.90","2,,,W","350",",W","350",",W","16.1",",W","19.7",",W"
"USW00053989","2007-08","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","4.7",",W","927.5","W","359.2","1,W","9",",W","3",",W","0",",W","0","1,W","0","1,W","0","1,W","30","1,W","26","1,W","12","","18.3","1,W,31,","24.6",",,W,24,","42.2","1,W,15,+","0.0","W","0.0","1,W","49.0",",,,W","30.31","1,W","36.78","1,,,W","23.84","1,,,W","250",",W","260",",W","14.8",",W","18.3",",W"
"USW00053989","2007-09","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","4.9",",W","1085.8","W","158.3",",W","8",",W","5",",W","0",",W","0",",W","0",",W","0",",W","28",",W","11",",W","7","","9.4",",W,15,+","23.6",",,W,18,","37.2",",W,06,","13.1","W","13.1",",W","58.3",",,,W","23.18",",W","29.87",",,,W","16.48",",,,W","250",",W","290",",W","17.4",",W","23.3",",W"
"USW00053989","2007-10","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","4.9",",W","1129.8","W","44.0",",W","10",",W","8",",W","1",",W","0",",W","0",",W","0",",W","20",",W","3",",W","6","","2.8",",W,25,","52.6",",,W,14,","35.0",",W,05,","96.8","W","83.7",",W","120.3",",,,W","17.05",",W","23.69",",,,W","10.41",",,,W","180",",W","200",",W","13.9",",W","16.5",",W"
"USW00053989","2007-11","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","4.3","3,W","1132.3","W","2.5","3,W","0","3,W","0","3,W","0","3,W","0","3,W","10","3,W","0","3,W","7","3,W","0","3,W","","","-7.7","3,W,22,","0.0","3,T,W,23,+","27.2","3,W,19,","344.3","W","247.5","3,W","0.0","3,T,,W","9.26","3,W","16.54","3,,,W","1.97","3,,,W","360","3,W","10","3,W","13.9","3,W","19.7","3,W"
"USW00053989","2007-12","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","3.5",",W","1132.3","W","0.0",",W","10",",W","5",",W","2",",W","0",",W","29",",W","7",",W","0",",W","0",",W","","","-14.3",",W,16,","33.3",",,W,11,","18.9",",W,01,","925.0","W","580.7",",W","79.5",",,,W","-0.40",",W","4.55",",,,W","-5.35",",,,W","","","","","","","",""
"USW00053989","2008-02","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","4.8","1,W","","","0.0","1,W","4","1,W","3","1,W","0","1,W","0","1,W","24","1,W","5","1,W","0","1,W","0","1,W","","","-11.6","1,W,20,","12.7","1,,W,16,","15.0","1,W,19,","","","501.3","1,W","24.6","1,,,W","0.43","1,W","6.01","1,,,W","-5.16","1,,,W","310","1,W","320","1,W","14.8","1,W","20.1","1,W"
"USW00053989","2008-03","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","5.0",",W","","","0.0","1,W","7",",W","4",",W","0",",W","0","1,W","14","1,W","0","1,W","5","1,W","0","1,W","3","","-11.0","1,W,08,","18.8",",,W,14,+","25.6","1,W,20,+","","","328.6","1,W","54.3",",,,W","7.38","1,W","13.94","1,,,W","0.82","1,,,W","190",",W","210",",W","14.8",",W","19.2",",W"
"USW00053989","2008-04","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","6.1",",W","","","7.6",",W","8",",W","5",",W","0",",W","0",",W","2",",W","0",",W","13",",W","0",",W","7","","-1.0",",W,14,","17.8",",,W,10,","31.1",",W,20,","","","192.9",",W","58.2",",,,W","12.16",",W","18.71",",,,W","5.60",",,,W","170",",W","200",",W","17.4",",W","21.0",",W"
"USW00053989","2008-05","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","5.3","1,W","","","72.1","1,W","12","1,W","5","1,W","0","1,W","0","1,W","0","1,W","0","1,W","27","1,W","4","1,W","14","","3.3","1,W,04,","20.3","1,,W,25,","33.3","1,W,31,+","","","29.0","1,W","65.0","1,,,W","19.77","1,W","26.35","1,,,W","13.19","1,,,W","100","1,W","100","1,W","18.3","1,W","21.5","1,W"
"USW00053989","2008-06","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00053989","2008-07","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","4.4","1,W","","","331.1",",W","","","","","","","0",",W","0",",W","0",",W","31",",W","25",",W","13","","15.0",",W,13,","","","42.2",",W,21,","0.0","W","0.0",",W","","","29.01",",W","35.90",",,,W","22.13",",,,W","110","1,W","100","1,W","13.9","1,W","17.4","1,W"
"USW00053989","2008-09","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","","","","","87.4","2,W","7","1,W","4","1,W","1","1,W","0","2,W","0","2,W","0","2,W","25","2,W","3","2,W","3","","6.7","2,W,30,","48.0","1,,W,12,","33.9","2,W,01,","","","15.8","2,W","84.5","1,,,W","20.89","2,W","27.10","2,,,W","14.68","2,,,W","","","","","","","",""
"USW00053989","2008-10","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","","","","","18.9","5,W","6","5,W","4","5,W","1","5,W","0","5,W","2","5,W","0","5,W","18","5,W","0","5,W","2","","-1.6","5,W,28,+","40.4","5,,W,13,","29.4","5,W,04,","","","110.7","5,W","79.7","5,,,W","14.80","5,W","21.68","5,,,W","7.93","5,,,W","","","","","","","",""
