"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00094967","1893-01","46.90056","-95.06778","437.1","PARK RAPIDS MUNICIPAL AIRPORT, MN US","","","","","","","","","","","","","","","5",",6","","","","","","","","","","","","","","","","","","","","","51",",,6,31,+","","","","","","","","","","","298",",,,6","","","","","","","","","","","","","",""
"USW00094967","1893-02","46.90056","-95.06778","437.1","PARK RAPIDS MUNICIPAL AIRPORT, MN US","","","","","0.0",",6","13",",6","5",",6","0",",6","","","5",",6","22",",6","28",",6","26",",6","0",",6","0",",6","","","","","","","-40.6",",6,01,","","","89",",,6,23,","8.9",",,6,23,","2.8",",6,13,","","","997.7",",6","29.4",",,,6","294",",,,6","-17.30",",6","-9.13",",,,6","-25.47",",,,6","","","","","","","",""
"USW00094967","1893-03","46.90056","-95.06778","437.1","PARK RAPIDS MUNICIPAL AIRPORT, MN US","","","","","0.0","1,6","10",",6","5",",6","0",",6","","","4",",6","17",",6","30",",6","16","1,6","0","1,6","0","1,6","","","","","","","-30.0",",6,03,","","","152",",,6,23,","15.2",",,6,23,","8.9","1,6,29,","","","807.9","1,6","40.1",",,,6","295",",,,6","-8.65","1,6","-0.94","1,,,6","-16.36",",,,6","","","","","","","",""
"USW00094967","1893-04","46.90056","-95.06778","437.1","PARK RAPIDS MUNICIPAL AIRPORT, MN US","","","","","0.0","3,6","","","","","","","","","","","0","3,6","25","3,6","2",",6","0",",6","0",",6","","","","","","","-13.3","3,6,01,","","","","","","","11.7",",6,10,+","","","493.9",",6","","","","","-0.09","3,6","5.20",",,,6","-5.37","3,,,6","","","","","","","",""
"USW00094967","1893-05","46.90056","-95.06778","437.1","PARK RAPIDS MUNICIPAL AIRPORT, MN US","","","","","0.3",",6","9",",6","6",",6","0",",6","","","","","0",",6","11",",6","0",",6","9",",6","0",",6","","","","","","","-2.8",",6,16,+","","","","","16.0",",,6,11,","27.8",",6,31,","","","246.7",",6","41.6",",,,6","","","10.38",",6","17.89",",,,6","2.88",",,,6","","","","","","","",""
"USW00094967","1893-06","46.90056","-95.06778","437.1","PARK RAPIDS MUNICIPAL AIRPORT, MN US","","","","","83.9","2,6","9",",6","5",",6","2",",6","","","","","0","1,6","0","1,6","0","1,6","28","1,6","6","1,6","","","","","","","2.8","1,6,06,","","","","","49.3",",,6,20,","37.2","1,6,12,","","","16.7","1,6","119.8",",,,6","","","20.77","2,6","28.21","1,,,6","13.34","1,,,6","","","","","","","",""
"USW00094967","1893-07","46.90056","-95.06778","437.1","PARK RAPIDS MUNICIPAL AIRPORT, MN US","","","","","67.6","3,6","10",",6","3",",6","0",",6","","","","","0","3,6","0","3,6","0","3,6","28","3,6","3","3,6","","","","","","","5.6","3,6,09,","","","","","19.8",",,6,11,","35.6","3,6,24,+","10.0","6","10.0","3,6","47.1",",,,6","","","20.39","3,6","27.32","3,,,6","13.45","3,,,6","","","","","","","",""
"USW00094967","1893-08","46.90056","-95.06778","437.1","PARK RAPIDS MUNICIPAL AIRPORT, MN US","","","","","38.7","1,6","8",",6","6",",6","1",",6","","","","","0","1,6","0","1,6","0",",6","26",",6","2",",6","","","","","","","2.8","1,6,29,","","","","","46.7",",,6,09,","32.8",",6,03,","64.2","6","54.2",",6","107.8",",,,6","","","17.85","1,6","24.45",",,,6","11.26","1,,,6","","","","","","","",""
"USW00094967","1893-09","46.90056","-95.06778","437.1","PARK RAPIDS MUNICIPAL AIRPORT, MN US","","","","","15.3",",6","7","1,6","3","1,6","0","1,6","","","","","0",",6","6",",6","0",",6","15",",6","0",",6","","","","","","","-6.1",",6,27,","","","","","21.1","1,,6,13,","28.3",",6,11,","243.9","6","179.7",",6","35.7","1,,,6","","","12.85",",6","18.94",",,,6","6.77",",,,6","","","","","","","",""
"USW00094967","1893-10","46.90056","-95.06778","437.1","PARK RAPIDS MUNICIPAL AIRPORT, MN US","","","","","0.0",",6","5","1,6","3","1,6","1","1,6","","","0",",6","0",",6","16",",6","2",",6","0",",6","0",",6","","","","","","","-12.2",",6,29,","","","0",",T,6,27,","38.1","1,,6,01,","18.9",",6,16,+","637.7","6","393.8",",6","53.3","1,,,6","0",",T,,6","5.63",",6","11.15",",,,6","0.11",",,,6","","","","","","","",""
"USW00094967","1893-11","46.90056","-95.06778","437.1","PARK RAPIDS MUNICIPAL AIRPORT, MN US","","","","","0.0","1,6","5","3,6","2","3,6","0","3,6","","","2",",6","5","1,6","27","1,6","13",",6","0",",6","0",",6","","","","","","","-30.6","1,6,24,","","","79",",,6,21,","7.9","3,,6,21,","19.4",",6,06,","1294.7","6","657.0",",6","12.9","3,,,6","129",",,,6","-4.33","1,6","1.39",",,,6","-10.06","1,,,6","","","","","","","",""
"USW00094967","1893-12","46.90056","-95.06778","437.1","PARK RAPIDS MUNICIPAL AIRPORT, MN US","","","","","0.0",",6","10",",6","3",",6","0",",6","","","3",",6","23",",6","31",",6","28",",6","0",",6","0",",6","","","","","","","-37.2",",6,13,","","","86",",,6,15,","8.6",",,6,15,","1.7",",6,23,","2352.8","6","1058.1",",6","23.4",",,,6","216",",,,6","-15.80",",6","-9.43",",,,6","-22.17",",,,6","","","","","","","",""
"USW00094967","1894-01","46.90056","-95.06778","437.1","PARK RAPIDS MUNICIPAL AIRPORT, MN US","","","0.0","6","0.0",",6","9",",6","2",",6","0",",6","","","2",",6","22",",6","31",",6","26",",6","0",",6","0",",6","","","","","","","-40.6",",6,24,","","","56",",,6,20,","5.6",",,6,20,","6.1",",6,13,","3412.6","6","1059.8",",6","17.1",",,,6","166",",,,6","-15.85",",6","-9.33",",,,6","-22.38",",,,6","","","","","","","",""
"USW00094967","1894-02","46.90056","-95.06778","437.1","PARK RAPIDS MUNICIPAL AIRPORT, MN US","","","0.0","6","0.0",",6","3",",6","2",",6","0",",6","","","1",",6","18",",6","28",",6","20",",6","0",",6","0",",6","","","","","","","-31.7",",6,19,","","","41",",,6,10,","5.1",",,6,04,","3.3",",6,26,","4294.1","6","881.5",",6","10.7",",,,6","61",",,,6","-13.15",",6","-6.35",",,,6","-19.94",",,,6","","","","","","","",""
"USW00094967","1894-03","46.90056","-95.06778","437.1","PARK RAPIDS MUNICIPAL AIRPORT, MN US","","","0.0","6","0.0",",6","11","1,6","5","1,6","0","1,6","","","2",",6","4",",6","31",",6","8",",6","0",",6","0",",6","","","","","","","-26.1",",6,25,","","","203",",,6,22,","20.3","1,,6,22,","12.2",",6,30,","4951.9","6","657.8",",6","44.2","1,,,6","268",",,,6","-2.89",",6","2.31",",,,6","-8.08",",,,6","","","","","","","",""
