"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00202393","1910-06","42.7","-84.46667","271.0","EAST LANSING EXPERIM, MI US","","","74.9",",0","","","","","","","","","","","0",",0","0",",0","0",",0","23",",0","7",",0","","","2.8",",0,02,","","","","","","","35.0",",0,30,","","","","","76.1",",0","","","","","18.29",",0","25.41",",,,0","11.18",",,,0","",""
"USC00202393","1910-07","42.7","-84.46667","271.0","EAST LANSING EXPERIM, MI US","","","102.7",",0","","","","","","","","","","","0",",0","0",",0","0",",0","31",",0","4",",0","","","5.6",",0,19,","","","","","","","36.1",",0,01,","","","4.4","0","4.4",",0","","","","","21.50",",0","28.96",",,,0","14.05",",,,0","",""
"USC00202393","1910-08","42.7","-84.46667","271.0","EAST LANSING EXPERIM, MI US","","","68.1","1,0","7","3,0","3","3,0","0","3,0","","","0","3,0","0","1,0","0","1,0","0",",0","31",",0","2",",0","","","6.7","1,0,27,+","","","0","3,,0,31,+","16.0","3,,0,25,","32.2",",0,17,+","","","19.9","0","15.5",",0","38.9","3,,,0","0","3,,,0","20.09","1,0","26.85",",,,0","13.34","1,,,0","",""
"USC00202393","1910-09","42.7","-84.46667","271.0","EAST LANSING EXPERIM, MI US","","","9.4",",0","10",",0","7",",0","1",",0","","","0",",0","0",",0","0",",0","0",",0","19",",0","0",",0","","","2.8",",0,22,","","","0",",,0,30,+","27.2",",,0,23,","27.2",",0,07,","","","109.9","0","90.0",",0","69.6",",,,0","0",",,,0","15.65",",0","21.93",",,,0","9.37",",,,0","",""
"USC00202393","1910-10","42.7","-84.46667","271.0","EAST LANSING EXPERIM, MI US","","","4.5",",0","8",",0","6",",0","0",",0","","","0",",0","0",",0","6",",0","0",",0","9",",0","0",",0","","","-5.0",",0,29,","","","13",",,0,27,","20.8",",,0,04,","27.8",",0,18,+","","","340.5","0","230.6",",0","57.6",",,,0","16",",,,0","11.04",",0","17.11",",,,0","4.97",",,,0","",""
"USC00202393","1910-11","42.7","-84.46667","271.0","EAST LANSING EXPERIM, MI US","","","0.0",",0","14",",0","6",",0","0",",0","","","2",",0","0",",0","27",",0","4",",0","0",",0","0",",0","","","-6.1",",0,20,","","","64",",,0,28,","7.9",",,0,28,","17.2",",0,09,","","","858.2","0","517.7",",0","34.8",",,,0","148",",,,0","1.08",",0","4.15",",,,0","-2.00",",,,0","",""
"USC00202393","1910-12","42.7","-84.46667","271.0","EAST LANSING EXPERIM, MI US","","","0.0","2,0","14",",0","5",",0","0",",0","","","8",",0","0","2,0","29","2,0","21",",0","0",",0","0",",0","","","-15.6","2,0,15,","","","127",",,0,28,","8.1",",,0,28,","3.3",",0,27,","","","1545.0","0","686.8",",0","31.5",",,,0","503",",,,0","-5.47","2,0","-1.81",",,,0","-9.12","2,,,0","",""
"USC00202393","1911-01","42.7","-84.46667","271.0","EAST LANSING EXPERIM, MI US","0.0","0","0.0","4,0","13","3,0","5","3,0","0","3,0","","","3","3,0","1","4,0","24","4,0","11","3,0","0","3,0","0","3,0","","","-17.8","4,0,05,","","","56","3,,0,31,","13.7","3,,0,11,","7.8","3,0,27,+","","","2135.3","0","590.3","3,0","36.2","3,,,0","160","3,,,0","-3.69","4,0","0.20","3,,,0","-7.57","4,,,0","",""
"USC00202393","1911-02","42.7","-84.46667","271.0","EAST LANSING EXPERIM, MI US","0.0","0","0.0",",0","13",",0","5",",0","0",",0","","","1",",0","0",",0","24",",0","13",",0","0",",0","0",",0","","","-13.9",",0,21,+","","","152",",,0,06,","13.7",",,0,06,","12.2",",0,17,","","","2722.7","0","587.4",",0","45.1",",,,0","174",",,,0","-2.65",",0","1.05",",,,0","-6.35",",,,0","",""
"USC00202393","1911-03","42.7","-84.46667","271.0","EAST LANSING EXPERIM, MI US","0.0","0","0.0",",0","14",",0","5",",0","0",",0","","","3",",0","0",",0","30",",0","4",",0","0",",0","0",",0","","","-15.0",",0,15,","","","25",",,0,31,+","6.6",",,0,26,","18.3",",0,21,","","","3278.8","0","556.1",",0","30.9",",,,0","109",",,,0","0.40",",0","6.04",",,,0","-5.25",",,,0","",""
