"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00143686","1985-02","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","","","0.0","2,0","9",",0","7",",0","1",",0","20",",0","2",",0","6","1,0","25","1,0","10","1,0","0","1,0","0","1,0","","","","","-25.6","1,0,01,","229",",,0,05,","51",",,0,05,","62.2",",,0,23,","15.0","1,0,21,","","","","","586.7","1,0","121.2",",,,0","102",",,,0","-3.94","2,0","2.86","1,,,0","-10.74","1,,,0","","","",""
"USC00143686","1985-03","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","","","0.0","4,0","8",",0","6",",0","0",",0","0",",0","0",",0","0","2,0","11","2,0","0","2,0","3","2,0","0","2,0","","","","","-10.0","2,0,05,","0",",T,0,31,","0",",T,0,31,","23.1",",,0,03,","23.3","2,0,27,","","","","","277.2","2,0","54.6",",,,0","0",",T,,0","8.09","4,0","14.62","2,,,0","1.57","2,,,0","","","",""
"USC00143686","1985-04","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","","","17.6",",0","9",",0","5",",0","0",",0","0",",0","0",",0","0",",0","4",",0","0",",0","17",",0","0",",0","","","","","-2.2",",0,02,+","0",",,0,30,+","0",",,0,30,+","17.3",",,0,10,","29.4",",0,18,","","","","","138.4",",0","58.0",",,,0","0",",,,0","14.31",",0","21.05",",,,0","7.56",",,,0","","","",""
"USC00143686","1985-05","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","","","28.9",",0","11",",0","9",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","1",",0","","","","","7.2",",0,15,","0",",,0,31,+","0",",,0,31,+","76.2",",,0,27,","32.2",",0,26,","","","","","27.7",",0","143.8",",,,0","0",",,,0","18.37",",0","24.95",",,,0","11.80",",,,0","","","",""
"USC00143686","1985-06","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","","","69.0","2,0","13",",0","9",",0","3",",0","0",",0","0",",0","0","2,0","0","2,0","0",",0","23",",0","2",",0","","","","","7.8","2,0,13,","0",",,0,30,+","0",",,0,30,+","83.3",",,0,04,","32.2",",0,26,+","","","","","15.5",",0","200.9",",,,0","0",",,,0","20.14","2,0","26.30",",,,0","13.98","2,,,0","","","",""
"USC00143686","1985-07","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","","","241.1",",0","4",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","25",",0","","","","","13.9",",0,01,","0",",,0,31,+","0",",,0,31,+","25.9",",,0,15,","37.8",",0,12,","","","0.0","0","0.0",",0","42.9",",,,0","0",",,,0","26.11",",0","33.94",",,,0","18.28",",,,0","","","",""
"USC00143686","1985-08","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","","","115.6",",0","11",",0","9",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","5",",0","","","","","11.7",",0,25,","0",",,0,31,+","0",",,0,31,+","53.3",",,0,04,","34.4",",0,31,+","","","1.6","0","1.6",",0","209.4",",,,0","0",",,,0","22.01",",0","28.39",",,,0","15.63",",,,0","","","",""
"USC00143686","1985-09","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","","","81.6",",0","9",",0","8",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","21",",0","6",",0","","","","","1.7",",0,30,+","0",",,0,30,+","0",",,0,30,+","33.0",",,0,23,","35.6",",0,01,","","","87.1","0","85.5",",0","151.4",",,,0","0",",,,0","18.20",",0","24.28",",,,0","12.13",",,,0","","","",""
"USC00143686","1985-12","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","","","0.0",",0","4",",0","4",",0","1",",0","21",",0","3",",0","6",",0","31",",0","14",",0","0",",0","0",",0","","","","","-21.1",",0,18,","76",",,0,04,+","51",",,0,01,","25.7",",,0,11,","10.6",",0,30,","","","","","729.7",",0","62.3",",,,0","122",",,,0","-5.20",",0","1.74",",,,0","-12.15",",,,0","","","",""
"USC00143686","1986-01","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","0.0","0","0.0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","2",",0","31",",0","4",",0","0",",0","0",",0","","","","","-20.0",",0,27,","0",",,0,31,+","0",",,0,31,+","0.0",",,0,31,+","18.9",",0,20,","","","","","548.9",",0","0.0",",,,0","0",",,,0","0.63",",0","8.48",",,,0","-7.23",",,,0","","","",""
