"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00003839","1951-07","36.11667","-86.68333","185.0","NASHVILLE BERRY FIELD AF, TN US","244.8",",X","0","2,X","0","2,X","0",",X","0",",X","0",",X","31",",X","16",",X","9","","8","","15.6",",X,07,","0","2,,X,31,+","0","2,,X,31,+","35.6",",X,22,","0.0","","0.0",",X","0","2,,,X","26.23",",X","31.59",",,,X","20.87",",,,X"
"USW00003839","1951-08","36.11667","-86.68333","185.0","NASHVILLE BERRY FIELD AF, TN US","257.8",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","22",",X","5","","7","","14.4",",X,24,","0",",,X,31,+","0",",,X,31,+","37.8",",X,31,","0.0","","0.0",",X","0",",,,X","26.65",",X","33.02",",,,X","20.28",",,,X"
"USW00003839","1951-09","36.11667","-86.68333","185.0","NASHVILLE BERRY FIELD AF, TN US","102.3","1,X","0","1,X","0","1,X","0","1,X","0","1,X","0","1,X","28","1,X","4","1,X","4","","4","","5.6","1,X,29,","0","1,,X,30,+","0","1,,X,30,+","33.3","1,X,12,","12.5","","12.5","1,X","0","1,,,X","21.43","1,X","27.71","1,,,X","15.16","1,,,X"
"USW00003839","1951-10","36.11667","-86.68333","185.0","NASHVILLE BERRY FIELD AF, TN US","39.7",",X","0",",X","0",",X","0",",X","0",",X","0",",X","20",",X","3",",X","12","","","","2.2",",X,12,+","0",",,X,31,+","0",",,X,31,+","33.3",",X,05,","111.3","","98.8",",X","0",",,,X","16.43",",X","23.24",",,,X","9.61",",,,X"
