"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00013782","1893-01","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","0.0","0","0.0","2,0","8",",0","4",",0","1",",0","1",",0","1",",0","0","1,0","13","1,0","0","1,0","0","1,0","0","1,0","","","","","-6.7","1,0,16,","25",",,0,18,","48",",,0,18,","40.1",",,0,19,","20.6","1,0,30,+","","","348.5","1,0","81.7",",,,0","48",",,,0","6.33","2,0","10.91","1,,,0","1.74","1,,,0","","","","","","","","","","","","","","","",""
"USW00013782","1893-02","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","2.0","0","2.0","2,0","14",",0","5",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0","1,0","7","1,0","0","1,0","","","","","3.3","1,0,23,","0",",,0,28,+","0",",,0,28,+","23.6",",,0,28,","25.6","1,0,16,","","","136.4","1,0","75.4",",,,0","0",",,,0","13.22","2,0","17.70","1,,,0","8.74","1,,,0","","","","","","","","","","","","","","","",""
"USW00013782","1893-03","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","4.8","0","2.8","2,0","12",",0","8",",0","0",",0","0",",0","0",",0","0","1,0","1","1,0","0","1,0","10","1,0","0","1,0","","","","","-3.3","1,0,05,","0",",,0,31,+","0",",,0,31,+","22.9",",,0,17,","24.4","1,0,09,","","","156.4","1,0","78.0",",,,0","0",",,,0","13.14","2,0","17.35","1,,,0","8.93","1,,,0","","","","","","","","","","","","","","","",""
"USW00013782","1893-04","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","68.3","0","63.5","2,0","5",",0","2",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0","1,0","26","1,0","0","1,0","","","","","10.0","1,0,17,","0",",,0,30,+","0",",,0,30,+","24.4",",,0,20,","30.6","1,0,10,","","","11.7","1,0","29.5",",,,0","0",",,,0","20.18","2,0","24.78","1,,,0","15.57","1,,,0","","","","","","","","","","","","","","","",""
"USW00013782","1893-05","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","198.6","0","130.3",",0","10",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","0",",0","","","","","12.2",",0,04,","0",",,0,31,+","0",",,0,31,+","21.6",",,0,03,","31.1",",0,28,+","","","4.5",",0","85.5",",,,0","0",",,,0","22.39",",0","26.52",",,,0","18.26",",,,0","","","","","","","","","","","","","","","",""
"USW00013782","1893-06","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","412.3","0","213.7",",0","13",",0","11",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","4",",0","","","","","18.9",",0,02,","0",",,0,30,+","0",",,0,30,+","91.7",",,0,07,","34.4",",0,26,","","","0.0",",0","419.1",",,,0","0",",,,0","25.46",",0","29.05",",,,0","21.86",",,,0","","","","","","","","","","","","","","","",""
"USW00013782","1893-07","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","719.2","0","306.9",",0","9",",0","6",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","17",",0","","","","","20.0",",0,10,","0",",,0,31,+","0",",,0,31,+","71.4",",,0,10,","37.2",",0,14,","0.0","0","0.0",",0","118.2",",,,0","0",",,,0","28.23",",0","32.33",",,,0","24.14",",,,0","","","","","","","","","","","","","","","",""
"USW00013782","1893-08","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","966.5","0","247.3",",0","19",",0","15",",0","7",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","3",",0","","","","","20.6",",0,15,","0",",,0,31,+","0",",,0,31,+","55.9",",,0,27,","33.3",",0,13,","0.0","0","0.0",",0","394.6",",,,0","0",",,,0","26.31",",0","29.64",",,,0","22.99",",,,0","","","","","","","","","","","","","","","",""
"USW00013782","1893-09","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","1183.7","0","217.2",",0","9",",0","7",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","3",",0","","","","","15.0",",0,28,","0",",,0,30,+","0",",,0,30,+","65.8",",,0,09,","34.4",",0,20,","0.0","0","0.0",",0","180.3",",,,0","0",",,,0","25.57",",0","28.95",",,,0","22.19",",,,0","","","","","","","","","","","","","","","",""
"USW00013782","1893-10","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","1264.5","0","80.8",",0","7",",0","4",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","26",",0","0",",0","","","","","6.1",",0,31,","0",",,0,31,+","0",",,0,31,+","70.4",",,0,13,","28.3",",0,10,+","25.8","0","25.8",",0","190.8",",,,0","0",",,,0","20.11",",0","23.92",",,,0","16.29",",,,0","","","","","","","","","","","","","","","",""
