"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USC00425654","1928-01","38.40168","-113.01624","1526.7","MILFORD, UT US","0.0","0","0.0","1,0","4",",0","2",",0","0",",0","1",",0","2",",0","3","1,0","30","1,0","9",",0","0",",0","0",",0","8","","","","","","-22.2","1,0,18,","76",",,0,15,","64",",,0,15,","6.4",",,0,16,","12.2",",0,29,","","","","","648.9",",0","","","","","13.8",",,,0","","","118",",,,0","-3.28","1,0","3.11",",,,0","-9.66","1,,,0","","","","","","","","","","","",""
"USC00425654","1928-02","38.40168","-113.01624","1526.7","MILFORD, UT US","0.0","0","0.0",",0","6",",0","4",",0","0",",0","1",",0","1",",0","0",",0","29",",0","0",",0","0",",0","0",",0","","","","","","","-13.3",",0,16,","51",",,0,15,","38",",,0,15,","9.1",",,0,04,","15.6",",0,03,","","","","","498.2",",0","","","","","22.7",",,,0","","","71",",,,0","1.16",",0","10.28",",,,0","-7.97",",,,0","","","","","","","","","","","",""
"USC00425654","1928-03","38.40168","-113.01624","1526.7","MILFORD, UT US","0.0","0","0.0",",0","6",",0","3",",0","0",",0","0","1,0","0",",0","0",",0","23",",0","0",",0","4",",0","0",",0","","","","","","","-7.2",",0,19,","0","1,,0,31,+","0",",T,0,03,","7.6",",,0,08,","23.9",",0,21,","","","","","358.1",",0","","","","","16.2",",,,0","","","0",",T,,0","6.78",",0","15.74",",,,0","-2.18",",,,0","","","","","","","","","","","",""
"USC00425654","1928-04","38.40168","-113.01624","1526.7","MILFORD, UT US","0.0","0","0.0","1,0","3",",0","2",",0","0",",0","0",",0","1",",0","0",",0","16",",0","0","1,0","12","1,0","0","1,0","","","","","","","-12.2",",0,09,","0",",,0,30,+","25",",,0,20,","3.8",",,0,03,","27.8","1,0,30,+","","","","","258.8","1,0","","","","","8.1",",,,0","","","25",",,,0","9.39","1,0","20.42","1,,,0","-1.64",",,,0","","","","","","","","","","","",""
"USC00425654","1928-05","38.40168","-113.01624","1526.7","MILFORD, UT US","10.3","0","10.3",",0","8",",0","7",",0","0",",0","0",",0","0",",0","0",",0","2",",0","0",",0","28",",0","2",",0","","","","","","","-3.3",",0,03,","0",",,0,31,+","0",",,0,31,+","10.2",",,0,11,","32.8",",0,29,","","","","","98.3",",0","","","","","33.9",",,,0","","","0",",,,0","15.49",",0","25.86",",,,0","5.13",",,,0","","","","","","","","","","","",""
"USC00425654","1928-06","38.40168","-113.01624","1526.7","MILFORD, UT US","46.7","0","36.4",",0","1",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","25",",0","8",",0","","","","","","","2.8",",0,18,+","0",",,0,30,+","0",",,0,30,+","2.5",",,0,12,","36.1",",0,25,","","","","","62.3",",0","","","","","2.5",",,,0","","","0",",,,0","17.47",",0","27.68",",,,0","7.25",",,,0","","","","","","","","","","","",""
"USC00425654","1928-07","38.40168","-113.01624","1526.7","MILFORD, UT US","210.5","0","163.8",",0","2",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","29",",0","","","","","","","7.2",",0,01,","0",",,0,31,+","0",",,0,31,+","18.0",",,0,16,","38.3",",0,27,","","","0.0","0","0.0",",0","","","","","18.5",",,,0","","","0",",,,0","23.61",",0","34.44",",,,0","12.79",",,,0","","","","","","","","","","","",""
"USC00425654","1928-08","38.40168","-113.01624","1526.7","MILFORD, UT US","316.9","0","106.4",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","19",",0","","","","","","","6.1",",0,23,","0",",,0,31,+","0",",,0,31,+","5.8",",,0,15,","36.7",",0,09,","","","0.3","0","0.3",",0","","","","","7.1",",,,0","","","0",",,,0","21.75",",0","32.62",",,,0","10.89",",,,0","","","","","","","","","","","",""
"USC00425654","1928-09","38.40168","-113.01624","1526.7","MILFORD, UT US","327.0","0","10.1",",0","1",",0","1",",0","0",",0","0",",0","0",",0","0",",0","2",",0","0",",0","30",",0","5",",0","","","","","","","-1.7",",0,13,","0",",,0,30,+","0",",,0,30,+","4.3",",,0,27,","34.4",",0,04,","","","44.0","0","43.7",",0","","","","","4.3",",,,0","","","0",",,,0","17.21",",0","30.24",",,,0","4.19",",,,0","","","","","","","","","","","",""
"USC00425654","1928-10","38.40168","-113.01624","1526.7","MILFORD, UT US","327.0","0","0.0","1,0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","29",",0","0","1,0","28","1,0","0","1,0","","","","","","","-9.4",",0,22,","0",",,0,31,+","0",",T,0,31,","3.3",",,0,14,","28.3","1,0,08,+","","","265.1","0","221.1","1,0","","","","","5.1",",,,0","","","0",",T,,0","10.96","1,0","24.01","1,,,0","-2.08",",,,0","","","","","","","","","","","",""
