"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00023062","1948-01","39.76746","-104.86948","1610.6","DENVER CENTRAL PARK, CO US","","","0.0","0","0.0",",X","9",",X","5",",X","0",",X","17",",X","7",",X","7",",X","30",",X","10",",X","0",",X","0",",X","4","","","","","","-28.9",",X,27,","279",",,X,26,","168",",,X,24,","11.4",",,X,24,","16.1",",X,08,","","","665.9",",X","36.5",",,,X","","","603",",,,X","-3.15",",X","4.67",",,,X","-10.97",",,,X","","","","","","","","","","","","","",""
"USW00023062","1948-02","39.76746","-104.86948","1610.6","DENVER CENTRAL PARK, CO US","","","0.0","0","0.0",",X","9",",X","1",",X","0",",X","17",",X","4",",X","5",",X","28",",X","8",",X","0",",X","0",",X","10","","","","","","-22.2",",X,11,","152",",,X,02,+","56",",,X,10,","3.6",",,X,29,","17.8",",X,26,","","","618.9",",X","11.3",",,,X","","","186",",,,X","-3.01",",X","4.05",",,,X","-10.06",",,,X","","","","","","","","","","","","","",""
"USW00023062","1948-03","39.76746","-104.86948","1610.6","DENVER CENTRAL PARK, CO US","","","0.0","0","0.0",",X","9",",X","6",",X","0",",X","12","1,X","7",",X","5",",X","27",",X","7",",X","0",",X","0",",X","3","","","","1","","-23.3",",X,11,+","178","1,,X,05,+","137",",,X,01,","13.0",",,X,20,","20.6",",X,24,+","","","579.2",",X","43.6",",,,X","","","559",",,,X","-0.35",",X","7.36",",,,X","-8.06",",,,X","","","","","","","","","","","","","",""
"USW00023062","1948-04","39.76746","-104.86948","1610.6","DENVER CENTRAL PARK, CO US","","","1.1","0","1.1",",X","2",",X","2",",X","1",",X","2",",X","2",",X","0",",X","13",",X","0",",X","11",",X","0",",X","1","","","","1","","-3.9",",X,08,","102",",,X,24,","107",",,X,24,","61.0",",,X,24,","28.3",",X,29,","","","225.3",",X","64.0",",,,X","","","140",",,,X","10.86",",X","19.24",",,,X","2.48",",,,X","","","","","","","","","","","","","",""
"USW00023062","1948-05","39.76746","-104.86948","1610.6","DENVER CENTRAL PARK, CO US","","","17.2","0","16.1",",X","12",",X","4",",X","1",",X","0",",X","0",",X","0",",X","2",",X","0",",X","22",",X","0",",X","6","","","","11","","-0.6",",X,10,+","0",",,X,31,+","0",",T,X,11,","25.9",",,X,30,","31.1",",X,17,","","","125.0",",X","46.9",",,,X","","","0",",T,,X","14.82",",X","22.49",",,,X","7.15",",,,X","","","","","","","","","","","","","",""
"USW00023062","1948-06","39.76746","-104.86948","1610.6","DENVER CENTRAL PARK, CO US","","","71.3","0","54.1",",X","11",",X","5",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","25",",X","2",",X","4","","","","16","","6.1",",X,23,","0",",,X,30,+","0",",,X,30,+","15.0",",,X,22,","32.8",",X,17,","","","30.6",",X","49.4",",,,X","","","0",",,,X","19.12",",X","26.27",",,,X","11.96",",,,X","","","","","","","","","","","","","",""
"USW00023062","1948-07","39.76746","-104.86948","1610.6","DENVER CENTRAL PARK, CO US","","","203.5","0","132.2",",X","6",",X","2",",X","0",",X","0",",X","0","1,X","0",",X","0",",X","0",",X","31",",X","14",",X","","","","","13","","11.1",",X,30,","0",",,X,31,+","0","1,,X,31,+","11.2",",,X,28,","33.9",",X,13,","0.0","0","0.0",",X","20.5",",,,X","","","0","1,,,X","22.60",",X","30.89",",,,X","14.30",",,,X","","","","","","","","","","","","","",""
"USW00023062","1948-08","39.76746","-104.86948","1610.6","DENVER CENTRAL PARK, CO US","","","339.2","0","135.7",",0","8",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","14",",0","1","","","","9","","11.1",",0,27,","0",",,0,31,+","0",",,0,31,+","3.3",",,0,21,","34.4",",0,31,+","1.1","0","1.1",",0","10.4",",,,0","","","0",",,,0","22.67",",0","30.82",",,,0","14.53",",,,0","","","","","","","","","","","","","",""
"USW00023062","1948-09","39.76746","-104.86948","1610.6","DENVER CENTRAL PARK, CO US","","","395.3","0","56.1",",0","2",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","6",",0","1","","","","2","","5.6",",0,29,","0",",,0,30,+","0",",,0,30,+","10.2",",,0,19,","35.0",",0,04,","27.7","0","26.6",",0","11.5",",,,0","","","0",",,,0","19.32",",0","27.50",",,,0","11.13",",,,0","","","","","","","","","","","","","",""
"USW00023062","1948-10","39.76746","-104.86948","1610.6","DENVER CENTRAL PARK, CO US","","","395.6","0","0.3",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","10",",0","0",",0","12",",0","0",",0","2","","","","","","-7.2",",0,17,","0",",T,0,16,","20",",,0,16,","2.3",",,0,16,","27.2",",0,03,","263.8","0","236.1",",0","4.2",",,,0","","","20",",,,0","10.73",",0","19.27",",,,0","2.19",",,,0","","","","","","","","","","","","","",""
