"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HN03","HN03_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LN03","LN03_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MN03","MN03_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00488160","1920-01","44.8405","-106.8383","1143.0","SHERIDAN FIELD STATION, WY US","0.0","0","0.0",",0","7",",0","1",",0","0",",0","","","","","9",",0","31",",0","11",",0","0",",0","0",",0","","","","","-30.6",",0,24,","","","","","7.4",",,0,17,","11.1",",0,25,","","","","","","","","","","","786.4",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.8",",,,0","","","-7.03",",0","0.59",",,,0","-14.66",",,,0","",""
"USC00488160","1920-02","44.8405","-106.8383","1143.0","SHERIDAN FIELD STATION, WY US","0.0","0","0.0",",0","6",",0","3",",0","0",",0","","","","","4",",0","29",",0","12",",0","0",",0","0",",0","","","","","-21.7",",0,29,","","","","","3.0",",,0,15,","7.8",",0,18,","","","","","","","","","","","663.1",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.7",",,,0","","","-4.53",",0","1.24",",,,0","-10.31",",,,0","",""
"USC00488160","1920-03","44.8405","-106.8383","1143.0","SHERIDAN FIELD STATION, WY US","0.0","0","0.0","2,0","8",",0","2",",0","0",",0","","","","","4","1,0","29","1,0","7","1,0","0","1,0","0","1,0","","","","","-28.3","1,0,06,","","","","","4.6",",,0,11,","16.1","1,0,30,","","","","","","","","","","","591.1","1,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.5",",,,0","","","-1.82","2,0","4.02","1,,,0","-7.66","1,,,0","",""
"USC00488160","1920-04","44.8405","-106.8383","1143.0","SHERIDAN FIELD STATION, WY US","0.0","0","0.0","2,0","15",",0","5",",0","1",",0","","","","","0","1,0","22","1,0","3","1,0","0","1,0","0","1,0","","","","","-12.8","1,0,04,","","","","","26.4",",,0,18,","18.3","1,0,13,+","","","","","","","","","","","448.2","1,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.8",",,,0","","","2.33","2,0","7.61","1,,,0","-2.94","1,,,0","",""
"USC00488160","1920-05","44.8405","-106.8383","1143.0","SHERIDAN FIELD STATION, WY US","0.0","0","0.0","2,0","10",",0","8",",0","1",",0","","","","","0","1,0","0","1,0","0","1,0","7","1,0","0","1,0","","","","","1.7","1,0,26,+","","","","","25.4",",,0,12,","27.2","1,0,27,","","","","","","","","","","","197.3","1,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.4",",,,0","","","11.33","2,0","17.64","1,,,0","5.02","1,,,0","",""
"USC00488160","1920-06","44.8405","-106.8383","1143.0","SHERIDAN FIELD STATION, WY US","18.1","0","18.1",",0","9",",0","4",",0","1",",0","","","","","0",",0","0",",0","0",",0","20",",0","2",",0","","","","","1.7",",0,04,+","","","","","34.3",",,0,19,","32.8",",0,08,","","","","","","","","","","","84.7",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.0",",,,0","","","16.11",",0","23.16",",,,0","9.06",",,,0","",""
"USC00488160","1920-07","44.8405","-106.8383","1143.0","SHERIDAN FIELD STATION, WY US","105.0","0","86.9",",0","7",",0","4",",0","0",",0","","","","","0",",0","0",",0","0",",0","28",",0","8",",0","","","","","5.0",",0,08,","","","","","14.7",",,0,20,","36.1",",0,28,+","","","16.3","0","","","","","","","16.3",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.3",",,,0","","","20.61",",0","29.05",",,,0","12.17",",,,0","",""
"USC00488160","1920-08","44.8405","-106.8383","1143.0","SHERIDAN FIELD STATION, WY US","196.2","0","91.2",",0","5",",0","1",",0","0",",0","","","","","0",",0","2",",0","0",",0","29",",0","14",",0","","","","","-1.7",",0,30,","","","","","6.1",",,0,11,","38.9",",0,17,","","","52.1","0","","","","","","","35.8",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.8",",,,0","","","20.12",",0","29.69",",,,0","10.55",",,,0","",""
"USC00488160","1920-09","44.8405","-106.8383","1143.0","SHERIDAN FIELD STATION, WY US","206.2","0","10.0",",0","3",",0","3",",0","0",",0","","","","","0",",0","2",",0","0",",0","22",",0","5",",0","","","","","-5.0",",0,30,","","","","","7.6",",,0,10,","33.9",",0,17,+","","","175.1","0","","","","","","","123.0",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.9",",,,0","","","14.57",",0","24.65",",,,0","4.48",",,,0","",""
"USC00488160","1920-10","44.8405","-106.8383","1143.0","SHERIDAN FIELD STATION, WY US","207.6","0","1.4","2,0","7",",0","3",",0","0",",0","","","","","0","1,0","16","1,0","0","1,0","8","1,0","1","1,0","","","","","-8.3","1,0,27,","","","","","13.2",",,0,11,","32.8","1,0,05,","","","465.7","0","","","","","","","290.6","1,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.5",",,,0","","","8.06","2,0","15.89","1,,,0","0.23","1,,,0","",""
