"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BR037041370","1958-11","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","2",",I","1",",I","0",",I","","","","","","","4.5",",,I,17,","6.7",",,,I","",""
"BR037041370","1958-12","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","7",",I","6",",I","2",",I","","","","","","","56.8",",,I,06,","107.4",",,,I","",""
"BR037041370","1959-01","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","23",",I","14",",I","5",",I","","","","","","","68.4",",,I,25,","345.6",",,,I","",""
"BR037041370","1959-02","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","15",",I","10",",I","5",",I","","","","","","","47.6",",,I,19,","220.3",",,,I","",""
"BR037041370","1959-03","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","22",",I","20",",I","3",",I","","","","","","","45.4",",,I,03,","294.3",",,,I","",""
"BR037041370","1959-04","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","13",",I","9",",I","3",",I","","","","","","","56.8",",,I,04,","210.1",",,,I","",""
"BR037041370","1959-05","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","9",",I","7",",I","0",",I","","","","","","","22.0",",,I,12,","91.5",",,,I","",""
"BR037041370","1959-06","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","8",",I","7",",I","1",",I","","","","","","","29.3",",,I,17,","60.5",",,,I","",""
"BR037041370","1959-07","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","0",",I","0",",I","0",",I","","","","","","","0.0",",,I,31,+","0.0",",,,I","",""
"BR037041370","1959-08","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","2",",I","1",",I","0",",I","","","","","","","3.4",",,I,12,","5.2",",,,I","",""
"BR037041370","1959-09","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","2",",I","2",",I","0",",I","","","","","","","4.4",",,I,11,","6.9",",,,I","",""
"BR037041370","1959-10","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","4",",I","3",",I","0",",I","","","","","","","11.8",",,I,23,","23.5",",,,I","",""
"BR037041370","1959-11","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","7",",I","5",",I","1",",I","","","","","","","42.0",",,I,25,","105.3",",,,I","",""
"BR037041370","1959-12","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","3",",I","3",",I","0",",I","","","","","","","16.0",",,I,15,","21.7",",,,I","",""
"BR037041370","1960-01","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","15",",I","8",",I","2",",I","","","","","","","33.2",",,I,30,","122.2",",,,I","",""
"BR037041370","1960-02","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","14",",I","11",",I","3",",I","","","","","","","73.0",",,I,04,","267.3",",,,I","",""
"BR037041370","1960-03","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","22",",I","18",",I","7",",I","","","","","","","69.0",",,I,30,","437.8",",,,I","",""
"BR037041370","1960-04","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","23",",I","18",",I","4",",I","","","","","","","55.8",",,I,28,","332.9",",,,I","",""
"BR037041370","1960-05","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","6",",I","3",",I","0",",I","","","","","","","23.1",",,I,24,","35.7",",,,I","",""
"BR037041370","1960-06","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","4",",I","2",",I","0",",I","","","","","","","18.8",",,I,02,","24.8",",,,I","",""
