"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"AYM00089059","1985-08","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","18","3,S","4","3,S","0","3,S","","","","","","","","","","","","","","","","","5.1","3,,S,22,","","","27.1","3,,,S","","","",""
"AYM00089059","1985-09","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","22","2,S","9","2,S","0","2,S","","","","","","","","","","","","","","","","","19.1","2,,S,23,+","","","97.3","2,,,S","","","",""
"AYM00089059","1985-10","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","14","5,S","5","5,S","0","5,S","","","","","","","","","","","","","","","","","7.9","5,,S,23,","","","36.9","5,,,S","","","",""
"AYM00089059","1985-11","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","15","3,S","3","3,S","0","3,S","","","","","","","","","","","","","","","","","4.1","3,,S,28,+","","","20.9","3,,,S","","","",""
"AYM00089059","1985-12","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","","","","","","","","","0","3,S","27","3,S","","","","","","","-8.8","3,S,08,","","","","","","","","","","","-2.68","3,,,S"
"AYM00089059","1986-03","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","","","","","","","","","0","5,S","26","5,S","","","","","","","-8.0","5,S,10,","","","","","","","","","","","-3.60","5,,,S"
"AYM00089059","1986-09","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","16","4,S","8","4,S","1","4,S","","","","","","","","","","","","","","","","","39.9","4,,S,24,","","","110.6","4,,,S","","","",""
"AYM00089059","1987-01","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","","","","","","","","","0","4,S","27","4,S","","","","","","","-3.5","4,S,18,","","","","","","","","","","","-1.18","4,,,S"
"AYM00089059","1987-08","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","7","5,S","2","5,S","0","5,S","","","","","","","","","","","","","","","","","6.1","5,,S,24,","","","15.3","5,,,S","","","",""
"AYM00089059","1987-11","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","","","","","","","","","0","2,S","28","2,S","","","","","","","-7.4","2,S,09,","","","","","","","","","","","-2.68","2,,,S"
"AYM00089059","1988-03","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","12","5,S","9","5,S","0","5,S","","","","","","","","","","","","","","","","","20.1","5,,S,03,","","","77.5","5,,,S","","","",""
"AYM00089059","1988-08","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","6","5,S","2","5,S","0","5,S","","","","","","","","","","","","","","","","","4.1","5,,S,15,","","","13.1","5,,,S","","","",""
"AYM00089059","1988-10","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","6","5,S","5","5,S","1","5,S","","","","","","","","","","","","","","","","","25.9","5,,S,05,","","","63.9","5,,,S","","","",""
"AYM00089059","1988-11","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","13","4,S","8","4,S","0","4,S","","","","","","","","","","","","","","","","","14.0","4,,S,18,","","","60.5","4,,,S","","","",""
"AYM00089059","1989-03","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","14","5,S","9","5,S","0","5,S","","","0","5,S","25","5,S","","","","","","","-5.0","5,S,22,+","","","20.1","5,,S,28,","","","72.5","5,,,S","","","-1.83","5,,,S"
"AYM00089059","1989-11","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","9","5,S","2","5,S","0","5,S","","","0","4,S","26","4,S","","","","","","","-11.4","4,S,05,","","","6.1","5,,S,03,","","","18.6","5,,,S","","","-2.91","4,,,S"
"AYM00089059","1990-02","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","","","","","","","","","0","2,S","14","2,S","","","","","","","-2.8","2,S,18,","","","","","","","","","","","-0.29","2,,,S"
"AYM00089059","1990-03","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","","","","","","","","","0","2,S","28","2,S","","","","","","","-9.8","2,S,13,","","","","","","","","","","","-3.38","2,,,S"
"AYM00089059","1990-06","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","11","5,S","9","5,S","0","5,S","","","","","","","","","","","","","","","","","17.0","5,,S,21,","","","60.1","5,,,S","","","",""
"AYM00089059","1990-09","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","9","4,S","5","4,S","0","4,S","","","1","4,S","26","4,S","","","","","","","-23.0","4,S,01,","","","6.1","4,,S,27,+","","","35.5","4,,,S","","","-7.80","4,,,S"
"AYM00089059","1991-01","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","","","","","","","","","0","5,S","16","5,S","","","","","","","-3.9","5,S,03,","","","","","","","","","","","-0.29","5,,,S"
"AYM00089059","1991-09","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","","","","","","","","","0","5,S","25","5,S","","","","","","","-14.9","5,S,17,","","","","","","","","","","","-7.09","5,,,S"
"AYM00089059","1991-11","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","","","","","","","","","0","4,S","26","4,S","","","","","","","-7.0","4,S,24,","","","","","","","","","","","-3.15","4,,,S"
"AYM00089059","1993-03","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","","","","","","","","","0","5,S","24","5,S","","","","","","","-11.0","5,S,19,","","","","","","","","","","","-3.20","5,,,S"
"AYM00089059","1995-10","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","","","","","","","","","0","4,S","27","4,S","","","","","","","-11.0","4,S,26,","","","","","","","","","","","-4.82","4,,,S"
"AYM00089059","1996-02","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","","","","","","","","","0","5,S","13","5,S","","","","","","","-4.0","5,S,27,","","","","","","","","","","","-0.40","5,,,S"
"AYM00089059","1996-11","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","","","","","","","","","0","4,S","25","4,S","","","","","","","-9.0","4,S,13,","","","","","","","","","","","-2.93","4,,,S"
"AYM00089059","1997-01","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","","","","","","","","","0","4,S","13","4,S","","","","","","","-2.4","4,S,08,","","","","","","","","","","","-0.08","4,,,S"
"AYM00089059","1998-02","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","","","","","","","","","0","5,S","20","5,S","","","","","","","-3.9","5,S,08,","","","","","","","","","","","-0.98","5,,,S"
"AYM00089059","1998-06","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","","","","","","","","","0","3,S","27","3,S","","","","","","","-16.0","3,S,08,+","","","","","","","","","","","-5.76","3,,,S"
"AYM00089059","1998-10","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","","","","","","","","","0","4,S","27","4,S","","","","","","","-14.0","4,S,21,","","","","","","","","","","","-6.16","4,,,S"
"AYM00089059","1998-11","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","","","","","","","","","0","4,S","26","4,S","","","","","","","-6.8","4,S,02,","","","","","","","","","","","-2.97","4,,,S"
"AYM00089059","1999-02","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","","","","","","","","","0","4,S","23","4,S","","","","","","","-3.8","4,S,26,","","","","","","","","","","","-0.81","4,,,S"
"AYM00089059","1999-09","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","","","","","","","","","1","5,S","25","5,S","","","","","","","-19.5","5,S,08,","","","","","","","","","","","-9.73","5,,,S"
"AYM00089059","1999-10","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","","","","","","","","","0","5,S","26","5,S","","","","","","","-8.0","5,S,01,","","","","","","","","","","","-3.60","5,,,S"
"AYM00089059","1999-11","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","","","","","","","","","0","3,S","27","3,S","","","","","","","-4.6","3,S,03,","","","","","","","","","","","-1.64","3,,,S"
"AYM00089059","1999-12","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","","","","","","","","","0","5,S","24","5,S","","","","","","","-6.8","5,S,02,","","","","","","","","","","","-1.05","5,,,S"
"AYM00089059","2000-01","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","","","","","","","","","0","5,S","19","5,S","","","","","","","-3.6","5,S,20,","","","","","","","","","","","-0.89","5,,,S"
"AYM00089059","2000-02","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","","","","","","","","","0","3,S","21","3,S","","","","","","","-3.2","3,S,28,+","","","","","","","","","","","-1.05","3,,,S"
"AYM00089059","2000-07","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","","","","","","","","","","","","","25","5,S","0","5,S","0","5,S","","","","","","","3.8","5,S,20,","","","-1.45","5,,,S","",""
"AYM00089059","2000-11","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","","","","","","","","","0","4,S","26","4,S","","","","","","","-11.4","4,S,14,","","","","","","","","","","","-3.40","4,,,S"
"AYM00089059","2001-09","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","","","","","","","","","0","5,S","25","5,S","","","","","","","-10.4","5,S,04,","","","","","","","","","","","-5.06","5,,,S"
"AYM00089059","2002-01","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","","","","","","","","","0","4,S","16","4,S","","","","","","","-1.2","4,S,31,+","","","","","","","","","","","-0.14","4,,,S"
"AYM00089059","2002-02","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","","","","","","","","","0","5,S","13","5,S","","","","","","","-1.2","5,S,15,+","","","","","","","","","","","0.07","5,,,S"
"AYM00089059","2002-03","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","","","","","","","","","0","5,S","24","5,S","","","","","","","-10.2","5,S,17,","","","","","","","","","","","-3.30","5,,,S"
"AYM00089059","2002-08","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","","","","","","","","","0","3,S","28","3,S","","","","","","","-17.4","3,S,22,","","","","","","","","","","","-8.45","3,,,S"
"AYM00089059","2002-09","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","13",",S","4",",S","0",",S","","","0","5,S","25","5,S","","","","","","","-12.0","5,S,05,","","","8.9",",,S,02,","","","32.2",",,,S","","","-4.89","5,,,S"
"AYM00089059","2002-10","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","15","4,S","6","4,S","0","4,S","","","","","","","","","","","","","","","","","7.9","4,,S,18,","","","38.2","4,,,S","","","",""
"AYM00089059","2002-11","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","7","4,S","5","4,S","0","4,S","","","0","5,S","25","5,S","","","","","","","-5.4","5,S,01,","","","5.1","4,,S,05,","","","23.3","4,,,S","","","-3.03","5,,,S"
"AYM00089059","2002-12","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","10","3,S","4","3,S","0","3,S","","","0","4,S","23","4,S","","","","","","","-9.2","4,S,04,","","","7.1","3,,S,11,","","","27.9","3,,,S","","","-1.20","4,,,S"
"AYM00089059","2003-01","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","6","3,S","1","3,S","0","3,S","","","0","4,S","16","4,S","","","","","","","-1.2","4,S,12,+","","","7.9","3,,S,13,","","","16.9","3,,,S","","","-0.03","4,,,S"
"AYM00089059","2003-02","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","16","4,S","11","4,S","0","4,S","","","","","","","","","","","","","","","","","15.0","4,,S,24,","","","87.7","4,,,S","","","",""
"AYM00089059","2003-03","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","4","5,S","3","5,S","0","5,S","","","","","","","","","","","","","","","","","4.1","5,,S,26,+","","","12.2","5,,,S","","","",""
"AYM00089059","2003-04","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","8","3,S","7","3,S","0","3,S","","","","","","","","","","","","","","","","","8.9","3,,S,06,","","","40.4","3,,,S","","","",""
"AYM00089059","2003-07","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","10","3,S","6","3,S","0","3,S","","","","","","","","","","","","","","","","","21.1","3,,S,03,","","","74.4","3,,,S","","","",""
"AYM00089059","2003-08","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","12","2,S","9","2,S","2","2,S","","","","","","","","","","","","","","","","","41.9","2,,S,08,","","","111.4","2,,,S","","","",""
"AYM00089059","2003-09","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","13","4,S","10","4,S","0","4,S","","","","","","","","","","","","","","","","","15.0","4,,S,28,","","","75.9","4,,,S","","","",""
"AYM00089059","2003-10","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","10","2,S","5","2,S","0","2,S","","","","","","","","","","","","","","","","","7.1","2,,S,18,","","","31.3","2,,,S","","","",""
"AYM00089059","2003-11","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","7","1,S","5","1,S","0","1,S","","","0","5,S","25","5,S","","","","","","","-9.2","5,S,08,","","","13.0","1,,S,06,","","","31.2","1,,,S","","","-4.92","5,,,S"
"AYM00089059","2003-12","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","1","4,S","1","4,S","0","4,S","","","","","","","","","","","","","","","","","3.0","4,,S,31,","","","3.0","4,,,S","","","",""
"AYM00089059","2004-01","-63.317","-56.683","10.0","BASE BERNARDO O HIGGINS, AY","9","5,S","7","5,S","0","5,S","","","","","","","","","","","","","","","","","11.9","5,,S,20,","","","55.5","5,,,S","","","",""
