"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00487105","1905-10","42.47165","-106.85268","1805.3","PATHFINDER DAM, WY US","","","","","","","5","1,6","1","1,6","0","1,6","","","2",",6","","","","","","","","","","","","","","","","","","","51",",,6,14,","4.1","1,,6,14,","","","","","","","","","","","","","9.0","1,,,6","102",",,,6","","","","","","","",""
"USC00487105","1905-11","42.47165","-106.85268","1805.3","PATHFINDER DAM, WY US","","","","","","","4",",6","1",",6","0",",6","6",",","","","","","","","","","","","","","","","","","","","127",",,6,28,","","","2.8",",,6,27,","","","","","","","","","","","","","6.6",",,,6","","","","","","","","","",""
"USC00487105","1905-12","42.47165","-106.85268","1805.3","PATHFINDER DAM, WY US","","","","","","","2",",6","0",",6","0",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","25",",,6,31,+","13",",,6,31,+","0.5",",,6,31,+","","","","","","","","","","","","","1.0",",,,6","34",",,,6","","","","","","","",""
"USC00487105","1906-01","42.47165","-106.85268","1805.3","PATHFINDER DAM, WY US","","","0.0","6","0.0","4,6","5",",6","1",",6","0",",6","12",",6","2",",6","5",",6","31",",6","6","4,6","0","4,6","0","4,6","","","","","-28.9",",6,02,","76",",,6,22,+","64",",,6,20,","2.8",",,6,20,","8.9","4,6,26,","","","","","596.3","4,6","","","","","4.7",",,,6","156",",,,6","-4.28","4,6","2.14","4,,,6","-10.70",",,,6","",""
"USC00487105","1906-02","42.47165","-106.85268","1805.3","PATHFINDER DAM, WY US","","","","","","","2",",6","1",",6","0",",6","2",",6","1",",6","3","3,6","22","3,6","","","","","","","","","","","-24.4","3,6,04,","76",",,6,19,","76",",,6,19,","3.6",",,6,19,","","","","","","","","","","","","","3.9",",,,6","86",",,,6","","","","","-8.73","3,,,6","",""
"USC00487105","1906-03","42.47165","-106.85268","1805.3","PATHFINDER DAM, WY US","","","","","0.0","1,6","9",",6","5",",6","0",",6","18","4,6","5","2,6","8","1,6","28","1,6","9",",6","0",",6","0",",6","","","","","-33.9","1,6,17,","229","4,,6,19,+","152","2,,6,01,","10.4",",,6,25,","16.7",",6,31,","","","","","672.8",",6","","","","","35.0",",,,6","423","2,,,6","-3.94","1,6","3.60",",,,6","-11.48","1,,,6","",""
"USC00487105","1906-05","42.47165","-106.85268","1805.3","PATHFINDER DAM, WY US","","","","","0.0","3,6","8",",6","6",",6","0",",6","0",",6","0",",6","0","2,6","6","2,6","0","1,6","16","1,6","0","1,6","","","","","-6.1","2,6,06,","0",",,6,31,+","13",",,6,17,","18.5",",,6,24,","28.9","1,6,19,+","","","","","168.6","1,6","","","","","55.4",",,,6","13",",,,6","12.32","3,6","21.33","1,,,6","3.30","2,,,6","",""
"USC00487105","1906-06","42.47165","-106.85268","1805.3","PATHFINDER DAM, WY US","","","","","30.1","1,6","3",",6","2",",6","0",",6","0",",6","0",",6","0","1,6","2","1,6","0",",6","27",",6","4",",6","","","","","-5.6","1,6,19,","0",",,6,30,+","0",",,6,30,+","11.7",",,6,23,","35.0",",6,12,","","","","","63.9",",6","","","","","16.8",",,,6","0",",,,6","17.15","1,6","26.59",",,,6","7.71","1,,,6","",""
"USC00487105","1906-07","42.47165","-106.85268","1805.3","PATHFINDER DAM, WY US","","","","","87.8",",6","10",",6","4",",6","0",",6","","","0",",6","0",",6","0",",6","0",",6","31",",6","12",",6","","","","","5.0",",6,03,","","","0",",,6,31,+","5.6",",,6,06,","37.2",",6,21,","","","12.0","6","12.0",",6","","","","","21.4",",,,6","0",",,,6","20.78",",6","30.55",",,,6","11.00",",,,6","",""
"USC00487105","1906-08","42.47165","-106.85268","1805.3","PATHFINDER DAM, WY US","","","","","90.9",",6","10",",6","5",",6","1",",6","","","","","0",",6","0",",6","0",",6","31",",6","13",",6","","","","","3.9",",6,26,","","","","","41.1",",,6,31,","37.2",",6,17,","","","23.9","6","11.9",",6","","","","","73.5",",,,6","","","20.88",",6","30.56",",,,6","11.20",",,,6","",""
