"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00070322","1986-05","-35.5155","148.9216","1200.0","CORIN FOREST REC FACILITY, AS","","","12",",a","6",",a","2",",a","","","","","","","","","","","","","33.4",",,a,24,","","","","","110.2",",,,a","","","","","",""
"ASN00070322","1986-06","-35.5155","148.9216","1200.0","CORIN FOREST REC FACILITY, AS","","","9",",a","3",",a","0",",a","","","","","","","","","","","","","11.2",",,a,18,","","","","","27.2",",,,a","","","","","",""
"ASN00070322","1986-07","-35.5155","148.9216","1200.0","CORIN FOREST REC FACILITY, AS","","","19",",a","13",",a","2",",a","","","","","","","","","","","","","43.2",",,a,03,","","","","","207.5",",,,a","","","","","",""
"ASN00070322","1987-06","-35.5155","148.9216","1200.0","CORIN FOREST REC FACILITY, AS","","","","","","","","","0",",a","22",",a","","","","","","","-7.0",",a,02,","","","","","","","","","","","","","-1.61",",,,a"
"ASN00070322","1987-07","-35.5155","148.9216","1200.0","CORIN FOREST REC FACILITY, AS","","","","","","","","","0","4,","27","4,a","","","","","","","-9.2","4,a,99,","","","","","","","","","","","","","-3.97","4,,,a"
"ASN00070322","1987-08","-35.5155","148.9216","1200.0","CORIN FOREST REC FACILITY, AS","","","","","","","","","0","1,a","19","1,a","","","","","","","-5.5","1,a,08,","","","","","","","","","","","","","-0.88","1,,,a"
"ASN00070322","1987-09","-35.5155","148.9216","1200.0","CORIN FOREST REC FACILITY, AS","0.0",",a","","","","","","","0",",a","20",",a","0",",a","3",",a","0",",a","-6.2",",a,17,","","","22.5",",a,26,+","361.7",",a","","","6.28",",a","13.71",",,,a","-1.16",",,,a"
"ASN00070322","1987-10","-35.5155","148.9216","1200.0","CORIN FOREST REC FACILITY, AS","","","","","","","","","0","4,a","15","4,a","0","5,a","0","5,a","0","5,a","-5.5","4,a,01,","","","19.0","5,a,27,","","","","","7.18","7,a","13.94","5,,,a","0.43","4,,,a"
"ASN00070322","1988-10","-35.5155","148.9216","1200.0","CORIN FOREST REC FACILITY, AS","","","4","4,a","2","4,a","1","4,a","","","","","","","","","","","","","34.0","4,,a,23,","","","","","42.4","4,,,a","","","","","",""
"ASN00070322","1988-11","-35.5155","148.9216","1200.0","CORIN FOREST REC FACILITY, AS","","","14",",a","13",",a","1",",a","","","","","","","","","","","","","29.0",",,a,17,","","","","","127.4",",,,a","","","","","",""
