"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00298535","1959-04","32.2823","-106.7598","1184.5","STATE UNIVERSITY, NM US","","","15.6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","1",",0","","","2","","1.1",",0,01,","0",",,0,30,+","0",",,0,30,+","0.8",",,0,14,","32.2",",0,24,","230.1",",,,0","","","","","","","71.4",",0","","","","","","","","","","","","","","","","","","","","","","","","","1.1",",,,0","0",",,,0","16.47",",0","26.01",",,,0","6.94",",,,0","2609",",,,0"
"USC00298535","1959-05","32.2823","-106.7598","1184.5","STATE UNIVERSITY, NM US","","","61.3","1,0","2",",0","1",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","31",",0","8",",0","","","","","1.1","1,0,06,","0",",,0,31,+","0",",,0,31,+","17.8",",,0,15,","34.4",",0,13,+","317.7",",,,0","","","","","","","14.5",",0","","","","","","","","","","","","","","","","","","","","","","","","","18.3",",,,0","0",",,,0","19.93","1,0","30.08",",,,0","9.77","1,,,0","2931",",,,0"
"USC00298535","1959-06","32.2823","-106.7598","1184.5","STATE UNIVERSITY, NM US","","","243.7",",0","4",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","28",",0","","","6","","8.9",",0,01,","0",",,0,30,+","0",",,0,30,+","7.9",",,0,30,","38.9",",0,24,","344.0",",,,0","","","","","","","0.0",",0","","","","","","","","","","","","","","","","","","","","","","","","","13.5",",,,0","0",",,,0","26.46",",0","35.41",",,,0","17.50",",,,0","",""
"USC00298535","1959-07","32.2823","-106.7598","1184.5","STATE UNIVERSITY, NM US","","","260.6",",0","8",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","28",",0","","","12","","16.1",",0,25,+","0",",,0,31,+","0",",,0,31,+","8.1",",,0,09,","37.8",",0,14,","307.0",",,,0","0.0","0","","","","","0.0",",0","","","","","","","","","","","","","","","","","","","","","","","","","14.4",",,,0","0",",,,0","26.74",",0","34.48",",,,0","19.00",",,,0","2367",",,,0"
"USC00298535","1959-08","32.2823","-106.7598","1184.5","STATE UNIVERSITY, NM US","","","230.1",",0","12",",0","6",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","17",",0","","","17","","16.7",",0,27,+","0",",,0,31,+","0",",,0,31,+","28.4",",,0,14,","37.2",",0,03,","237.5",",,,0","0.0","0","","","","","0.0",",0","","","","","","","","","","","","","","","","","","","","","","","","","71.3",",,,0","0",",,,0","25.76",",0","32.85",",,,0","18.66",",,,0","2009",",,,0"
"USC00298535","1959-09","32.2823","-106.7598","1184.5","STATE UNIVERSITY, NM US","","","114.0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","13",",0","","","2","","6.7",",0,14,","0",",,0,30,+","0",",,0,30,+","0.0",",T,0,24,+","36.7",",0,09,","230.3",",,,0","0.5","0","","","","","0.5",",0","","","","","","","","","","","","","","","","","","","","","","","","","0.0",",T,,0","0",",,,0","22.12",",0","32.17",",,,0","12.06",",,,0","2034",",,,0"
"USC00298535","1959-10","32.2823","-106.7598","1184.5","STATE UNIVERSITY, NM US","","","4.3",",0","4",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","0",",0","","","1","","2.2",",0,19,","0",",,0,31,+","0",",,0,31,+","11.7",",,0,29,","31.1",",0,25,","152.7",",,,0","67.3","0","","","","","66.8",",0","","","","","","","","","","","","","","","","","","","","","","","","","21.2",",,,0","0",",,,0","16.31",",0","26.46",",,,0","6.17",",,,0","2091",",,,0"
"USC00298535","1959-11","32.2823","-106.7598","1184.5","STATE UNIVERSITY, NM US","","","0.0",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","20",",0","0",",0","8",",0","0",",0","1","","","","-10.6",",0,28,","0",",,0,30,+","0",",,0,30,+","1.0",",,0,13,","24.4",",0,02,","76.0",",,,0","354.1","0","","","","","286.8",",0","","","","","","","","","","","","","","","","","","","","","","","","","1.3",",,,0","0",",,,0","8.77",",0","18.62",",,,0","-1.08",",,,0","1817",",,,0"
"USC00298535","1959-12","32.2823","-106.7598","1184.5","STATE UNIVERSITY, NM US","","","0.0",",0","4",",0","1",",0","0",",0","0",",0","1",",0","0",",0","22",",0","0",",0","0",",0","0",",0","","","","","-10.0",",0,06,","0",",T,0,15,+","28",",,0,15,","2.8",",,0,15,","20.0",",0,04,","58.0",",,,0","717.7","0","","","","","363.6",",0","","","","","","","","","","","","","","","","","","","","","","","","","4.6",",,,0","41",",,,0","6.60",",0","15.07",",,,0","-1.86",",,,0","1966",",,,0"
"USC00298535","1960-01","32.2823","-106.7598","1184.5","STATE UNIVERSITY, NM US","0.0","0","0.0",",0","5",",0","2",",0","0",",0","0",",0","0",",0","0",",0","26",",0","0",",0","0",",0","0",",0","","","1","","-11.1",",0,18,","0",",,0,31,+","5",",,0,05,","11.4",",,0,11,","20.6",",0,31,","43.4","4,,,0","1162.6","0","","","","","444.9",",0","","","","","","","","","","","","","","","","","","","","","","","","","18.6",",,,0","5",",,,0","3.98",",0","12.28",",,,0","-4.32",",,,0","2224",",,,0"
