"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00099368","1893-02","33.5","-84.916667","259.1","WHITESBURG, GA US","4",",6","4",",6","0",",6","","","","","","","24.4",",,6,28,","48.0",",,,6"
"USC00099368","1893-03","33.5","-84.916667","259.1","WHITESBURG, GA US","7",",6","7",",6","2",",6","","","","","","","45.7",",,6,29,","109.4",",,,6"
"USC00099368","1893-04","33.5","-84.916667","259.1","WHITESBURG, GA US","5",",6","5",",6","1",",6","","","","","","","41.7",",,6,20,","69.7",",,,6"
"USC00099368","1893-05","33.5","-84.916667","259.1","WHITESBURG, GA US","9",",6","9",",6","1",",6","","","","","","","70.6",",,6,29,","151.4",",,,6"
"USC00099368","1893-06","33.5","-84.916667","259.1","WHITESBURG, GA US","8",",6","8",",6","2",",6","","","","","","","33.8",",,6,06,","134.9",",,,6"
"USC00099368","1893-07","33.5","-84.916667","259.1","WHITESBURG, GA US","1",",6","1",",6","1",",6","","","","","","","50.8",",,6,29,","50.8",",,,6"
"USC00099368","1893-08","33.5","-84.916667","259.1","WHITESBURG, GA US","5","1,6","5","1,6","4","1,6","","","","","","","90.2","1,,6,01,","217.8","1,,,6"
"USC00099368","1893-09","33.5","-84.916667","259.1","WHITESBURG, GA US","6",",6","6",",6","3",",6","","","","","","","34.3",",,6,09,","121.2",",,,6"
"USC00099368","1893-10","33.5","-84.916667","259.1","WHITESBURG, GA US","3",",6","3",",6","1",",6","","","","","","","28.4",",,6,03,","41.8",",,,6"
"USC00099368","1893-11","33.5","-84.916667","259.1","WHITESBURG, GA US","5",",6","5",",6","0",",6","","","","","","","12.7",",,6,21,","40.9",",,,6"
"USC00099368","1893-12","33.5","-84.916667","259.1","WHITESBURG, GA US","4",",6","4",",6","1",",6","","","","","","","37.1",",,6,30,","78.0",",,,6"
"USC00099368","1894-01","33.5","-84.916667","259.1","WHITESBURG, GA US","12",",6","12",",6","1",",6","","","","","","","26.4",",,6,10,","137.1",",,,6"
"USC00099368","1894-02","33.5","-84.916667","259.1","WHITESBURG, GA US","12",",6","11",",6","1",",6","","","1","","","","58.2",",,6,12,","154.9",",,,6"
"USC00099368","1894-03","33.5","-84.916667","259.1","WHITESBURG, GA US","7",",6","7",",6","3",",6","","","2","","","","39.4",",,6,21,","125.1",",,,6"
"USC00099368","1894-04","33.5","-84.916667","259.1","WHITESBURG, GA US","7",",6","7",",6","0",",6","","","","","","","24.9",",,6,20,","74.5",",,,6"
"USC00099368","1894-05","33.5","-84.916667","259.1","WHITESBURG, GA US","4",",6","4",",6","0",",6","","","","","","","24.9",",,6,10,","68.9",",,,6"
"USC00099368","1894-06","33.5","-84.916667","259.1","WHITESBURG, GA US","4",",6","4",",6","0",",6","","","","","","","8.4",",,6,25,","23.2",",,,6"
"USC00099368","1894-07","33.5","-84.916667","259.1","WHITESBURG, GA US","11",",6","10",",6","3",",6","","","2","","","","57.9",",,6,10,","200.1",",,,6"
"USC00099368","1894-08","33.5","-84.916667","259.1","WHITESBURG, GA US","10",",6","10",",6","4",",6","","","","","","","50.0",",,6,04,","193.5",",,,6"
"USC00099368","1894-09","33.5","-84.916667","259.1","WHITESBURG, GA US","2",",6","2",",6","1",",6","","","","","","","96.0",",,6,18,","109.0",",,,6"
"USC00099368","1894-10","33.5","-84.916667","259.1","WHITESBURG, GA US","3",",6","3",",6","1",",6","","","1","","","","47.0",",,6,09,","67.0",",,,6"
"USC00099368","1894-11","33.5","-84.916667","259.1","WHITESBURG, GA US","2",",6","2",",6","0",",6","","","1","","","","10.7",",,6,14,","14.5",",,,6"
"USC00099368","1894-12","33.5","-84.916667","259.1","WHITESBURG, GA US","8",",6","7",",6","1",",6","","","1","","","","31.8",",,6,12,","124.8",",,,6"
"USC00099368","1895-01","33.5","-84.916667","259.1","WHITESBURG, GA US","9",",6","9",",6","2",",6","","","2","","","","47.5",",,6,10,","199.8",",,,6"
