"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USC00085612","1937-08","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","","","","","297.5",",6","","","","","","","","","","","0",",6","0",",6","0",",6","31",",6","25",",6","","","","","","","21.1",",6,05,+","","","","","","","34.4",",6,14,","","","0.0",",6","","","","","27.93",",6","32.79",",,,6","23.06",",,,6","","","","","","","",""
"USC00085612","1937-09","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","","","","","256.8",",6","13",",6","10",",6","4",",6","","","","","0",",6","0",",6","0",",6","30",",6","17",",6","","","","","","","16.7",",6,11,","","","","","47.8",",,6,30,","35.6",",6,09,","","","0.0",",6","218.4",",,,6","","","26.89",",6","31.94",",,,6","21.85",",,,6","","","","","","","",""
"USC00085612","1937-10","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","","","","","161.5",",6","","","","","","","","","","","0",",6","0",",6","0",",6","30",",6","3",",6","","","","","","","5.0",",6,24,","","","","","","","32.8",",6,04,","","","18.8",",6","","","","","22.94",",6","27.89",",,,6","17.98",",,,6","","","","","","","",""
"USC00085612","1937-11","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","","","","","60.9",",6","10",",6","7",",6","1",",6","","","","","0",",6","0",",6","0",",6","29",",6","0",",6","","","","","","","1.1",",6,21,","","","","","114.3",",,6,26,","28.3",",6,05,+","","","31.9",",6","173.7",",,,6","","","19.30",",6","24.54",",,,6","14.06",",,,6","","","","","","","",""
"USC00085612","1937-12","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","","","","","21.7",",6","","","","","","","","","","","0",",6","2",",6","0",",6","22",",6","0",",6","","","","","","","-2.8",",6,07,","","","","","","","27.8",",6,23,+","","","79.8",",6","","","","","16.46",",6","22.15",",,,6","10.77",",,,6","","","","","","","",""
"USC00085612","1938-01","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","","","23.9","","23.9",",6","","","","","","","","","","","0",",6","2",",6","0",",6","22",",6","0",",6","","","","","","","-0.6",",6,28,","","","","","","","28.9",",6,02,","","","83.8",",6","","","","","16.40",",6","22.54",",,,6","10.27",",,,6","","","","","","","",""
"USC00085612","1938-02","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","","","59.2","","35.3",",Z","","","","","","","","","","","0",",6","0",",Z","0",",6","26",",6","0",",6","","","","","","","0.6",",Z,27,","","","","","","","28.9",",6,19,","","","27.2",",6","","","","","18.62",",Z","24.79",",,,6","12.46",",,,Z","","","","","","","",""
"USC00085612","1938-03","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","","","153.5","","94.3",",6","","","","","","","","","","","0",",6","0",",6","0",",6","31",",6","1",",6","","","","","","","7.2",",6,01,","","","","","","","32.2",",6,06,","","","4.7",",6","","","","","21.22",",6","27.75",",,,6","14.69",",,,6","","","","","","","",""
"USC00085612","1938-04","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","","","276.8","","123.3",",6","5",",6","3",",6","0",",6","","","","","0",",6","0",",6","0",",6","29",",6","0",",6","","","","","","","7.2",",6,10,","","","","","6.9",",,6,30,","31.7",",6,30,+","","","8.1",",6","14.6",",,,6","","","22.18",",6","28.11",",,,6","16.24",",,,6","","","","","","","",""
"USC00085612","1938-05","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","","","482.5","","205.7",",6","","","","","","","","","","","0",",6","0",",6","0",",6","31",",6","11",",6","","","","","","","16.1",",6,31,+","","","","","","","36.1",",6,14,","","","0.0",",6","","","","","24.97",",6","31.25",",,,6","18.69",",,,6","","","","","","","",""
"USC00085612","1938-06","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","","","706.2","","223.7",",6","10",",6","6",",6","0",",6","","","","","0",",6","0",",6","0",",6","30",",6","5",",6","","","","","","","18.3",",6,25,+","","","","","22.6",",,6,28,","32.8",",6,24,","","","0.0",",6","72.9",",,,6","","","25.79",",6","30.99",",,,6","20.59",",,,6","","","","","","","",""
"USC00085612","1938-07","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","","","962.3","","256.1",",6","","","","","","","","","","","0",",6","0",",6","0",",6","31",",6","20",",6","","","","","","","18.9",",6,13,","","","","","","","35.0",",6,26,+","0.0","","0.0",",6","","","","","26.59",",6","32.42",",,,6","20.77",",,,6","","","","","","","",""
"USC00085612","1938-08","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","","","1239.3","","277.0",",6","","","","","","","","","","","0",",6","0",",6","0",",6","31",",6","24",",6","","","","","","","18.9",",6,08,+","","","","","","","37.8",",6,18,","0.0","","0.0",",6","","","","","27.27",",6","33.38",",,,6","21.15",",,,6","","","","","","","",""
"USC00085612","1938-09","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","","","1468.9","","229.6",",6","","","","","","","","","","","0",",6","0",",6","0",",6","30",",6","16",",6","","","","","","","13.9",",6,21,","","","","","","","36.1",",6,17,","0.0","","0.0",",6","","","","","25.99",",6","31.54",",,,6","20.43",",,,6","","","","","","","",""
"USC00085612","1938-10","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","","","1599.7","","130.8",",6","","","","","","","","","","","0",",6","0",",6","0",",6","31",",6","0",",6","","","","","","","7.2",",6,29,","","","","","","","31.1",",6,16,","2.5","","2.5",",6","","","","","22.47",",6","28.26",",,,6","16.68",",,,6","","","","","","","",""
"USC00085612","1938-11","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","","","1665.4","","65.7","1,6","","","","","","","","","","","0","1,6","0","1,6","0",",6","28",",6","0",",6","","","","","","","1.7","1,6,28,","","","","","","","30.6",",6,19,+","23.3","","20.8",",6","","","","","19.84","1,6","26.26",",,,6","13.42","1,,,6","","","","","","","",""
"USC00085612","1938-12","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","","","","","","","4",",6","4",",6","0",",6","","","","","","","","","0",",6","27",",6","0",",6","","","","","","","","","","","","","8.9",",,6,26,","28.3",",6,30,+","","","","","21.6",",,,6","","","","","24.14",",,,6","","","","","","","","","",""
