"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MAM00067067","2001-09","-17.633","48.5","780.0","AMBOHITSILAOZANA, MA","","","","","","","","","0","3,S","27","3,S","0","3,S","","","30.0","3,S,08,+","","","","","27.11","3,,,S","",""
"MAM00067067","2013-04","-17.633","48.5","780.0","AMBOHITSILAOZANA, MA","","","","","0","5,","0","5,S","","","","","","","13.1","5,S,04,","","","","","","","","","16.58","5,,,S"
"MAM00067067","2013-05","-17.633","48.5","780.0","AMBOHITSILAOZANA, MA","","","","","0","2,","0","2,S","","","","","","","11.6","2,S,19,","","","","","","","","","15.53","2,,,S"
"MAM00067067","2013-06","-17.633","48.5","780.0","AMBOHITSILAOZANA, MA","","","","","0","2,","0","2,S","","","","","","","7.5","2,S,06,","","","","","","","","","12.92","2,,,S"
"MAM00067067","2013-09","-17.633","48.5","780.0","AMBOHITSILAOZANA, MA","","","","","0","4,","0","4,S","","","","","","","8.9","4,S,13,","","","","","","","","","13.23","4,,,S"
"MAM00067067","2013-10","-17.633","48.5","780.0","AMBOHITSILAOZANA, MA","","","","","0","5,","0","5,S","","","","","","","13.0","5,S,27,","","","","","","","","","15.62","5,,,S"
"MAM00067067","2013-11","-17.633","48.5","780.0","AMBOHITSILAOZANA, MA","","","","","0","3,","0","3,S","","","","","","","15.6","3,S,02,","","","","","","","","","17.84","3,,,S"
"MAM00067067","2013-12","-17.633","48.5","780.0","AMBOHITSILAOZANA, MA","","","","","0","4,","0","4,S","","","","","","","17.1","4,S,30,+","","","","","","","","","19.04","4,,,S"
"MAM00067067","2014-01","-17.633","48.5","780.0","AMBOHITSILAOZANA, MA","","","","","0","4,","0","4,S","","","","","","","16.8","4,S,01,","","","","","","","","","19.41","4,,,S"
"MAM00067067","2014-02","-17.633","48.5","780.0","AMBOHITSILAOZANA, MA","","","","","0","1,","0","1,S","","","","","","","17.1","1,S,23,","","","","","","","","","19.53","1,,,S"
"MAM00067067","2014-03","-17.633","48.5","780.0","AMBOHITSILAOZANA, MA","","","","","0","1,S","0","1,S","","","","","","","14.6","1,S,27,","","","","","","","","","18.24","1,,,S"
"MAM00067067","2014-04","-17.633","48.5","780.0","AMBOHITSILAOZANA, MA","","","115.4","4,S","0","4,S","0","4,S","0","1,S","29","1,S","0","1,S","12.6","4,S,12,","31.9","1,S,30,","0.0","1,S","22.74","4,S","29.00","1,,,S","16.47","4,,,S"
"MAM00067067","2014-05","-17.633","48.5","780.0","AMBOHITSILAOZANA, MA","","","88.9","2,S","0","1,S","0","1,S","0","1,S","30","1,S","0","1,S","9.5","1,S,27,","31.9","1,S,01,","0.5","1,S","21.28","2,S","27.79","1,,,S","14.77","1,,,S"
"MAM00067067","2014-06","-17.633","48.5","780.0","AMBOHITSILAOZANA, MA","","","","","","","","","0","3,S","27","3,S","0","3,S","","","28.4","3,S,19,","","","","","25.65","3,,,S","",""
"MAM00067067","2014-07","-17.633","48.5","780.0","AMBOHITSILAOZANA, MA","15.7","S","15.7","4,S","0","3,S","0","3,S","0","1,S","29","1,S","0","1,S","8.2","3,S,07,","28.2","1,S,10,+","13.2","1,S","18.39","4,S","23.65","1,,,S","13.12","3,,,S"
"MAM00067067","2014-09","-17.633","48.5","780.0","AMBOHITSILAOZANA, MA","","","","","0","5,S","0","5,S","","","","","","","9.6","5,S,12,","","","","","","","","","13.41","5,,,S"
