"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00128956","1893-01","40.2","-84.8","337.7","UNION CITY, IN US","0.0","6","0.0","3,6","","","","","","","","","12","2,6","29","2,6","22","1,6","0","1,6","0","1,6","-28.3","2,6,15,","","","","","10.0","1,6,28,","756.3","1,6","","","","","-9.13","3,6","-3.71","1,,,6","-14.54","2,,,6"
"USC00128956","1893-02","40.2","-84.8","337.7","UNION CITY, IN US","0.0","6","0.0",",6","","","","","","","2",",6","1",",6","28",",6","9",",6","0",",6","0",",6","-17.8",",6,04,","86",",,6,21,","","","10.0",",6,27,","576.4",",6","","","157",",,,6","-2.25",",6","3.31",",,,6","-7.81",",,,6"
"USC00128956","1893-03","40.2","-84.8","337.7","UNION CITY, IN US","","","","","8",",6","6",",6","1",",6","1",",6","","","","","","","","","","","","","25",",,6,19,","27.4",",,6,22,","","","","","67.9",",,,6","25",",,,6","","","","","",""
"USC00128956","1893-04","40.2","-84.8","337.7","UNION CITY, IN US","","","4.4","2,6","15",",6","13",",6","3",",6","1",",6","0","1,6","9","1,6","0","1,6","7","1,6","0","1,6","-2.2","1,6,22,+","51",",,6,15,","32.5",",,6,28,","27.8","1,6,08,","240.2","1,6","193.2",",,,6","77",",,,6","9.87","2,6","15.77","1,,,6","3.96","1,,,6"
"USC00128956","1893-05","40.2","-84.8","337.7","UNION CITY, IN US","","","7.5","3,6","9",",6","7",",6","2",",6","","","0","1,6","1","1,6","0","2,6","13","2,6","1","2,6","0.0","1,6,19,","","","43.2",",,6,15,","33.3","2,6,11,","135.1","2,6","135.9",",,,6","","","13.78","3,6","21.03","2,,,6","6.53","1,,,6"
"USC00128956","1893-06","40.2","-84.8","337.7","UNION CITY, IN US","","","63.4","1,6","","","","","","","","","0","1,6","0","1,6","0",",6","28",",6","2",",6","5.6","1,6,07,","","","","","35.6",",6,19,","7.2",",6","","","","","20.21","1,6","26.26",",,,6","14.16","1,,,6"
"USC00128956","1893-09","40.2","-84.8","337.7","UNION CITY, IN US","","","76.4",",6","5",",6","4",",6","0",",6","","","0",",6","2",",6","0",",6","24",",6","7",",6","-0.6",",6,29,","","","24.1",",,6,13,","35.0",",6,07,","59.2",",6","52.1",",,,6","","","18.91",",6","26.87",",,,6","10.95",",,,6"
"USC00128956","1893-10","40.2","-84.8","337.7","UNION CITY, IN US","","","7.0","4,6","3",",6","3",",6","1",",6","","","0","3,6","7","3,6","0","2,6","13","2,6","0","2,6","-6.7","3,6,30,","","","25.4",",,6,03,","30.0","2,6,10,","191.7","2,6","44.5",",,,6","","","11.81","4,6","19.24","2,,,6","4.38","3,,,6"
"USC00128956","1893-11","40.2","-84.8","337.7","UNION CITY, IN US","","","0.0","4,6","4",",6","4",",6","1",",6","","","0","2,6","20","2,6","2","2,6","0","2,6","0","2,6","-14.4","2,6,23,","","","29.7",",,6,26,","18.9","2,6,02,","360.8","2,6","63.0",",,,6","","","3.99","4,6","9.69","2,,,6","-1.70","2,,,6"
"USC00128956","1893-12","40.2","-84.8","337.7","UNION CITY, IN US","","","0.0","2,6","6",",6","5",",6","0",",6","2",",6","0","1,6","24","1,6","7","1,6","0","1,6","0","1,6","-13.9","1,6,02,","71",",,6,03,","21.8",",,6,03,","18.3","1,6,24,","540.3","1,6","54.8",",,,6","96",",,,6","-0.04","2,6","5.07","1,,,6","-5.15","1,,,6"
