"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0020K30S","1980-10","39.19","-120.26","2447.2","SQUAW VALLEY G.C., CA US","","","","","","","9",",T","9",",T","0",",T","","","","","","","","","","","","","","","","","7.6",",,T,25,+","","","","","","","48.1",",,,T","","","","","",""
"USS0020K30S","1980-11","39.19","-120.26","2447.2","SQUAW VALLEY G.C., CA US","","","","","","","11",",T","11",",T","1",",T","","","","","","","","","","","","","","","","","30.5",",,T,07,","","","","","","","93.7",",,,T","","","","","",""
"USS0020K30S","1980-12","39.19","-120.26","2447.2","SQUAW VALLEY G.C., CA US","","","","","","","11",",T","11",",T","1",",T","","","","","","","","","","","","","","","","","71.1",",,T,03,","","","","","","","119.3",",,,T","","","","","",""
"USS0020K30S","1981-01","39.19","-120.26","2447.2","SQUAW VALLEY G.C., CA US","","","","","","","20",",T","20",",T","3",",T","","","","","","","","","","","","","","","","","43.2",",,T,28,+","","","","","","","246.1",",,,T","","","","","",""
"USS0020K30S","1981-02","39.19","-120.26","2447.2","SQUAW VALLEY G.C., CA US","","","","","","","14",",T","14",",T","2",",T","","","","","","","","","","","","","","","","","53.3",",,T,13,","","","","","","","160.0",",,,T","","","","","",""
"USS0020K30S","1981-03","39.19","-120.26","2447.2","SQUAW VALLEY G.C., CA US","","","","","","","15",",T","15",",T","1",",T","","","","","","","","","","","","","","","","","50.8",",,T,25,","","","","","","","203.3",",,,T","","","","","",""
"USS0020K30S","1981-04","39.19","-120.26","2447.2","SQUAW VALLEY G.C., CA US","","","","","","","11",",T","11",",T","0",",T","","","","","","","","","","","","","","","","","15.2",",,T,01,","","","","","","","53.0",",,,T","","","","","",""
"USS0020K30S","1981-05","39.19","-120.26","2447.2","SQUAW VALLEY G.C., CA US","","","","","","","9",",T","9",",T","1",",T","","","","","","","","","","","","","","","","","33.0",",,T,18,","","","","","","","91.3",",,,T","","","","","",""
"USS0020K30S","1981-06","39.19","-120.26","2447.2","SQUAW VALLEY G.C., CA US","","","","","","","2",",T","2",",T","0",",T","","","","","","","","","","","","","","","","","7.6",",,T,22,","","","","","","","12.7",",,,T","","","","","",""
"USS0020K30S","1981-07","39.19","-120.26","2447.2","SQUAW VALLEY G.C., CA US","","","","","","","0",",T","0",",T","0",",T","","","","","","","","","","","","","","","","","0.0",",,T,31,+","","","","","","","0.0",",,,T","","","","","",""
"USS0020K30S","1981-08","39.19","-120.26","2447.2","SQUAW VALLEY G.C., CA US","","","","","","","0",",T","0",",T","0",",T","","","","","","","","","","","","","","","","","0.0",",,T,31,+","","","","","","","0.0",",,,T","","","","","",""
"USS0020K30S","1981-09","39.19","-120.26","2447.2","SQUAW VALLEY G.C., CA US","","","","","","","1",",T","1",",T","1",",T","","","","","","","","","","","","","","","","","27.9",",,T,24,","","","","","","","27.9",",,,T","","","","","",""
"USS0020K30S","1981-10","39.19","-120.26","2447.2","SQUAW VALLEY G.C., CA US","","","","","","","12",",T","12",",T","2",",T","","","","","","","","","","","","","","","","","55.9",",,T,28,","","","","","","","208.3",",,,T","","","","","",""
"USS0020K30S","1981-11","39.19","-120.26","2447.2","SQUAW VALLEY G.C., CA US","","","","","","","19",",T","19",",T","6",",T","","","","","","","","","","","","","","","","","99.1",",,T,22,","","","","","","","609.4",",,,T","","","","","",""
"USS0020K30S","1981-12","39.19","-120.26","2447.2","SQUAW VALLEY G.C., CA US","","","","","","","17",",T","17",",T","8",",T","","","","","","","","","","","","","","","","","175.3",",,T,19,","","","","","","","609.5",",,,T","","","","","",""
"USS0020K30S","1982-01","39.19","-120.26","2447.2","SQUAW VALLEY G.C., CA US","","","","","","","13",",T","13",",T","4",",T","","","","","","","","","","","","","","","","","119.4",",,T,04,","","","","","","","337.9",",,,T","","","","","",""
"USS0020K30S","1982-02","39.19","-120.26","2447.2","SQUAW VALLEY G.C., CA US","","","","","","","5",",T","5",",T","3",",T","","","","","","","","","","","","","","","","","152.4",",,T,15,","","","","","","","274.3",",,,T","","","","","",""
"USS0020K30S","1982-03","39.19","-120.26","2447.2","SQUAW VALLEY G.C., CA US","","","","","","","22",",T","22",",T","9",",T","","","","","","","","","","","","","","","","","129.5",",,T,30,","","","","","","","657.8",",,,T","","","","","",""
"USS0020K30S","1982-04","39.19","-120.26","2447.2","SQUAW VALLEY G.C., CA US","","","","","","","11",",T","11",",T","6",",T","","","","","","","","","","","","","","","","","91.4",",,T,02,","","","","","","","373.4",",,,T","","","","","",""
"USS0020K30S","1982-05","39.19","-120.26","2447.2","SQUAW VALLEY G.C., CA US","","","","","","","3",",T","3",",T","0",",T","","","","","","","","","","","","","","","","","15.2",",,T,09,","","","","","","","20.2",",,,T","","","","","",""
"USS0020K30S","1982-06","39.19","-120.26","2447.2","SQUAW VALLEY G.C., CA US","","","","","","","9",",T","9",",T","0",",T","","","","","","","","","","","","","","","","","20.3",",,T,18,","","","","","","","76.2",",,,T","","","","","",""
"USS0020K30S","1982-07","39.19","-120.26","2447.2","SQUAW VALLEY G.C., CA US","","","","","","","2",",T","2",",T","0",",T","","","","","","","","","","","","","","","","","2.5",",,T,21,+","","","","","","","5.0",",,,T","","","","","",""
"USS0020K30S","1982-08","39.19","-120.26","2447.2","SQUAW VALLEY G.C., CA US","","","","","","","2",",T","2",",T","0",",T","","","","","","","","","","","","","","","","","7.6",",,T,07,","","","","","","","10.1",",,,T","","","","","",""
