"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00205372","1976-10","43.66667","-86.41667","244.1","MEARS 1 SE, MI US","0.3","5,6","0","5,6","6","5,6","0",",6","5",",6","0",",6","","","-6.1","5,6,27,","26.7",",6,04,","303.9",",6","7.29","5,6","11.70",",,,6","2.88","5,,,6"
"USC00205372","1990-04","43.66667","-86.41667","244.1","MEARS 1 SE, MI US","","","","","","","1","2,6","7","2,6","0","2,6","","","","","27.8","2,6,28,+","","","","","12.51","2,,,6","",""
"USC00205372","1990-05","43.66667","-86.41667","244.1","MEARS 1 SE, MI US","","","","","","","0","1,6","8","1,6","0","1,6","1","","","","24.4","1,6,09,","","","","","17.17","1,,,6","",""
"USC00205372","1990-08","43.66667","-86.41667","244.1","MEARS 1 SE, MI US","","","","","","","","","","","","","3","","","","","","","","","","","","",""
