"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IDM00097460","1993-02","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","","","0","4,S","0","4,S","0","5,S","23","5,S","6","5,S","18.2","4,S,18,","32.5","5,S,02,","","","26.45","8,S","31.46","5,,,S","21.44","4,,,S"
"IDM00097460","1993-05","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","","","0","5,S","0","5,S","0","4,S","27","4,S","1","4,S","19.4","5,S,16,","32.2","4,S,05,","","","26.50","9,S","30.80","4,,,S","22.19","5,,,S"
"IDM00097460","1993-06","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","","","0","4,S","0","4,S","","","","","","","20.1","4,S,17,","","","","","","","","","21.88","4,,,S"
"IDM00097460","1993-08","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","","","0","3,S","0","3,S","0","3,S","28","3,S","0","3,S","16.8","3,S,20,","31.6","3,S,16,","","","24.81","6,S","30.18","3,,,S","19.45","3,,,S"
"IDM00097460","1993-09","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","","","0","5,S","0","5,S","0","4,S","26","4,S","0","4,S","19.6","5,S,09,","31.8","4,S,19,","","","25.37","9,S","29.53","4,,,S","21.20","5,,,S"
"IDM00097460","1993-11","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","","","0","4,S","0","4,S","0","3,S","27","3,S","7","3,S","20.0","4,S,29,","33.6","3,S,02,","","","26.78","6,S","31.80","3,,,S","21.75","4,,,S"
"IDM00097460","1995-02","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","199.4","4,S","0","2,S","0","2,S","0","3,S","25","3,S","1","3,S","20.8","2,S,22,","32.2","3,S,13,","0.0","3,S","26.62","4,S","30.98","3,,,S","22.25","2,,,S"
"IDM00097460","1995-04","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","208.2","5,S","0","3,S","0","3,S","0","3,S","27","3,S","0","3,S","20.6","3,S,16,","32.1","3,S,09,","0.0","3,S","26.70","5,S","30.97","3,,,S","22.43","3,,,S"
"IDM00097460","1995-05","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","223.2","5,S","0","3,S","0","3,S","0","3,S","28","3,S","1","3,S","21.0","3,S,27,+","32.6","3,S,17,","0.0","3,S","26.96","5,S","31.28","3,,,S","22.65","3,,,S"
"IDM00097460","1995-06","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","","","0","5,S","0","5,S","0","4,S","26","4,S","1","4,S","21.5","5,S,26,","32.6","4,S,04,","","","26.34","8,S","30.05","4,,,S","22.64","5,,,S"
"IDM00097460","1995-07","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","","","0","3,S","0","3,S","0","5,S","26","5,S","0","5,S","19.8","3,S,26,","31.0","5,S,30,","","","25.36","7,S","29.14","5,,,S","21.58","3,,,S"
"IDM00097460","1995-08","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","","","0","5,S","0","5,S","","","","","","","16.0","5,S,25,","","","","","","","","","22.26","5,,,S"
"IDM00097460","1995-09","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","206.6","3,S","0","1,S","0","1,S","0","2,S","28","2,S","0","2,S","21.3","1,S,07,","31.4","2,S,30,","0.0","2,S","26.01","3,S","29.55","2,,,S","22.47","1,,,S"
"IDM00097460","1995-10","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","","","0","4,S","0","4,S","0","5,S","26","5,S","0","5,S","20.4","4,S,06,","31.8","5,S,30,+","","","26.58","9,S","30.77","5,,,S","22.40","4,,,S"
"IDM00097460","1995-11","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","","","","","","","0","3,S","27","3,S","1","3,S","","","32.2","3,S,05,","","","","","30.94","3,,,S","",""
"IDM00097460","1995-12","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","231.6","5,S","0","2,S","0","2,S","0","3,S","28","3,S","10","3,S","21.3","2,S,23,","33.4","3,S,05,","0.0","3,S","27.24","5,S","31.59","3,,,S","22.90","2,,,S"
"IDM00097460","1996-01","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","","","","","","","0","3,S","28","3,S","0","3,S","","","32.0","3,S,22,","","","","","30.76","3,,,S","",""
"IDM00097460","1996-02","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","205.8","4,S","0","4,S","0","4,S","0",",S","29",",S","0",",S","21.0","4,S,18,","31.7",",S,29,","0.0",",S","26.49","4,S","30.38",",,,S","22.60","4,,,S"
"IDM00097460","1996-03","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","","","0","5,S","0","5,S","0","4,S","27","4,S","9","4,S","19.8","5,S,09,","33.1","4,S,07,","","","27.22","6,S","31.85","4,,,S","22.58","5,,,S"
"IDM00097460","1996-04","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","215.2","5,S","0","4,S","0","4,S","0","2,S","28","2,S","6","2,S","21.4","4,S,17,+","33.2","2,S,08,","0.0","2,S","26.91","5,S","31.48","2,,,S","22.34","4,,,S"
"IDM00097460","1996-05","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","","","0","3,S","0","3,S","0","5,S","26","5,S","5","5,S","20.2","3,S,15,","32.4","5,S,27,+","","","26.62","6,S","31.07","5,,,S","22.18","3,,,S"
"IDM00097460","1996-07","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","","","0","3,S","0","3,S","","","","","","","20.6","3,S,29,","","","","","","","","","22.02","3,,,S"
"IDM00097460","1996-08","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","","","","","","","0","3,S","28","3,S","0","3,S","","","32.0","3,S,03,","","","","","29.51","3,,,S","",""
"IDM00097460","1996-09","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","","","0","4,S","0","4,S","0","3,S","27","3,S","3","3,S","20.6","4,S,28,+","33.0","3,S,16,","","","26.36","6,S","30.57","3,,,S","22.15","4,,,S"
"IDM00097460","1996-10","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","","","","","","","0","5,S","26","5,S","1","5,S","","","35.0","5,S,24,","","","","","31.07","5,,,S","",""
"IDM00097460","1996-11","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","","","0","4,S","0","4,S","0","4,S","26","4,S","1","4,S","21.6","4,S,29,+","32.5","4,S,23,","","","26.72","7,S","30.90","4,,,S","22.55","4,,,S"
"IDM00097460","1996-12","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","238.3","4,S","0","4,S","0","4,S","0",",S","31",",S","2",",S","21.3","4,S,04,","32.8",",S,17,","0.0",",S","27.11","4,S","31.22",",,,S","23.00","4,,,S"
"IDM00097460","1997-02","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","","","0","5,S","0","5,S","0","2,S","26","2,S","3","2,S","21.4","5,S,10,","32.3","2,S,19,","","","26.75","7,S","30.74","2,,,S","22.77","5,,,S"
"IDM00097460","1997-03","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","229.3","4,S","0","3,S","0","3,S","0","3,S","28","3,S","7","3,S","21.0","3,S,27,","32.8","3,S,03,+","0.0","3,S","26.84","4,S","31.31","3,,,S","22.38","3,,,S"
"IDM00097460","1997-04","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","204.4","5,S","0","3,S","0","3,S","0","2,S","28","2,S","1","2,S","20.4","3,S,17,","32.6","2,S,29,","0.0","2,S","26.50","5,S","30.96","2,,,S","22.04","3,,,S"
"IDM00097460","1997-05","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","233.4","2,S","0","2,S","0","2,S","0",",S","31",",S","4",",S","19.4","2,S,31,","32.4",",S,10,+","0.0",",S","26.36","2,S","31.04",",,,S","21.69","2,,,S"
"IDM00097460","1997-06","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","212.5","2,S","0","1,S","0","1,S","0","1,S","29","1,S","3","1,S","18.8","1,S,07,","33.0","1,S,25,","0.0","1,S","25.90","2,S","31.31","1,,,S","20.49","1,,,S"
"IDM00097460","1997-07","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","","","","","","","0","5,S","26","5,S","0","5,S","","","31.8","5,S,22,","","","","","29.49","5,,,S","",""
"IDM00097460","1997-08","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","","","0","2,S","0","2,S","0","4,S","27","4,S","1","4,S","17.2","2,S,15,","34.6","4,S,26,","","","24.41","6,S","30.10","4,,,S","18.72","2,,,S"
"IDM00097460","1997-09","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","179.0","5,S","0","3,S","0","3,S","0","2,S","28","2,S","1","2,S","16.3","3,S,02,","32.4","2,S,29,","0.0","2,S","25.53","5,S","30.66","2,,,S","20.39","3,,,S"
"IDM00097460","1997-10","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","","","0","5,S","0","5,S","0","2,S","29","2,S","5","2,S","19.0","5,S,29,","33.2","2,S,31,+","","","26.45","7,S","31.85","2,,,S","21.06","5,,,S"
