"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00414976","1989-01","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","0.0","0","0.0","2,0","8",",0","4",",0","0",",0","0",",0","0",",0","0","1,0","12","1,0","0","1,0","3","1,0","0","1,0","5","","","","-6.7","1,0,22,","0",",,0,31,+","0",",,0,31,+","16.5",",,0,29,","22.8","1,0,07,","","","","","286.6","1,0","","","52.1",",,,0","0",",,,0","8.33","2,0","14.69","1,,,0","1.96","1,,,0","",""
"USC00414976","1989-02","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","0.0","0","0.0",",0","13",",0","9",",0","1",",0","0","2,0","0","1,0","0",",0","12",",0","4",",0","4",",0","0",",0","7","","5","","-11.7",",0,04,","0","2,,0,28,+","0","1,,0,28,+","29.0",",,0,18,","25.6",",0,27,","","","","","380.2",",0","","","116.6",",,,0","0","1,,,0","4.75",",0","10.30",",,,0","-0.80",",,,0","",""
"USC00414976","1989-03","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","9.8","0","9.8","5,0","2","5,0","2","5,0","1","5,0","0","4,0","0","3,0","0","2,0","9","2,0","2","4,0","13","4,0","0","4,0","2","","4","","-6.7","2,0,07,","0","4,,0,31,+","0","3,T,0,22,","47.5","5,,0,29,","30.0","4,0,15,","","","","","176.8","4,0","","","61.0","3,a,,0","0","3,T,,0","11.68","5,0","18.04","4,,,0","5.32","2,,,0","",""
"USC00414976","1989-04","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","59.6","0","49.8",",0","5",",0","4",",0","2",",0","0",",0","0",",0","0",",0","2",",0","0",",0","23",",0","0",",0","1","","2","","-2.8",",0,12,+","0",",,0,30,+","0",",,0,30,+","42.2",",,0,14,","30.0",",0,30,+","","","","","77.7",",0","","","87.4",",,,0","0",",,,0","17.41",",0","24.00",",,,0","10.81",",,,0","",""
"USC00414976","1989-05","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","185.2","0","125.6","1,0","9",",0","8",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0","1,0","30","1,0","1","1,0","","","","","11.1",",0,13,+","0",",,0,31,+","0",",,0,31,+","79.8",",,0,17,","32.2","1,0,30,","","","","","3.6","1,0","","","244.8",",,,0","0",",,,0","22.33","1,0","27.73","1,,,0","16.93",",,,0","",""
"USC00414976","1989-06","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","377.6","0","192.4","1,0","9",",0","5",",0","2",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","30",",0","10",",0","","","","","11.1","1,0,17,","0",",,0,30,+","0",",,0,30,+","47.0",",,0,08,","34.4",",0,25,+","","","","","0.0",",0","","","117.8",",,,0","0",",,,0","24.98","1,0","30.32",",,,0","19.64","1,,,0","",""
"USC00414976","1989-07","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","645.0","0","267.4",",0","10",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","24",",0","","","","","18.3",",0,22,","0",",,0,31,+","0",",,0,31,+","19.3",",,0,19,","36.7",",0,31,","","","0.0","0","0.0",",0","","","41.0",",,,0","0",",,,0","26.96",",0","32.60",",,,0","21.32",",,,0","",""
"USC00414976","1989-08","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","897.8","0","252.8",",0","6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","20",",0","","","","","13.3",",0,13,+","0",",,0,31,+","0",",,0,31,+","8.1",",,0,30,","37.8",",0,27,","","","0.0","0","0.0",",0","","","16.2",",,,0","0",",,,0","26.49",",0","32.43",",,,0","20.55",",,,0","",""
"USC00414976","1989-09","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","1040.6","0","142.8",",0","3",",0","2",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","11",",0","","","","","7.8",",0,22,","0",",,0,30,+","0",",,0,30,+","70.4",",,0,10,","36.1",",0,05,","","","11.5","0","11.5",",0","","","88.2",",,,0","0",",,,0","22.71",",0","29.02",",,,0","16.40",",,,0","",""
"USC00414976","1989-10","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","1108.4","0","67.8",",0","3",",0","3",",0","0",",0","0",",0","0",",0","0",",0","3",",0","0",",0","26",",0","5",",0","","","","","-2.2",",0,22,","0",",,0,31,+","0",",,0,31,+","20.3",",,0,30,","35.6",",0,07,","","","67.4","0","55.9",",0","","","31.2",",,,0","0",",,,0","18.72",",0","26.79",",,,0","10.65",",,,0","",""
"USC00414976","1989-11","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","1113.6","0","5.2",",0","3",",0","2",",0","0",",0","0",",0","0",",0","0",",0","7",",0","0",",0","17",",0","0",",0","","","","","-3.3",",0,18,+","0",",,0,30,+","0",",,0,30,+","17.0",",,0,22,","28.9",",0,12,","","","236.3","0","168.9",",0","","","22.1",",,,0","0",",,,0","12.88",",0","21.18",",,,0","4.58",",,,0","",""
"USC00414976","1989-12","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","1113.6","0","0.0","1,0","5",",0","3",",0","0",",0","0",",0","0",",0","0","1,0","25","1,0","4",",0","4",",0","0",",0","","","","","-16.7","1,0,24,+","0",",,0,31,+","0",",T,0,19,","9.9",",,0,31,","22.2",",0,10,","","","712.9","0","476.6",",0","","","18.3",",,,0","0",",T,,0","2.65","1,0","9.83",",,,0","-4.53","1,,,0","",""
"USC00414976","1990-01","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","0.0","0","0.0",",0","9",",0","6",",0","2",",0","0",",0","0",",0","0",",0","6",",0","0",",0","6",",0","0",",0","","","1","","-7.8",",0,14,","0",",,0,31,+","0",",,0,31,+","92.5",",,0,19,","21.1",",0,19,+","","","976.6","0","263.7",",0","","","209.6",",,,0","0",",,,0","9.83",",0","16.04",",,,0","3.62",",,,0","",""
"USC00414976","1990-02","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","0.0","0","0.0","1,0","7","1,0","4","1,0","1","1,0","0",",0","0",",0","0","1,0","8","1,0","0","1,0","12","1,0","0","1,0","","","","","-3.3","1,0,05,","0",",,0,28,+","0",",,0,28,+","31.8","1,,0,02,","23.3","1,0,12,","","","1187.2","0","210.6","1,0","","","79.4","1,,,0","0",",,,0","10.53","1,0","17.91","1,,,0","3.15","1,,,0","",""
"USC00414976","1990-03","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","9.0","0","9.0",",0","12",",0","9",",0","2",",0","0",",0","0",",0","0",",0","1",",0","0",",0","15",",0","0",",0","","","","","-1.7",",0,04,","0",",,0,31,+","0",",,0,31,+","74.7",",,0,08,","26.7",",0,11,","","","1329.8","0","142.6",",0","","","219.3",",,,0","0",",,,0","14.03",",0","19.76",",,,0","8.29",",,,0","",""
"USC00414976","1990-04","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","25.0","0","16.0",",0","8",",0","4",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","20",",0","0",",0","","","","","1.1",",0,08,","0",",,0,30,+","0",",,0,30,+","47.0",",,0,14,","31.1",",0,30,","","","1423.6","0","93.8",",0","","","111.2",",,,0","0",",,,0","15.74",",0","21.88",",,,0","9.60",",,,0","",""
"USC00414976","1990-05","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","109.3","0","84.3",",0","13",",0","8",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","0",",0","","","","","8.3",",0,06,","0",",,0,31,+","0",",,0,31,+","91.9",",,0,31,","31.7",",0,22,","","","1438.6","0","15.0",",0","","","316.8",",,,0","0",",,,0","20.57",",0","26.76",",,,0","14.38",",,,0","",""
"USC00414976","1990-06","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","356.6","0","247.3",",0","2",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","21",",0","","","","","15.6",",0,23,","0",",,0,30,+","0",",,0,30,+","13.2",",,0,04,","36.7",",0,19,","","","1438.6","0","0.0",",0","","","26.2",",,,0","0",",,,0","26.58",",0","32.56",",,,0","20.59",",,,0","",""
"USC00414976","1990-07","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","591.7","0","235.1","3,0","3",",0","2",",0","1",",0","0",",0","0",",0","0","3,0","0","3,0","0",",0","31",",0","21",",0","","","","","13.9","3,0,15,","0",",,0,31,+","0",",,0,31,+","39.1",",,0,23,","37.8",",0,04,","","","0.0","0","0.0",",0","","","46.2",",,,0","0",",,,0","26.69","3,0","32.83",",,,0","20.56","3,,,0","",""
"USC00414976","1990-08","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","864.3","0","272.6","2,0","4",",0","3",",0","1",",0","0",",0","0",",0","0","2,0","0","2,0","0",",0","31",",0","26",",0","","","","","15.6","2,0,17,","0",",,0,31,+","0",",,0,31,+","41.1",",,0,05,","39.4",",0,31,","","","0.0","0","0.0",",0","","","49.5",",,,0","0",",,,0","27.74","2,0","35.16",",,,0","20.32","2,,,0","",""
"USC00414976","1990-09","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","1077.5","0","213.2","1,0","7",",0","5",",0","2",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","30",",0","19",",0","","","","","7.8","1,0,24,","0",",,0,30,+","0",",,0,30,+","65.3",",,0,09,","40.0",",0,01,","","","3.3","0","3.3",",0","","","150.1",",,,0","0",",,,0","25.41","1,0","31.84",",,,0","18.99","1,,,0","",""
"USC00414976","1990-10","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","1120.5","0","43.0","3,0","3",",0","2",",0","1",",0","0",",0","0",",0","0","2,0","0","2,0","0","1,0","23","1,0","1","1,0","","","","","0.6","2,0,23,","0",",,0,31,+","0",",,0,31,+","29.0",",,0,09,","32.2","1,0,08,","","","92.2","0","88.9","1,0","","","37.9",",,,0","0",",,,0","16.78","3,0","24.66","1,,,0","8.91","2,,,0","",""
"USC00414976","1990-11","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","1132.8","0","12.3","1,0","6",",0","5",",0","4",",0","0",",0","0",",0","0","1,0","1","1,0","0",",0","20",",0","0",",0","","","","","-3.3","1,0,30,","0",",,0,30,+","0",",,0,30,+","94.0",",,0,21,","31.1",",0,01,","","","220.6","0","128.4",",0","","","232.1",",,,0","0",",,,0","14.40","1,0","21.50",",,,0","7.31","1,,,0","",""
"USC00414976","1990-12","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","1132.8","0","0.0","1,0","9",",0","7",",0","2",",0","","","0","1,0","0",",0","17",",0","3","1,0","2","1,0","0","1,0","","","","","-14.4",",0,23,","","","0","1,,0,31,+","47.0",",,0,18,","23.3","1,0,13,","","","609.9","0","389.3","1,0","","","98.2",",,,0","0","1,,,0","5.46","1,0","11.89","1,,,0","-0.96",",,,0","",""
