"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000COKS","1994-04","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","2.8","U","0.0","1,U","0","1,U","0","1,U","0",",U","6",",U","0",",U","6.7","1,U,07,","23.3",",U,12,+","1392.2","U","146.3",",U","13.24","1,U","17.16",",,,U","9.32","1,,,U"
"USR0000COKS","1994-05","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","8.6","U","5.8",",U","0",",U","0",",U","0",",U","6",",U","0",",U","8.9",",U,17,+","28.9",",U,30,","1504.5","U","112.3",",U","14.90",",U","18.88",",,,U","10.92",",,,U"
"USR0000COKS","1994-06","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","31.4","U","22.8",",U","0",",U","0",",U","0",",U","18",",U","2",",U","8.9",",U,16,+","33.9",",U,10,","1559.5","U","55.0",",U","17.26",",U","22.80",",,,U","11.72",",,,U"
"USR0000COKS","1994-07","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","33.1","U","1.7",",U","0",",U","0",",U","0",",U","14",",U","0",",U","9.4",",U,12,+","27.2",",U,25,","80.6","U","80.6",",U","15.79",",U","20.88",",,,U","10.70",",,,U"
"USR0000COKS","1994-08","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","78.9","U","45.8","2,U","0","2,U","0","2,U","0",",U","27",",U","1",",U","11.1","2,U,27,+","35.6",",U,06,","104.9","U","24.3",",U","19.26","2,U","24.97",",,,U","13.54","2,,,U"
"USR0000COKS","1994-09","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","99.5","U","20.6",",U","0",",U","0",",U","0",",U","22",",U","1",",U","10.6",",U,07,","32.8",",U,15,","143.3","U","38.4",",U","17.74",",U","22.87",",,,U","12.61",",,,U"
"USR0000COKS","1994-10","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","111.2","U","11.7",",U","0",",U","0",",U","0",",U","13",",U","0",",U","8.3",",U,30,+","28.9",",U,09,","219.4","U","76.1",",U","16.25",",U","21.16",",,,U","11.35",",,,U"
"USR0000COKS","1994-11","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","111.5","U","0.3",",U","0",",U","0",",U","0",",U","1",",U","0",",U","2.8",",U,18,","22.2",",U,30,","452.8","U","233.4",",U","10.56",",U","13.59",",,,U","7.54",",,,U"
"USR0000COKS","1994-12","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","111.5","U","0.0",",U","0",",U","0",",U","0",",U","1",",U","0",",U","9.4",",U,23,","21.1",",U,16,","565.2","U","112.4",",U","14.71",",U","17.19",",,,U","12.23",",,,U"
"USR0000COKS","1995-01","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","4.7","U","4.7","1,U","0","1,U","0","1,U","0",",U","3",",U","0",",U","11.7","1,U,20,+","23.9",",U,31,","629.7","U","64.5",",U","16.35","1,U","18.23",",,,U","14.48","1,,,U"
"USR0000COKS","1995-04","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","","","","","","","","","0",",U","7",",U","0",",U","","","26.7",",U,23,","","","","","","","18.71",",,,U","",""
"USR0000COKS","1995-05","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","","","5.0","1,U","0","1,U","0","1,U","0",",U","6",",U","0",",U","11.1","1,U,12,+","26.7",",U,31,","","","77.3",",U","15.91","1,U","18.88",",,,U","12.94","1,,,U"
"USR0000COKS","1995-06","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","","","14.1","2,U","0","2,U","0","2,U","0",",U","10",",U","2",",U","11.1","2,U,06,+","34.4",",U,25,+","","","61.2",",U","17.12","2,U","21.17",",,,U","13.08","2,,,U"
"USR0000COKS","1995-07","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","","","35.9","3,U","0","3,U","0","3,U","0",",U","20",",U","4",",U","12.8","3,U,05,+","34.4",",U,30,+","21.1","U","21.1",",U","19.33","3,U","23.84",",,,U","14.81","3,,,U"
"USR0000COKS","1995-08","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","","","51.6",",U","0",",U","0",",U","0",",U","26",",U","1",",U","10.6",",U,31,+","32.2",",U,14,","49.2","U","28.1",",U","19.09",",U","23.92",",,,U","14.26",",,,U"
"USR0000COKS","1995-09","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","","","32.7",",U","0",",U","0",",U","0",",U","19",",U","2",",U","11.1",",U,13,","32.8",",U,06,","87.9","U","38.7",",U","18.13",",U","23.00",",,,U","13.27",",,,U"
"USR0000COKS","1995-10","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","","","31.5",",U","0",",U","0",",U","0",",U","20",",U","0",",U","9.4",",U,30,+","30.0",",U,14,","143.9","U","56.0",",U","17.54",",U","22.45",",,,U","12.64",",,,U"
"USR0000COKS","1995-11","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","","","2.8",",U","0",",U","0",",U","0",",U","11",",U","0",",U","7.8",",U,10,","25.6",",U,13,","241.0","U","97.1",",U","15.19",",U","19.53",",,,U","10.85",",,,U"
"USR0000COKS","1995-12","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","","","0.0",",U","0",",U","0",",U","0",",U","0",",U","0",",U","6.7",",U,03,","20.0",",U,20,","394.1","U","153.1",",U","13.40",",U","15.53",",,,U","11.26",",,,U"
"USR0000COKS","1996-01","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","0.0","U","0.0",",U","0",",U","0",",U","0",",U","0",",U","0",",U","6.7",",U,26,+","19.4",",U,02,","583.7","U","189.6",",U","12.22",",U","14.72",",,,U","9.71",",,,U"
"USR0000COKS","1996-02","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","0.6","U","0.6",",U","0",",U","0",",U","0",",U","4",",U","0",",U","2.2",",U,25,","21.7",",U,14,+","738.5","U","154.8",",U","13.02",",U","15.76",",,,U","10.27",",,,U"
"USR0000COKS","1996-03","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","2.0","U","1.4",",U","0",",U","0",",U","0",",U","4",",U","0",",U","5.6",",U,06,","26.1",",U,18,","902.2","U","163.7",",U","13.10",",U","17.01",",,,U","9.19",",,,U"
"USR0000COKS","1996-04","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","26.5","U","24.5",",U","0",",U","0",",U","0",",U","11",",U","1",",U","6.7",",U,20,+","32.8",",U,30,","1017.2","U","115.0",",U","15.32",",U","20.11",",,,U","10.52",",,,U"
"USR0000COKS","1996-05","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","47.6","U","21.1",",U","0",",U","0",",U","0",",U","10",",U","0",",U","7.8",",U,10,+","31.1",",U,01,","1121.8","U","104.6",",U","15.64",",U","20.64",",,,U","10.64",",,,U"
"USR0000COKS","1996-06","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","86.5","U","38.9",",U","0",",U","0",",U","0",",U","17",",U","2",",U","8.3",",U,17,","35.6",",U,30,+","1195.7","U","73.9",",U","17.17",",U","22.85",",,,U","11.48",",,,U"
"USR0000COKS","1996-07","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","140.7","U","54.2","1,U","0","1,U","0","1,U","0",",U","28",",U","5",",U","10.6","1,U,11,+","35.0",",U,01,","19.4","U","19.4",",U","19.64","1,U","26.34",",,,U","12.93","1,,,U"
"USR0000COKS","1996-08","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","206.2","U","65.5",",U","0",",U","0",",U","0",",U","23",",U","5",",U","10.6",",U,22,+","35.0",",U,09,","49.7","U","30.3",",U","19.47",",U","25.78",",,,U","13.16",",,,U"
"USR0000COKS","1996-09","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","241.3","U","35.1",",U","0",",U","0",",U","0",",U","22",",U","1",",U","9.4",",U,24,+","32.2",",U,08,","96.4","U","46.7",",U","17.95",",U","23.51",",,,U","12.38",",,,U"
"USR0000COKS","1996-11","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","","","0.8",",U","0",",U","0",",U","0",",U","2",",U","0",",U","6.7",",U,29,+","23.3",",U,10,","","","149.9",",U","13.37",",U","16.64",",,,U","10.09",",,,U"
"USR0000COKS","1996-12","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","","","0.0","3,U","0","2,U","0","2,U","0","2,U","0","2,U","0","2,U","4.4","2,U,20,","16.7","2,U,31,+","","","197.7","2,U","11.38","3,U","13.45","2,,,U","9.32","2,,,U"
"USR0000COKS","1997-01","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","0.0","U","0.0",",U","0",",U","2",",U","0",",U","0",",U","0",",U","-1.7",",U,14,+","17.2",",U,29,+","","","278.0",",U","9.37",",U","12.04",",,,U","6.70",",,,U"
