"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"GLE00146861","1964-01","77.4831","-69.3831","16.0","MITT. QAANAAQ, GL","5","5,E","2","5,E","0","5,E","26","5,","150","5,,E,31,+","4.2","5,,E,13,","10.2","5,,,E"
"GLE00146861","1964-02","77.4831","-69.3831","16.0","MITT. QAANAAQ, GL","7","4,E","0","4,E","0","4,E","25","4,","200","4,,E,29,+","2.4","4,,E,25,","9.6","4,,,E"
"GLE00146861","1964-04","77.4831","-69.3831","16.0","MITT. QAANAAQ, GL","1","5,E","0","5,E","0","5,E","25","5,","300","5,,E,30,+","0.3","5,,E,23,","0.3","5,,,E"
"GLE00146861","1964-06","77.4831","-69.3831","16.0","MITT. QAANAAQ, GL","0","4,E","0","4,E","0","4,E","10","4,","100","4,,E,03,+","0.0","4,,E,30,+","0.0","4,,,E"
"GLE00146861","1964-07","77.4831","-69.3831","16.0","MITT. QAANAAQ, GL","13","4,E","8","4,E","0","4,E","0","4,","0","4,,E,31,+","16.6","4,,E,31,","72.8","4,,,E"
"GLE00146861","1964-08","77.4831","-69.3831","16.0","MITT. QAANAAQ, GL","4","5,E","0","5,E","0","5,E","0","5,","0","5,,E,31,+","2.1","5,,E,05,","3.5","5,,,E"
"GLE00146861","1964-10","77.4831","-69.3831","16.0","MITT. QAANAAQ, GL","6","5,E","3","5,E","0","5,E","","","","","3.4","5,,E,14,","12.2","5,,,E"
"GLE00146861","1964-11","77.4831","-69.3831","16.0","MITT. QAANAAQ, GL","2","5,E","1","5,E","0","5,E","","","","","2.5","5,,E,10,","3.3","5,,,E"
"GLE00146861","1965-02","77.4831","-69.3831","16.0","MITT. QAANAAQ, GL","3","4,E","1","4,E","0","4,E","23","5,","470","5,,E,23,","14.5","4,,E,22,","17.3","4,,,E"
"GLE00146861","1965-03","77.4831","-69.3831","16.0","MITT. QAANAAQ, GL","2","4,E","0","4,E","0","4,E","26","5,","360","5,,E,31,+","2.0","4,,E,17,","2.5","4,,,E"
"GLE00146861","1965-06","77.4831","-69.3831","16.0","MITT. QAANAAQ, GL","5","5,E","2","5,E","0","5,E","","","","","7.0","5,,E,14,","14.1","5,,,E"
"GLE00146861","1965-07","77.4831","-69.3831","16.0","MITT. QAANAAQ, GL","4","4,E","2","4,E","0","4,E","0","5,","0","5,,E,31,+","10.6","4,,E,20,","18.1","4,,,E"
