"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00013968","1938-12","36.1994","-95.8872","198.1","TULSA INTERNATIONAL AIRPORT, OK US","","","","","","","5",",6","2",",6","0",",6","0",",6","0",",6","0","4,6","13","4,6","1","2,6","1","2,6","0","2,6","","","","","","","-7.2","4,6,30,+","0",",T,6,20,","0",",T,6,20,+","3.8",",,6,26,","22.2","2,6,02,","","","","","","","","","","","","","","","","","11.9",",,,6","","","0",",T,,6","5.76","6,6","11.61","2,,,6","-0.10","4,,,6","","","","","","","","","","","","","","","","","","","","","",""
"USW00013968","1939-01","36.1994","-95.8872","198.1","TULSA INTERNATIONAL AIRPORT, OK US","","","0.0","6","0.0","2,6","","","","","","","","","","","0","1,6","10","1,6","0","1,6","1","1,6","0","1,6","","","","","","","-8.3","1,6,16,","","","","","","","21.1","1,6,03,","","","","","321.3","1,6","","","","","","","","","","","","","","","","","7.03","2,6","12.57","1,,,6","1.49","1,,,6","","","","","","","","","","","","","","","","","","","","","",""
"USW00013968","1939-02","36.1994","-95.8872","198.1","TULSA INTERNATIONAL AIRPORT, OK US","","","0.0","6","0.0",",6","8",",6","2",",6","0",",6","1",",6","0",",6","0",",6","23",",6","3",",6","1",",6","0",",6","","","","","","","-13.9",",6,21,","25",",,6,25,","18",",,6,25,","14.7",",,6,27,","21.7",",6,13,","","","","","448.7",",6","","","","","","","","","","","25.4",",,,6","","","18",",,,6","2.31",",6","8.28",",,,6","-3.67",",,,6","","","","","","","","","","","","","","","","","","","","","",""
"USW00013968","1939-03","36.1994","-95.8872","198.1","TULSA INTERNATIONAL AIRPORT, OK US","","","5.5","6","5.5","3,6","7",",6","2",",6","0",",6","0","1,6","0",",6","0",",6","7",",6","0","3,6","15","3,6","0","3,6","","","","","","","-4.4",",6,18,+","0","1,,6,31,+","0",",,6,31,+","17.5",",,6,28,","28.3","3,6,22,","","","","","179.9","3,6","","","","","","","","","","","23.2",",,,6","","","0",",,,6","12.19","3,6","19.69","3,,,6","4.69",",,,6","","","","","","","","","","","","","","","","","","","","","",""
"USW00013968","1939-04","36.1994","-95.8872","198.1","TULSA INTERNATIONAL AIRPORT, OK US","","","31.6","6","26.1","1,6","4",",6","2",",6","0",",6","0",",6","0",",6","0","1,6","2","1,6","0",",6","16",",6","0",",6","","","","","","","-2.2","1,6,07,","0",",,6,30,+","0",",,6,30,+","17.5",",,6,05,","31.7",",6,25,","","","","","117.7",",6","","","","","","","","","","","21.1",",,,6","","","0",",,,6","15.03","1,6","21.22",",,,6","8.84","1,,,6","","","","","","","","","","","","","","","","","","","","","",""
"USW00013968","1939-05","36.1994","-95.8872","198.1","TULSA INTERNATIONAL AIRPORT, OK US","","","131.1","6","99.5",",6","10",",6","7",",6","2",",6","0",",6","0",",6","0",",6","0",",6","0",",6","28",",6","2",",6","","","","","","","8.9",",6,14,","0",",,6,31,+","0",",,6,31,+","62.2",",,6,12,","33.9",",6,23,","","","","","14.4",",6","","","","","","","","","","","187.0",",,,6","","","0",",,,6","21.08",",6","26.93",",,,6","15.22",",,,6","","","","","","","","","","","","","","","","","","","","","",""
"USW00013968","1939-06","36.1994","-95.8872","198.1","TULSA INTERNATIONAL AIRPORT, OK US","","","327.9","6","196.8",",6","15",",6","11",",6","1",",6","0",",6","0",",6","0",",6","0",",6","0",",6","30",",6","10",",6","","","","","","","12.2",",6,04,","0",",,6,30,+","0",",,6,30,+","36.6",",,6,28,","34.4",",6,16,","","","","","0.0",",6","","","","","","","","","","","124.3",",,,6","","","0",",,,6","24.89",",6","30.23",",,,6","19.55",",,,6","","","","","","","","","","","","","","","","","","","","","",""
"USW00013968","1939-07","36.1994","-95.8872","198.1","TULSA INTERNATIONAL AIRPORT, OK US","","","648.2","6","320.3",",6","3",",6","3",",6","1",",6","0",",6","0",",6","0",",6","0",",6","0",",6","31",",6","27",",6","","","","","","","16.7",",6,01,","0",",,6,31,+","0",",,6,31,+","41.4",",,6,22,","42.8",",6,21,","0.0","6","","","0.0",",6","","","","","","","","","","","50.0",",,,6","","","0",",,,6","28.66",",6","35.43",",,,6","21.90",",,,6","","","","","","","","","","","","","","","","","","","","","",""
"USW00013968","1939-08","36.1994","-95.8872","198.1","TULSA INTERNATIONAL AIRPORT, OK US","","","943.4","6","295.2",",6","4",",6","2",",6","0",",6","","","","","0",",6","0",",6","0",",6","31",",6","25",",6","","","","","","","12.8",",6,21,","","","","","18.0",",,6,07,","40.6",",6,31,","0.0","6","","","0.0",",6","","","","","","","","","","","28.6",",,,6","","","","","27.85",",6","35.05",",,,6","20.66",",,,6","","","","","","","","","","","","","","","","","","","","","",""
"USW00013968","1939-09","36.1994","-95.8872","198.1","TULSA INTERNATIONAL AIRPORT, OK US","","","1205.9","6","262.5","1,6","1",",6","0",",6","0",",6","","","0",",6","0",",6","0",",6","0","1,6","28","1,6","22","1,6","","","","","","","4.4",",6,30,","","","0",",,6,30,+","0.3",",,6,16,","42.8","1,6,03,+","6.7","6","","","6.7","1,6","","","","","","","","","","","0.3",",,,6","","","0",",,,6","27.23","1,6","35.42","1,,,6","19.03",",,,6","","","","","","","","","","","","","","","","","","","","","",""
