"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00192000","1932-01","42.652306","-72.9976","493.2","DRURY, MA US","0.0","6","0.0","1,6","13",",6","11",",6","0",",6","7",",6","0","1,6","27","1,6","5",",6","0",",6","0",",6","","","-16.7","1,6,12,","152",",,6,03,","24.6",",,6,07,","18.9",",6,15,","569.8",",6","143.8",",,,6","457",",,,6","-0.71","1,6","4.58",",,,6","-6.00","1,,,6"
"USC00192000","1932-12","42.652306","-72.9976","493.2","DRURY, MA US","","","0.0","3,6","7",",6","6",",6","0",",6","","","3","2,6","26","2,6","11","2,6","0","2,6","0","2,6","1","","-25.0","2,6,17,","","","13.2",",,6,12,","19.4","2,6,08,","564.3","2,6","52.5",",,,6","","","-1.62","3,6","3.43","2,,,6","-6.68","2,,,6"
"USC00192000","1933-03","42.652306","-72.9976","493.2","DRURY, MA US","","","0.0","1,6","9",",6","7",",6","0",",6","7",",6","0","1,6","30","1,6","9",",6","0",",6","0",",6","","","-16.1","1,6,11,","76",",,6,02,","20.3",",,6,20,+","8.9",",6,18,+","626.9",",6","84.6",",,,6","304",",,,6","-2.70","1,6","1.80",",,,6","-7.19","1,,,6"
"USC00192000","1933-04","42.652306","-72.9976","493.2","DRURY, MA US","","","0.0","1,6","12",",6","11",",6","1",",6","2",",6","0",",6","21",",6","0","1,6","0","1,6","0","1,6","","","-7.8",",6,23,","495",",,6,13,","61.0",",,6,13,","20.0","1,6,30,","399.5","1,6","162.6",",,,6","559",",,,6","4.62","1,6","9.63","1,,,6","-0.39",",,,6"
"USC00192000","1933-11","42.652306","-72.9976","493.2","DRURY, MA US","","","0.0","2,6","11",",6","11",",6","0",",6","8",",6","1","2,6","26","2,6","6",",6","2",",6","0",",6","","","-18.3","2,6,16,","76",",,6,07,","5.8",",,6,07,","23.9",",6,04,","560.3",",6","44.0",",,,6","394",",,,6","-1.54","2,6","4.63",",,,6","-7.70","2,,,6"
"USC00192000","1933-12","42.652306","-72.9976","493.2","DRURY, MA US","","","","","8",",6","8",",6","0",",6","4",",6","10","3,6","28","3,6","14","3,6","0","3,6","0","3,6","1","","-30.0","3,6,30,","229",",,6,27,","23.4",",,6,04,","15.6","3,6,01,","","","87.0",",,,6","458",",,,6","-5.96","6,6","-0.56","3,,,6","-11.37","3,,,6"
"USC00192000","1934-01","42.652306","-72.9976","493.2","DRURY, MA US","","","","","11",",6","10",",6","0",",6","6",",6","5","4,6","27","4,6","15","3,6","0","3,6","0","3,6","1","","-25.6","4,6,30,+","152",",,6,14,","15.5",",,6,14,","8.9","3,6,02,","","","95.8",",,,6","470",",,,6","-6.87","6,6","-1.10","3,,,6","-12.64","4,,,6"
"USC00192000","1934-02","42.652306","-72.9976","493.2","DRURY, MA US","","","0.0",",6","7",",6","6",",6","0",",6","6",",6","21",",6","28",",6","21",",6","0",",6","0",",6","","","-32.2",",6,09,","305",",,6,20,","16.0",",,6,20,","7.8",",6,20,","865.9",",6","48.0",",,,6","724",",,,6","-12.59",",6","-5.33",",,,6","-19.86",",,,6"
"USC00192000","1934-03","42.652306","-72.9976","493.2","DRURY, MA US","","","0.0","2,6","8",",6","7",",6","0",",6","","","1","2,6","27","2,6","9","1,6","0","1,6","0","1,6","","","-20.0","2,6,23,","","","22.9",",,6,28,","13.9","1,6,28,","605.6","1,6","80.2",",,,6","","","-2.48","2,6","3.39","1,,,6","-8.35","2,,,6"
"USC00192000","1934-04","42.652306","-72.9976","493.2","DRURY, MA US","","","0.0","2,6","13",",6","8",",6","2",",6","","","0","1,6","20","1,6","0","1,6","1","1,6","0","1,6","","","-6.7","1,6,05,","","","39.4",",,6,12,","22.2","1,6,25,","372.6","1,6","132.9",",,,6","","","5.14","2,6","10.94","1,,,6","-0.66","1,,,6"
