"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00153798","1948-08","36.6702","-87.5588","170.7","HERNDON 5 S, KY US","4","2,0","2","2,0","0","2,0","0","2,0","0","2,0","","","0","2,,0,31,+","0","2,,0,31,+","7.6","2,,0,29,","10.7","2,,,0","0","2,,,0"
"USC00153798","1948-09","36.6702","-87.5588","170.7","HERNDON 5 S, KY US","8",",0","7",",0","0",",0","0",",0","0",",0","","","0",",,0,30,+","0",",,0,30,+","19.3",",,0,05,","58.1",",,,0","0",",,,0"
"USC00153798","1948-10","36.6702","-87.5588","170.7","HERNDON 5 S, KY US","6",",0","3",",0","2",",0","0",",0","0",",0","","","0",",,0,31,+","0",",,0,31,+","35.8",",,0,17,","79.7",",,,0","0",",,,0"
"USC00153798","1948-11","36.6702","-87.5588","170.7","HERNDON 5 S, KY US","12",",0","9",",0","3",",0","0",",0","0",",0","","","0",",,0,30,+","0",",,0,30,+","93.2",",,0,05,","276.9",",,,0","0",",,,0"
"USC00153798","1948-12","36.6702","-87.5588","170.7","HERNDON 5 S, KY US","10",",0","8",",0","2",",0","","","","","","","","","","","82.0",",,0,15,","197.3",",,,0","",""
"USC00153798","1949-01","36.6702","-87.5588","170.7","HERNDON 5 S, KY US","15",",0","13",",0","0",",0","","","","","","","","","","","24.1",",,0,18,","155.6",",,,0","",""
"USC00153798","1949-02","36.6702","-87.5588","170.7","HERNDON 5 S, KY US","7","2,0","5","2,0","3","2,0","","","","","","","","","","","77.0","2,,0,14,","185.6","2,,,0","",""
"USC00153798","1949-03","36.6702","-87.5588","170.7","HERNDON 5 S, KY US","10","2,0","8","2,0","3","2,0","","","","","","","","","","","47.8","2,,0,26,","148.1","2,,,0","",""
"USC00153798","1949-04","36.6702","-87.5588","170.7","HERNDON 5 S, KY US","10",",0","8",",0","0",",0","","","","","","","","","","","17.3",",,0,11,","70.5",",,,0","",""
"USC00153798","1949-05","36.6702","-87.5588","170.7","HERNDON 5 S, KY US","9",",0","6",",0","0",",0","","","","","","","","","","","17.5",",,0,20,","55.8",",,,0","",""
"USC00153798","1949-06","36.6702","-87.5588","170.7","HERNDON 5 S, KY US","11",",0","9",",0","3",",0","","","","","","","","","","","74.7",",,0,15,","248.2",",,,0","",""
"USC00153798","1949-07","36.6702","-87.5588","170.7","HERNDON 5 S, KY US","7",",0","5",",0","0",",0","","","","","","","","","","","24.4",",,0,13,","46.0",",,,0","",""
"USC00153798","1949-08","36.6702","-87.5588","170.7","HERNDON 5 S, KY US","14",",0","9",",0","2",",0","","","","","","","","","","","32.5",",,0,05,","145.8",",,,0","",""
"USC00153798","1949-09","36.6702","-87.5588","170.7","HERNDON 5 S, KY US","5",",0","2",",0","0",",0","","","","","","","","","","","4.3",",,0,15,","10.8",",,,0","",""
"USC00153798","1949-10","36.6702","-87.5588","170.7","HERNDON 5 S, KY US","13",",0","8",",0","2",",0","","","","","","","","","","","30.0",",,0,04,","127.2",",,,0","",""
"USC00153798","1949-11","36.6702","-87.5588","170.7","HERNDON 5 S, KY US","2",",0","1",",0","1",",0","","","","","","","","","","","27.7",",,0,12,","29.0",",,,0","",""
"USC00153798","1949-12","36.6702","-87.5588","170.7","HERNDON 5 S, KY US","6","4,0","6","4,0","0","4,0","","","","","","","","","","","7.1","4,,0,10,","151.5",",a,,0","",""
"USC00153798","1950-01","36.6702","-87.5588","170.7","HERNDON 5 S, KY US","15","4,0","11","4,0","5","4,0","0",",0","0",",0","","","0",",,0,31,+","0",",,0,31,+","52.3","4,,0,10,","366.6",",a,,0","0",",,,0"
"USC00153798","1950-02","36.6702","-87.5588","170.7","HERNDON 5 S, KY US","11",",0","9",",0","3",",0","","","","","","","","","","","45.0",",,0,13,","161.9",",,,0","",""
"USC00153798","1950-03","36.6702","-87.5588","170.7","HERNDON 5 S, KY US","7","1,0","4","1,0","1","1,0","","","","","","","","","","","30.2","1,,0,27,","67.6","1,,,0","",""
"USC00153798","1950-04","36.6702","-87.5588","170.7","HERNDON 5 S, KY US","11",",0","6",",0","0",",0","","","","","","","","","","","19.6",",,0,02,","61.3",",,,0","",""
"USC00153798","1950-05","36.6702","-87.5588","170.7","HERNDON 5 S, KY US","12",",0","8",",0","2",",0","","","","","","","","","","","38.9",",,0,04,","129.7",",,,0","",""
"USC00153798","1950-06","36.6702","-87.5588","170.7","HERNDON 5 S, KY US","8",",0","7",",0","2",",0","","","","","","","","","","","86.9",",,0,20,","185.2",",,,0","",""
"USC00153798","1950-08","36.6702","-87.5588","170.7","HERNDON 5 S, KY US","12",",0","10",",0","3",",0","","","","","","","","","","","57.4",",,0,31,","189.9",",,,0","",""
"USC00153798","1950-09","36.6702","-87.5588","170.7","HERNDON 5 S, KY US","10",",0","7",",0","2",",0","","","","","","","","","","","34.8",",,0,03,","122.2",",,,0","",""
"USC00153798","1950-10","36.6702","-87.5588","170.7","HERNDON 5 S, KY US","4",",0","2",",0","0",",0","","","","","","","","","","","22.4",",,0,22,","33.4",",,,0","",""
"USC00153798","1950-11","36.6702","-87.5588","170.7","HERNDON 5 S, KY US","","","","","","","","","","","","","","","","","","","84.4",",a,,0","",""
"USC00153798","1950-12","36.6702","-87.5588","170.7","HERNDON 5 S, KY US","6",",0","4",",0","3",",0","","","","","","","","","","","34.8",",,0,02,","101.6",",,,0","",""
"USC00153798","1951-01","36.6702","-87.5588","170.7","HERNDON 5 S, KY US","13",",0","9",",0","3",",0","","","","","","","","","","","114.6",",,0,14,","296.2",",,,0","",""
"USC00153798","1951-02","36.6702","-87.5588","170.7","HERNDON 5 S, KY US","10",",0","7",",0","1",",0","","","","","","","","","","","42.4",",,0,20,","101.8",",,,0","",""
"USC00153798","1951-03","36.6702","-87.5588","170.7","HERNDON 5 S, KY US","15",",0","10",",0","1",",0","","","","","","","","","","","33.3",",,0,17,","119.4",",,,0","",""
"USC00153798","1951-04","36.6702","-87.5588","170.7","HERNDON 5 S, KY US","9","3,0","6","3,0","2","3,0","","","","","","","","","","","29.7","3,,0,02,","85.7",",a,,0","",""
"USC00153798","1951-05","36.6702","-87.5588","170.7","HERNDON 5 S, KY US","5",",0","2",",0","0",",0","","","","","","","","","","","5.8",",,0,22,","11.4",",,,0","",""
"USC00153798","1951-06","36.6702","-87.5588","170.7","HERNDON 5 S, KY US","15",",0","11",",0","2",",0","","","","","","","","","","","34.8",",,0,30,","173.8",",,,0","",""
"USC00153798","1951-07","36.6702","-87.5588","170.7","HERNDON 5 S, KY US","6",",0","5",",0","1",",0","","","","","","","","","","","34.5",",,0,24,","72.8",",,,0","",""
"USC00153798","1951-08","36.6702","-87.5588","170.7","HERNDON 5 S, KY US","5",",0","5",",0","0",",0","","","","","","","","","","","21.6",",,0,27,","71.7",",,,0","",""
"USC00153798","1951-09","36.6702","-87.5588","170.7","HERNDON 5 S, KY US","9",",0","5",",0","1",",0","","","","","","","","","","","35.8",",,0,13,","101.4",",,,0","",""
"USC00153798","1992-06","36.6702","-87.5588","170.7","HERNDON 5 S, KY US","4",",0","4",",0","1",",0","0",",0","0",",0","1","","0",",,0,30,+","0",",,0,30,+","44.5",",,0,05,","98.1",",,,0","0",",,,0"
"USC00153798","1992-07","36.6702","-87.5588","170.7","HERNDON 5 S, KY US","9",",0","6",",0","0",",0","0",",0","0",",0","1","","0",",,0,31,+","0",",,0,31,+","21.3",",,0,22,","84.7",",,,0","0",",,,0"
"USC00153798","1992-11","36.6702","-87.5588","170.7","HERNDON 5 S, KY US","","","","","","","0",",0","0",",0","","","0",",,0,30,+","0",",,0,30,+","","","","","0",",,,0"
"USC00153798","1992-12","36.6702","-87.5588","170.7","HERNDON 5 S, KY US","","","","","","","1",",0","0","1,0","","","76",",,0,25,","0","1,,0,31,+","","","","","0","1,,,0"
"USC00153798","1995-05","36.6702","-87.5588","170.7","HERNDON 5 S, KY US","9",",0","9",",0","1",",0","0","1,0","0",",0","","","0","1,,0,31,+","0",",,0,31,+","34.0",",,0,13,","133.8",",,,0","0",",,,0"
"USC00153798","1995-06","36.6702","-87.5588","170.7","HERNDON 5 S, KY US","10",",0","8",",0","1",",0","0",",0","0",",0","","","0",",,0,30,+","0",",,0,30,+","33.0",",,0,06,","119.4",",,,0","0",",,,0"
"USC00153798","1995-07","36.6702","-87.5588","170.7","HERNDON 5 S, KY US","9",",0","9",",0","1",",0","0",",0","0",",0","","","0",",,0,31,+","0",",,0,31,+","25.7",",,0,24,","103.7",",,,0","0",",,,0"
