"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00225500","1894-02","32.9","-91.05",,"MAYERSVILLE, MS US","","","0.9","3,6","5","1,6","5","1,6","0","1,6","0","3,6","10","3,6","0","3,6","7","3,6","0","3,6","1","","-5.0","3,6,15,","21.6","1,,6,21,","27.8","3,6,19,","","","222.1","3,6","82.6","1,,,6","9.49","3,6","15.45","3,,,6","3.52","3,,,6"
"USC00225500","1894-03","32.9","-91.05",,"MAYERSVILLE, MS US","","","36.3",",6","11",",6","11",",6","3",",6","0",",6","5",",6","0",",6","23",",6","0",",6","","","-3.9",",6,26,","50.8",",,6,05,","30.0",",6,21,","","","92.9",",6","211.3",",,,6","16.50",",6","23.61",",,,6","9.40",",,,6"
"USC00225500","1894-04","32.9","-91.05",,"MAYERSVILLE, MS US","","","54.5",",6","","","","","","","0",",6","0",",6","0",",6","29",",6","0",",6","","","5.0",",6,01,","","","31.1",",6,29,","","","18.0",",6","","","19.55",",6","26.04",",,,6","13.06",",,,6"
"USC00225500","1894-05","32.9","-91.05",,"MAYERSVILLE, MS US","","","150.2",",6","8",",6","7",",6","0",",6","0",",6","0",",6","0",",6","31",",6","3",",6","1","","7.2",",6,19,","20.3",",,6,31,","32.2",",6,28,+","","","8.7",",6","71.9",",,,6","22.90",",6","29.21",",,,6","16.59",",,,6"
"USC00225500","1894-06","32.9","-91.05",,"MAYERSVILLE, MS US","","","180.2","4,6","3",",6","3",",6","0",",6","0","4,6","0","4,6","0","4,6","26","4,6","19","4,6","","","9.4","4,6,07,","10.7",",,6,23,","37.8","4,6,30,","","","1.1","4,6","28.0",",,,6","25.22","4,6","32.36","4,,,6","18.08","4,,,6"
"USC00225500","1894-07","32.9","-91.05",,"MAYERSVILLE, MS US","","","234.6",",6","9",",6","9",",6","2",",6","0",",6","0",",6","0",",6","31",",6","22",",6","","","13.9",",6,10,","47.5",",,6,06,","38.9",",6,01,","0.0","6","0.0",",6","178.0",",,,6","25.90",",6","32.54",",,,6","19.26",",,,6"
"USC00225500","1894-08","32.9","-91.05",,"MAYERSVILLE, MS US","","","227.8",",6","","","","","","","0",",6","0",",6","0",",6","31",",6","22",",6","6","","16.7",",6,06,+","","","35.6",",6,13,","0.0","6","0.0",",6","","","25.68",",6","32.28",",,,6","19.08",",,,6"
"USC00225500","1894-09","32.9","-91.05",,"MAYERSVILLE, MS US","","","151.0",",6","7",",6","5",",6","2",",6","0",",6","0",",6","0",",6","30",",6","14",",6","5","","7.2",",6,27,+","40.6",",,6,09,+","35.0",",6,07,+","0.9","6","0.9",",6","111.7",",,,6","23.34",",6","31.03",",,,6","15.65",",,,6"
"USC00225500","1894-12","32.9","-91.05",,"MAYERSVILLE, MS US","","","","","5",",6","5",",6","1",",6","","","","","","","","","","","3","","","","45.7",",,6,09,","","","","","","","87.5",",,,6","","","","","",""
"USC00225500","1895-01","32.9","-91.05",,"MAYERSVILLE, MS US","","","","","6",",6","6",",6","2",",6","","","","","","","","","","","","","","","41.9",",,6,25,","","","","","","","110.5",",,,6","","","","","",""
"USC00225500","1895-03","32.9","-91.05",,"MAYERSVILLE, MS US","","","15.0","2,6","8",",6","7",",6","5",",6","0","1,6","4","1,6","0","1,6","13","1,6","0","1,6","","","-2.2","1,6,17,+","49.5",",,6,19,","29.4","1,6,28,","","","141.7","1,6","233.6",",,,6","13.93","2,6","20.40","1,,,6","7.46","1,,,6"
"USC00225500","1895-04","32.9","-91.05",,"MAYERSVILLE, MS US","","","53.0","2,6","7",",6","4",",6","1",",6","0","1,6","0","1,6","0","1,6","24","1,6","1","1,6","","","5.0","1,6,03,","66.5",",,6,27,","32.2","1,6,30,","","","33.7","1,6","123.1",",,,6","19.03","2,6","25.79","1,,,6","12.28","1,,,6"
"USC00225500","1895-05","32.9","-91.05",,"MAYERSVILLE, MS US","","","124.7",",6","6",",6","5",",6","0",",6","0",",6","0",",6","0",",6","27",",6","5",",6","","","7.2",",6,18,","17.8",",,6,01,","34.4",",6,31,+","","","17.2",",6","44.4",",,,6","21.80",",6","27.60",",,,6","16.00",",,,6"
"USC00225500","1895-06","32.9","-91.05",,"MAYERSVILLE, MS US","","","234.1",",6","14",",6","11",",6","2",",6","0",",6","0",",6","0",",6","30",",6","15",",6","","","15.0",",6,06,","46.2",",,6,08,","36.1",",6,02,","","","0.0",",6","183.7",",,,6","26.14",",6","31.49",",,,6","20.78",",,,6"
"USC00225500","1895-07","32.9","-91.05",,"MAYERSVILLE, MS US","","","270.4",",6","","","","","","","0",",6","0",",6","0",",6","31",",6","16",",6","","","18.3",",6,10,","","","35.0",",6,19,+","0.0","6","0.0",",6","","","27.05",",6","31.89",",,,6","22.22",",,,6"
"USC00225500","1895-08","32.9","-91.05",,"MAYERSVILLE, MS US","","","283.1",",6","","","","","","","0",",6","0",",6","0",",6","31",",6","21",",6","","","19.4",",6,22,","","","33.9",",6,31,+","0.0","6","0.0",",6","","","27.47",",6","31.84",",,,6","23.09",",,,6"
"USC00225500","1895-09","32.9","-91.05",,"MAYERSVILLE, MS US","","","262.1",",6","","","","","","","0",",6","0",",6","0",",6","30",",6","25",",6","","","8.3",",6,30,","","","35.6",",6,15,+","2.8","6","2.8",",6","","","26.98",",6","32.96",",,,6","21.00",",,,6"
"USC00225500","1895-10","32.9","-91.05",,"MAYERSVILLE, MS US","","","15.0",",6","","","","","","","0",",6","0",",6","0",",6","27",",6","0",",6","","","1.7",",6,21,+","","","31.7",",6,06,","78.1","6","75.3",",6","","","16.39",",6","25.01",",,,6","7.77",",,,6"
"USC00225500","1895-11","32.9","-91.05",,"MAYERSVILLE, MS US","","","10.5",",6","","","","","","","0",",6","4",",6","0",",6","12",",6","0",",6","","","-2.8",",6,27,","","","26.7",",6,18,","248.1","6","170.0",",6","","","13.02",",6","18.75",",,,6","7.29",",,,6"
"USC00225500","1895-12","32.9","-91.05",,"MAYERSVILLE, MS US","","","0.0",",6","6",",6","6",",6","2",",6","0",",6","9",",6","0",",6","8",",6","0",",6","","","-6.1",",6,06,","42.2",",,6,01,","23.9",",6,23,","512.1","6","264.0",",6","119.4",",,,6","9.82",",6","15.63",",,,6","4.00",",,,6"
"USC00225500","1896-01","32.9","-91.05",,"MAYERSVILLE, MS US","0.0","6","0.0",",6","","","","","","","0",",6","8",",6","0",",6","0",",6","0",",6","","","-8.9",",6,05,","","","20.6",",6,11,","856.5","6","344.4",",6","","","7.22",",6","12.47",",,,6","1.97",",,,6"
"USC00225500","1896-09","32.9","-91.05",,"MAYERSVILLE, MS US","","","180.8",",6","3",",6","3",",6","0",",6","0",",6","0",",6","0",",6","29",",6","18",",6","","","3.9",",6,29,","11.4",",,6,25,","36.1",",6,16,","","","7.8",",6","19.0",",,,6","24.10",",6","31.44",",,,6","16.76",",,,6"
"USC00225500","1896-10","32.9","-91.05",,"MAYERSVILLE, MS US","","","29.7",",6","5",",6","5",",6","2",",6","0",",6","0",",6","0",",6","25",",6","0",",6","","","2.8",",6,19,","55.9",",,6,22,","31.7",",6,02,","","","52.3",",6","116.9",",,,6","17.60",",6","24.46",",,,6","10.75",",,,6"
"USC00225500","1896-11","32.9","-91.05",,"MAYERSVILLE, MS US","","","16.7","2,6","5",",6","5",",6","2",",6","0","1,6","5","1,6","1","1,6","22","1,6","0","1,6","","","-4.4","1,6,30,","40.6",",,6,28,","30.0","1,6,11,","","","108.4","1,6","112.4",",,,6","15.00","2,6","22.03","1,,,6","7.97","1,,,6"
"USC00225500","1896-12","32.9","-91.05",,"MAYERSVILLE, MS US","","","1.7",",6","2",",6","2",",6","0",",6","0",",6","13",",6","0",",6","6",",6","0",",6","","","-6.1",",6,26,","10.2",",,6,08,","24.4",",6,13,+","","","249.5",",6","19.1",",,,6","10.34",",6","17.31",",,,6","3.36",",,,6"
"USC00225500","1897-01","32.9","-91.05",,"MAYERSVILLE, MS US","1.1","","1.1",",6","7",",6","7",",6","2",",6","0",",6","19",",6","4",",6","4",",6","0",",6","","","-12.2",",6,27,","44.5",",,6,31,","22.2",",6,11,","","","372.0",",6","141.0",",,,6","6.37",",6","11.75",",,,6","0.99",",,,6"
"USC00225500","1897-02","32.9","-91.05",,"MAYERSVILLE, MS US","5.8","","4.7","2,6","4",",6","4",",6","1",",6","0","2,6","3","2,6","0",",6","10",",6","0",",6","","","-5.6","2,6,02,","31.8",",,6,05,","26.1",",6,19,","","","182.2",",6","61.8",",,,6","11.42","2,6","17.44",",,,6","5.40","2,,,6"
"USC00225500","1897-03","32.9","-91.05",,"MAYERSVILLE, MS US","33.6","","27.8","3,6","10","1,6","10","1,6","2","1,6","0","3,6","0","3,6","0","3,6","20","3,6","0","3,6","","","3.9","3,6,26,","38.1","1,,6,05,","28.9","3,6,21,+","","","69.7","3,6","165.2","1,,,6","16.84","3,6","22.11","3,,,6","11.56","3,,,6"
"USC00225500","1897-04","32.9","-91.05",,"MAYERSVILLE, MS US","79.0","","45.4",",6","3",",6","3",",6","0",",6","0",",6","0",",6","0",",6","22",",6","0",",6","","","5.0",",6,09,","14.0",",,6,08,","28.9",",6,22,","","","31.8",",6","30.5",",,,6","18.79",",6","23.47",",,,6","14.10",",,,6"
"USC00225500","1897-05","32.9","-91.05",,"MAYERSVILLE, MS US","186.5","","107.5","1,6","4",",6","4",",6","0",",6","0",",6","0",",6","0","1,6","29","1,6","0","1,6","","","12.2",",6,01,","11.9",",,6,10,","30.6","1,6,28,","","","3.1","1,6","31.7",",,,6","21.85","1,6","26.53","1,,,6","17.17",",,,6"
"USC00225500","1897-06","32.9","-91.05",,"MAYERSVILLE, MS US","437.2","","250.7","1,6","3",",6","3",",6","1",",6","0","1,6","0","1,6","0",",6","30",",6","19",",6","","","15.6","1,6,06,+","25.4",",,6,04,","35.6",",6,22,","","","0.0",",6","66.1",",,,6","26.89","1,6","32.18",",,,6","21.61","1,,,6"
