"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BRM00083698","1973-12","-21.698","-41.302","17.4","BARTOLOMEU LISANDRO, BR","11","4,S","7","4,S","1","4,S","","","","","","","32.0","4,,S,22,","81.7","4,,,S","",""
"BRM00083698","1974-02","-21.698","-41.302","17.4","BARTOLOMEU LISANDRO, BR","4","5,S","3","5,S","0","5,S","","","","","","","17.0","5,,S,12,","28.9","5,,,S","",""
"BRM00083698","1974-08","-21.698","-41.302","17.4","BARTOLOMEU LISANDRO, BR","2","3,S","2","3,S","0","3,S","","","","","","","6.1","3,,S,10,","9.1","3,,,S","",""
"BRM00083698","1976-11","-21.698","-41.302","17.4","BARTOLOMEU LISANDRO, BR","10",",S","9",",S","2",",S","","","","","","","59.9",",,S,22,","131.6",",,,S","",""
"BRM00083698","1977-12","-21.698","-41.302","17.4","BARTOLOMEU LISANDRO, BR","13","2,S","8","2,S","1","2,S","","","","","","","38.1","2,,S,12,","109.5","2,,,S","",""
"BRM00083698","1978-10","-21.698","-41.302","17.4","BARTOLOMEU LISANDRO, BR","9","3,S","6","3,S","2","3,S","","","","","","","39.9","3,,S,18,","96.2","3,,,S","",""
"BRM00083698","1978-11","-21.698","-41.302","17.4","BARTOLOMEU LISANDRO, BR","10","4,S","7","4,S","2","4,S","","","","","","","43.9","4,,S,29,","161.3","4,,,S","",""
"BRM00083698","1978-12","-21.698","-41.302","17.4","BARTOLOMEU LISANDRO, BR","12","1,S","6","1,S","3","1,S","0","5,S","0","5,S","20.0","5,S,20,+","48.0","1,,S,11,","151.8","1,,,S","21.92","5,,,S"
"BRM00083698","1979-01","-21.698","-41.302","17.4","BARTOLOMEU LISANDRO, BR","19","3,S","15","3,S","6","3,S","","","","","","","48.0","3,,S,20,","323.1","3,,,S","",""
"BRM00083698","1979-02","-21.698","-41.302","17.4","BARTOLOMEU LISANDRO, BR","10","3,S","7","3,S","2","3,S","","","","","","","49.0","3,,S,01,","130.2","3,,,S","",""
"BRM00083698","1979-04","-21.698","-41.302","17.4","BARTOLOMEU LISANDRO, BR","8","3,S","4","3,S","0","3,S","","","","","","","6.1","3,,S,13,","22.8","3,,,S","",""
"BRM00083698","1979-05","-21.698","-41.302","17.4","BARTOLOMEU LISANDRO, BR","4","1,S","3","1,S","0","1,S","","","","","","","23.1","1,,S,30,","38.6","1,,,S","",""
"BRM00083698","1979-06","-21.698","-41.302","17.4","BARTOLOMEU LISANDRO, BR","5","3,S","1","3,S","1","3,S","","","","","","","43.9","3,,S,28,","47.9","3,,,S","",""
"BRM00083698","1979-07","-21.698","-41.302","17.4","BARTOLOMEU LISANDRO, BR","2","4,S","1","4,S","0","4,S","0","5,S","0","5,S","13.0","5,S,14,","8.9","4,,S,17,","10.9","4,,,S","16.69","5,,,S"
"BRM00083698","1979-08","-21.698","-41.302","17.4","BARTOLOMEU LISANDRO, BR","4","4,S","1","4,S","0","4,S","","","","","","","3.0","4,,S,13,","6.5","4,,,S","",""
"BRM00083698","1979-09","-21.698","-41.302","17.4","BARTOLOMEU LISANDRO, BR","12",",S","9",",S","0",",S","","","","","","","19.1",",,S,18,","70.3",",,,S","",""
"BRM00083698","1979-10","-21.698","-41.302","17.4","BARTOLOMEU LISANDRO, BR","6","3,S","2","3,S","0","3,S","","","","","","","17.0","3,,S,31,","32.9","3,,,S","",""
"BRM00083698","1979-11","-21.698","-41.302","17.4","BARTOLOMEU LISANDRO, BR","12",",S","8",",S","0",",S","","","","","","","18.0",",,S,24,","67.5",",,,S","",""
"BRM00083698","1979-12","-21.698","-41.302","17.4","BARTOLOMEU LISANDRO, BR","11","2,S","9","2,S","0","2,S","","","","","","","20.1","2,,S,23,","109.5","2,,,S","",""
"BRM00083698","1980-01","-21.698","-41.302","17.4","BARTOLOMEU LISANDRO, BR","15","4,S","12","4,S","2","4,S","","","","","","","53.1","4,,S,02,","197.3","4,,,S","",""
"BRM00083698","1980-02","-21.698","-41.302","17.4","BARTOLOMEU LISANDRO, BR","7","5,S","2","5,S","1","5,S","","","","","","","31.0","5,,S,04,","40.1","5,,,S","",""
"BRM00083698","1980-04","-21.698","-41.302","17.4","BARTOLOMEU LISANDRO, BR","13","3,S","8","3,S","1","3,S","","","","","","","38.1","3,,S,16,","87.3","3,,,S","",""
"BRM00083698","1980-05","-21.698","-41.302","17.4","BARTOLOMEU LISANDRO, BR","4","5,S","3","5,S","1","5,S","","","","","","","29.0","5,,S,04,","51.8","5,,,S","",""
"BRM00083698","1980-10","-21.698","-41.302","17.4","BARTOLOMEU LISANDRO, BR","11","1,S","9","1,S","1","1,S","","","","","","","32.0","1,,S,13,","92.4","1,,,S","",""
"BRM00083698","1981-06","-21.698","-41.302","17.4","BARTOLOMEU LISANDRO, BR","6","5,S","1","5,S","0","5,S","","","","","","","3.0","5,,S,05,","6.1","5,,,S","",""
"BRM00083698","1981-07","-21.698","-41.302","17.4","BARTOLOMEU LISANDRO, BR","4","5,S","2","5,S","0","5,S","","","","","","","7.9","5,,S,11,","13.5","5,,,S","",""
"BRM00083698","1981-09","-21.698","-41.302","17.4","BARTOLOMEU LISANDRO, BR","3","2,S","3","2,S","0","2,S","","","","","","","6.1","2,,S,28,","15.3","2,,,S","",""
"BRM00083698","1984-01","-21.698","-41.302","17.4","BARTOLOMEU LISANDRO, BR","","","","","","","0","2,S","0","2,S","20.3","2,S,10,","","","","","23.32","2,,,S"
"BRM00083698","1988-01","-21.698","-41.302","17.4","BARTOLOMEU LISANDRO, BR","","","","","","","0","4,S","0","4,S","20.3","4,S,08,","","","","","23.59","4,,,S"
"BRM00083698","2017-03","-21.698","-41.302","17.4","BARTOLOMEU LISANDRO, BR","","","","","","","0","5,","0","5,S","18.9","5,S,30,","","","","","22.98","5,,,S"
"BRM00083698","2017-04","-21.698","-41.302","17.4","BARTOLOMEU LISANDRO, BR","","","","","","","0","1,","0","1,S","19.1","1,S,21,+","","","","","21.72","1,,,S"
"BRM00083698","2017-05","-21.698","-41.302","17.4","BARTOLOMEU LISANDRO, BR","","","","","","","0",",","0",",S","16.1",",S,13,","","","","","19.38",",,,S"
"BRM00083698","2017-06","-21.698","-41.302","17.4","BARTOLOMEU LISANDRO, BR","","","","","","","0","4,","0","4,S","16.6","4,S,27,","","","","","19.26","4,,,S"
"BRM00083698","2017-07","-21.698","-41.302","17.4","BARTOLOMEU LISANDRO, BR","","","","","","","0","3,","0","3,S","14.6","3,S,04,+","","","","","16.40","3,,,S"
"BRM00083698","2017-09","-21.698","-41.302","17.4","BARTOLOMEU LISANDRO, BR","","","","","","","0","4,","0","4,S","14.6","4,S,03,","","","","","18.92","4,,,S"
