"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IDM00097780","2011-04","-3.917","136.367","1770.0","ENAROTALI, ID","0","1,S","0","1,S","","","","","","","13.6","1,S,20,","","","","","14.57","1,,,S"
"IDM00097780","2011-07","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","5,S","26","5,S","0","5,S","","","26.4","5,S,29,","24.29","5,,,S","",""
"IDM00097780","2013-03","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","5,S","26","5,S","0","5,S","","","28.0","5,S,01,","24.89","5,,,S","",""
"IDM00097780","2015-04","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","2,S","27","2,S","0","2,S","","","28.0","2,S,02,","25.24","2,,,S","",""
"IDM00097780","2015-05","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","5,S","26","5,S","0","5,S","","","28.0","5,S,16,","25.70","5,,,S","",""
"IDM00097780","2015-06","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","3,S","25","3,S","0","3,S","","","28.8","3,S,18,","24.94","3,,,S","",""
"IDM00097780","2015-09","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0",",S","30",",S","0",",S","","","30.0",",S,19,","25.35",",,,S","",""
"IDM00097780","2015-11","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0",",S","30",",S","0",",S","","","28.2",",S,23,","25.56",",,,S","",""
"IDM00097780","2015-12","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","3,S","28","3,S","0","3,S","","","30.0","3,S,28,","25.92","3,,,S","",""
"IDM00097780","2016-04","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","4,S","26","4,S","0","4,S","","","28.0","4,S,25,","25.77","4,,,S","",""
"IDM00097780","2016-05","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","3,S","28","3,S","0","3,S","","","27.4","3,S,16,","26.00","3,,,S","",""
"IDM00097780","2016-06","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","3,S","27","3,S","0","3,S","","","27.2","3,S,04,","25.09","3,,,S","",""
"IDM00097780","2016-09","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","3,S","26","3,S","0","3,S","","","28.4","3,S,14,","25.49","3,,,S","",""
"IDM00097780","2016-10","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","4,S","27","4,S","0","4,S","","","27.8","4,S,10,","25.11","4,,,S","",""
"IDM00097780","2016-12","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","4,S","26","4,S","0","4,S","","","26.8","4,S,13,","24.61","4,,,S","",""
"IDM00097780","2017-02","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","3,S","25","3,S","0","3,S","","","26.5","3,S,02,","24.55","3,,,S","",""
"IDM00097780","2017-03","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","1,S","30","1,S","0","1,S","","","31.2","1,S,25,","25.60","1,,,S","",""
"IDM00097780","2017-04","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","5,S","25","5,S","0","5,S","","","27.4","5,S,21,+","25.07","5,,,S","",""
"IDM00097780","2017-05","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","2,S","29","2,S","0","2,S","","","27.4","2,S,19,","25.68","2,,,S","",""
"IDM00097780","2017-07","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","5,S","24","5,S","0","5,S","","","28.0","5,S,26,","23.29","5,,,S","",""
"IDM00097780","2017-08","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","4,S","26","4,S","0","4,S","","","26.4","4,S,26,","23.88","4,,,S","",""
"IDM00097780","2017-09","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","3,S","27","3,S","0","3,S","","","26.0","3,S,05,","23.73","3,,,S","",""
"IDM00097780","2017-10","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0",",S","31",",S","0",",S","","","26.2",",S,29,","24.28",",,,S","",""
"IDM00097780","2017-11","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","3,S","27","3,S","0","3,S","","","26.4","3,S,07,","24.32","3,,,S","",""
"IDM00097780","2017-12","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","4,S","27","4,S","0","4,S","","","25.8","4,S,06,","23.85","4,,,S","",""
"IDM00097780","2018-01","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","1,S","28","1,S","0","1,S","","","25.8","1,S,01,","23.68","1,,,S","",""
"IDM00097780","2018-02","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","2,S","24","2,S","0","2,S","","","25.0","2,S,23,+","23.46","2,,,S","",""
