"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00044259","1894-03","33.7086","-116.2152","-6.4","INDIO FIRE STATION, CA US","","","77.4",",6","0",",6","0",",6","0",",6","","","","","0",",6","0",",6","0",",6","25",",6","5",",6","","","","","1.1",",6,05,+","","","","","0.0",",,6,31,+","35.0",",6,28,","","","","","","","","","54.1",",6","","","","","","","","","","","","","","","","","","","","","","","","","0.0",",,,6","","","19.08",",6","27.09",",,,6","11.07",",,,6","",""
"USC00044259","1894-04","33.7086","-116.2152","-6.4","INDIO FIRE STATION, CA US","","","179.0",",6","0",",6","0",",6","0",",6","","","","","0",",6","0",",6","0",",6","30",",6","19",",6","","","","","10.0",",6,28,","","","","","0.0",",,6,30,+","37.2",",6,20,","","","","","","","","","1.1",",6","","","","","","","","","","","","","","","","","","","","","","","","","0.0",",,,6","","","24.26",",6","31.99",",,,6","16.54",",,,6","",""
"USC00044259","1894-05","33.7086","-116.2152","-6.4","INDIO FIRE STATION, CA US","","","246.2",",6","0","1,6","0","1,6","0","1,6","","","","","0",",6","0",",6","0",",6","31",",6","25",",6","","","","","14.4",",6,16,+","","","","","0.0","1,,6,31,+","37.8",",6,07,+","","","","","","","","","0.0",",6","","","","","","","","","","","","","","","","","","","","","","","","","0.0","1,,,6","","","26.27",",6","33.53",",,,6","19.02",",,,6","",""
"USC00044259","1904-04","33.7086","-116.2152","-6.4","INDIO FIRE STATION, CA US","","","216.1",",6","","","","","","","","","","","0",",6","0",",6","0",",6","30",",6","30",",6","","","","","6.1",",6,29,","","","","","","","43.3",",6,26,","","","","","","","","","0.0",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.54",",6","41.45",",,,6","9.63",",,,6","",""
"USC00044259","1904-05","33.7086","-116.2152","-6.4","INDIO FIRE STATION, CA US","","","265.9",",6","0",",6","0",",6","0",",6","","","","","0",",6","0",",6","0",",6","31",",6","31",",6","","","","","6.1",",6,04,","","","","","0.0",",T,6,22,+","45.0",",6,08,","","","","","","","","","0.0",",6","","","","","","","","","","","","","","","","","","","","","","","","","0.0",",T,,6","","","26.91",",6","40.62",",,,6","13.20",",,,6","",""
"USC00044259","1904-06","33.7086","-116.2152","-6.4","INDIO FIRE STATION, CA US","","","500.2",",6","","","","","","","","","","","0",",6","0",",6","0",",6","30",",6","30",",6","","","","","16.7",",6,01,","","","","","","","46.7",",6,12,","","","","","","","","","0.0",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.01",",6","43.09",",,,6","26.92",",,,6","",""
"USC00044259","1904-07","33.7086","-116.2152","-6.4","INDIO FIRE STATION, CA US","","","545.0",",6","0",",6","0",",6","0",",6","","","","","0",",6","0",",6","0",",6","31",",6","31",",6","","","","","22.2",",6,18,","","","","","0.0",",T,6,30,","46.7",",6,24,","","","0.0","","","","","","0.0",",6","","","","","","","","","","","","","","","","","","","","","","","","","0.0",",T,,6","","","35.91",",6","44.76",",,,6","27.06",",,,6","",""
"USC00044259","1904-09","33.7086","-116.2152","-6.4","INDIO FIRE STATION, CA US","","","","","","","","","","","","","","","","","","","0",",6","30",",6","30",",6","","","","","","","","","","","","","44.4",",6,07,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.02",",,,6","","","",""
"USC00044259","1904-10","33.7086","-116.2152","-6.4","INDIO FIRE STATION, CA US","","","","","0",",6","0",",6","0",",6","","","","","","","","","0",",6","31",",6","22",",6","","","","","","","","","","","0.0",",,6,31,+","33.3",",6,15,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0",",,,6","","","","","31.92",",,,6","","","",""
"USC00044259","1904-12","33.7086","-116.2152","-6.4","INDIO FIRE STATION, CA US","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00044259","1905-02","33.7086","-116.2152","-6.4","INDIO FIRE STATION, CA US","","","0.0",",6","5",",6","5",",6","0",",6","","","","","0",",6","0",",6","0",",6","27",",6","0",",6","","","","","3.3",",6,14,+","","","","","19.1",",,6,19,","25.6",",6,28,+","","","","","","","","","119.7",",6","","","","","","","","","","","","","","","","","","","","","","","","","51.0",",,,6","","","14.06",",6","23.29",",,,6","4.83",",,,6","",""
"USC00044259","1906-03","33.7086","-116.2152","-6.4","INDIO FIRE STATION, CA US","","","22.4",",6","4",",6","3",",6","1",",6","","","","","0",",6","0",",6","0",",6","27",",6","2",",6","","","","","3.9",",6,03,","","","","","32.5",",,6,24,","32.2",",6,09,+","","","","","","","","","38.6",",6","","","","","","","","","","","","","","","","","","","","","","","","","52.3",",,,6","","","17.81",",6","24.97",",,,6","10.65",",,,6","",""
"USC00044259","1906-04","33.7086","-116.2152","-6.4","INDIO FIRE STATION, CA US","","","98.7",",6","2",",6","2",",6","0",",6","","","","","0",",6","0",",6","0",",6","27",",6","6",",6","","","","","5.6",",6,02,","","","","","9.1",",,6,05,","36.7",",6,22,+","","","","","","","","","30.3",",6","","","","","","","","","","","","","","","","","","","","","","","","","11.9",",,,6","","","20.61",",6","28.00",",,,6","13.22",",,,6","",""
"USC00044259","1906-05","33.7086","-116.2152","-6.4","INDIO FIRE STATION, CA US","","","188.2",",6","0",",6","0",",6","0",",6","","","","","0",",6","0",",6","0",",6","31",",6","16",",6","","","","","12.8",",6,01,","","","","","0.0",",,6,31,+","38.3",",6,08,","","","","","","","","","0.0",",6","","","","","","","","","","","","","","","","","","","","","","","","","0.0",",,,6","","","24.40",",6","31.67",",,,6","17.14",",,,6","",""
"USC00044259","1906-06","33.7086","-116.2152","-6.4","INDIO FIRE STATION, CA US","","","365.5",",6","0",",6","0",",6","0",",6","","","","","0",",6","0",",6","0",",6","30",",6","27",",6","","","","","16.7",",6,30,+","","","","","0.0",",,6,30,+","45.6",",6,11,","","","","","","","","","0.0",",6","","","","","","","","","","","","","","","","","","","","","","","","","0.0",",,,6","","","30.52",",6","38.78",",,,6","22.25",",,,6","",""
"USC00044259","1906-07","33.7086","-116.2152","-6.4","INDIO FIRE STATION, CA US","","","507.2",",6","0",",6","0",",6","0",",6","","","","","0",",6","0",",6","0",",6","31",",6","31",",6","","","","","21.7",",6,19,","","","","","0.0",",,6,31,+","48.9",",6,24,","","","0.0","6","","","","","0.0",",6","","","","","","","","","","","","","","","","","","","","","","","","","0.0",",,,6","","","34.69",",6","42.22",",,,6","27.16",",,,6","",""
"USC00044259","1906-08","33.7086","-116.2152","-6.4","INDIO FIRE STATION, CA US","","","439.2",",6","3",",6","1",",6","0",",6","","","","","0",",6","0",",6","0",",6","31",",6","31",",6","","","","","19.4",",6,22,","","","","","24.1",",,6,18,","46.7",",6,14,","","","0.0","6","","","","","0.0",",6","","","","","","","","","","","","","","","","","","","","","","","","","27.2",",,,6","","","32.50",",6","39.87",",,,6","25.13",",,,6","",""
