"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00013866","1947-12","38.3794","-81.59","277.4","CHARLESTON YEAGER AIRPORT, WV US","","","","","0.0",",Z","7",",Z","4",",Z","0",",Z","0",",Z","0",",Z","0",",Z","28",",Z","3",",Z","0",",Z","0",",Z","","","","","","","-10.0",",Z,01,","0",",,Z,31,+","0",",T,Z,27,+","13.0",",,Z,15,","18.9",",Z,05,","","","489.9",",Z","25.9",",,,Z","0",",T,,Z","2.53",",Z","8.26",",,,Z","-3.20",",,,Z","","","","","","","","","","","","","","","","","",""
"USW00013866","1948-01","38.3794","-81.59","277.4","CHARLESTON YEAGER AIRPORT, WV US","","","0.0","0","0.0",",Z","15",",Z","8",",Z","0",",Z","19",",Z","6",",Z","2",",Z","27",",Z","13",",Z","0",",Z","0",",Z","","","","","","","-20.0",",Z,19,","254",",,Z,31,","168",",,Z,31,","18.5",",,Z,12,","19.4",",Z,01,","","","676.8",",Z","72.0",",,,Z","496",",,,Z","-3.50",",Z","1.01",",,,Z","-8.01",",,,Z","","","","","","","","","","","","","","","","","",""
"USW00013866","1948-02","38.3794","-81.59","277.4","CHARLESTON YEAGER AIRPORT, WV US","","","0.0","0","0.0",",Z","13",",Z","8",",Z","0",",Z","","","2",",Z","0",",Z","19",",Z","3",",Z","2",",Z","0",",Z","","","","","","","-13.3",",Z,10,","","","97",",,Z,05,","16.3",",,Z,04,","22.2",",Z,28,+","","","420.8",",Z","71.5",",,,Z","164",",,,Z","3.82",",Z","9.31",",,,Z","-1.67",",,,Z","","","","","","","","","","","","","","","","","",""
"USW00013866","1948-03","38.3794","-81.59","277.4","CHARLESTON YEAGER AIRPORT, WV US","","","6.2","0","6.2",",Z","15",",Z","10",",Z","0",",Z","0",",Z","0",",Z","0",",Z","10",",Z","1",",Z","11",",Z","0",",Z","","","","","","","-9.4",",Z,13,","0",",T,Z,12,+","0",",T,Z,28,+","15.7",",,Z,16,","27.8",",Z,21,","","","275.8",",Z","89.2",",,,Z","0",",T,,Z","9.63",",Z","15.75",",,,Z","3.51",",,,Z","","","","","","","","","","","","","","","","","",""
"USW00013866","1948-04","38.3794","-81.59","277.4","CHARLESTON YEAGER AIRPORT, WV US","","","24.8","0","18.6",",Z","15",",Z","10",",Z","3",",Z","0",",Z","0",",Z","0",",Z","2",",Z","0",",Z","19",",Z","0",",Z","","","","","","","-1.1",",Z,04,","0",",,Z,30,+","0",",,Z,30,+","44.2",",,Z,12,","31.1",",Z,26,","","","108.4",",Z","164.2",",,,Z","0",",,,Z","15.34",",Z","22.11",",,,Z","8.57",",,,Z","","","","","","","","","","","","","","","","","",""
"USW00013866","1948-05","38.3794","-81.59","277.4","CHARLESTON YEAGER AIRPORT, WV US","","","45.7","0","20.9",",Z","12",",Z","11",",Z","0",",Z","0",",Z","0",",Z","0",",Z","0",",Z","0",",Z","19",",Z","1",",Z","","","","","","","3.9",",Z,20,+","0",",,Z,31,+","0",",,Z,31,+","24.1",",,Z,02,","32.2",",Z,11,","","","74.9",",Z","86.2",",,,Z","0",",,,Z","16.59",",Z","22.90",",,,Z","10.27",",,,Z","","","","","","","","","","","","","","","","","",""
"USW00013866","1948-06","38.3794","-81.59","277.4","CHARLESTON YEAGER AIRPORT, WV US","","","158.0","0","112.3",",Z","14",",Z","10",",Z","0",",Z","0",",Z","0",",Z","0",",Z","0",",Z","0",",Z","30",",Z","5",",Z","","","","","","","7.2",",Z,01,","0",",,Z,30,+","0",",,Z,30,+","21.3",",,Z,07,","32.8",",Z,23,+","","","3.7",",Z","98.8",",,,Z","0",",,,Z","21.95",",Z","28.31",",,,Z","15.60",",,,Z","","","","","","","","","","","","","","","","","",""
"USW00013866","1948-07","38.3794","-81.59","277.4","CHARLESTON YEAGER AIRPORT, WV US","","","328.6","0","170.6",",Z","16",",Z","11",",Z","2",",Z","0",",Z","0",",Z","0",",Z","0",",Z","0",",Z","31",",Z","4",",Z","","","","","","","11.1",",Z,02,","0",",,Z,31,+","0",",,Z,31,+","46.0",",,Z,13,","36.7",",Z,05,","0.0","0","0.0",",Z","175.6",",,,Z","0",",,,Z","23.84",",Z","29.49",",,,Z","18.19",",,,Z","","","","","","","","","","","","","","","","","",""
"USW00013866","1948-08","38.3794","-81.59","277.4","CHARLESTON YEAGER AIRPORT, WV US","","","","","","","8","1,0","7","1,0","0","1,0","","","","","","","","","","","","","","","","","","","","","","","","","","","20.6","1,,0,31,","","","","","","","89.1","1,,,0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013866","1948-09","38.3794","-81.59","277.4","CHARLESTON YEAGER AIRPORT, WV US","","","","","","","9",",0","6",",0","0",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","21.1",",,0,10,","","","","","","","68.2",",,,0","","","","","","","","","","","","","","","","","","","","","","","","","",""
