"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00003868","1961-10","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","","","","","13.8","2,X","7","2,X","5","2,X","0","2,X","0","2,X","0","2,X","0","2,X","0","2,X","0","2,X","14","2,X","0","2,X","14","","","","6","","0.6","2,X,27,","0","2,,X,31,+","0","2,,X,31,+","13.5","2,,X,23,","28.3","2,X,12,","","","110.3","2,X","39.9","2,,,X","0","2,,,X","15.01","2,X","20.90","2,,,X","9.11","2,,,X","","","","","","","",""
"USW00003868","1961-11","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","","","","","0.0","2,X","7",",X","5",",X","2",",X","0",",X","0",",X","0","1,X","16","1,X","0","1,X","1","1,X","0","1,X","15","","","","1","","-5.6","1,X,29,","0",",,X,30,+","0",",T,X,28,+","30.2",",,X,03,","26.1","1,X,02,","","","355.7","1,X","90.2",",,,X","0",",T,,X","5.87","2,X","10.73","1,,,X","1.02","1,,,X","","","","","","","",""
"USW00003868","1961-12","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","","","","","0.0",",X","12",",X","8",",X","0",",X","5","2,X","2","1,X","0",",X","24",",X","7",",X","0",",X","0",",X","15","","","","","","-17.2",",X,28,","102","2,,X,31,+","64","1,,X,29,","18.8",",,X,16,","17.8",",X,03,","","","573.0",",X","65.8",",,,X","107","1,,,X","-0.15",",X","3.73",",,,X","-4.04",",,,X","","","","","","","",""
"USW00003868","1962-01","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","","","0.0","","0.0",",X","11",",X","8",",X","0",",X","18",",X","3",",X","3",",X","28",",X","14",",X","0",",X","0",",X","16","","","","","","-22.2",",X,10,","102",",,X,21,+","84",",,X,19,","22.1",",,X,26,","12.8",",X,26,","","","682.3",",X","96.3",",,,X","175",",,,X","-3.68",",X","0.75",",,,X","-8.11",",,,X","","","","","","","",""
"USW00003868","1962-02","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","","","0.0","","0.0",",X","9",",X","6",",X","0",",X","5",",X","3",",X","0",",X","24",",X","5",",X","0",",X","0",",X","14","","","","1","","-15.0",",X,07,+","76",",,X,24,","76",",,X,23,","14.0",",,X,23,","18.9",",X,04,","","","490.2",",X","53.6",",,,X","181",",,,X","0.83",",X","5.38",",,,X","-3.73",",,,X","","","","","","","",""
"USW00003868","1962-03","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","","","0.0","","0.0",",X","10",",X","8",",X","2",",X","1",",X","1",",X","0",",X","17",",X","2",",X","2",",X","0",",X","18","","","","2","","-13.3",",X,01,","25",",,X,09,","76",",,X,08,","36.3",",,X,20,","21.7",",X,29,","","","444.6",",X","97.6",",,,X","76",",,,X","3.99",",X","8.27",",,,X","-0.29",",,,X","","","","","","","",""
"USW00003868","1962-04","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","","","14.8","","14.8",",X","8",",X","6",",X","1",",X","0",",X","0",",X","0",",X","7",",X","0",",X","9",",X","0",",X","8","","","","2","","-2.8",",X,16,+","0",",T,X,01,","3",",,X,01,","31.0",",,X,30,","29.4",",X,30,","","","220.1",",X","64.3",",,,X","3",",,,X","11.49",",X","17.22",",,,X","5.76",",,,X","","","","","","","",""
"USW00003868","1962-05","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","","","139.3","","124.5",",X","8",",X","5",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","29",",X","6",",X","9","","","","9","","8.9",",X,09,+","0",",,X,31,+","0",",,X,31,+","34.3",",,X,27,","33.3",",X,17,","","","12.8",",X","81.6",",,,X","0",",,,X","21.94",",X","27.92",",,,X","15.95",",,,X","","","","","","","",""
"USW00003868","1962-06","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","","","290.2","","150.9",",X","6",",X","4",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","29",",X","6",",X","9","","","","10","","11.7",",X,14,+","0",",,X,30,+","0",",,X,30,+","27.9",",,X,06,","34.4",",X,18,","","","2.2",",X","63.0",",,,X","0",",,,X","23.29",",X","29.03",",,,X","17.54",",,,X","","","","","","","",""
"USW00003868","1962-07","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","","","456.7","","166.5",",X","12",",X","6",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","5",",X","21","","","","11","","10.6",",X,27,","0",",,X,31,+","0",",,X,31,+","58.7",",,X,15,","33.9",",X,14,","1.1","","1.1",",X","144.8",",,,X","0",",,,X","23.67",",X","29.09",",,,X","18.25",",,,X","","","","","","","",""
