"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IN012090600","1901-01","19.967","79.3","193.0","CHANDRAPUR, IN","","","","","3",",I","1",",I","0",",I","","","","","","","","","","","","","18.8",",,I,09,","","","","","19.9",",,,I","","","","","",""
"IN012090600","1901-02","19.967","79.3","193.0","CHANDRAPUR, IN","","","","","8",",I","4",",I","0",",I","","","","","","","","","","","","","13.0",",,I,09,","","","","","32.8",",,,I","","","","","",""
"IN012090600","1901-03","19.967","79.3","193.0","CHANDRAPUR, IN","","","","","3",",I","1",",I","1",",I","","","","","","","","","","","","","32.8",",,I,02,","","","","","36.6",",,,I","","","","","",""
"IN012090600","1901-04","19.967","79.3","193.0","CHANDRAPUR, IN","","","","","4",",I","4",",I","0",",I","","","","","","","","","","","","","9.4",",,I,07,","","","","","24.4",",,,I","","","","","",""
"IN012090600","1901-05","19.967","79.3","193.0","CHANDRAPUR, IN","","","","","2",",I","2",",I","0",",I","","","","","","","","","","","","","12.2",",,I,24,","","","","","16.5",",,,I","","","","","",""
"IN012090600","1901-06","19.967","79.3","193.0","CHANDRAPUR, IN","","","","","10",",I","7",",I","2",",I","","","","","","","","","","","","","33.3",",,I,29,","","","","","108.5",",,,I","","","","","",""
"IN012090600","1901-07","19.967","79.3","193.0","CHANDRAPUR, IN","","","","","20",",I","16",",I","6",",I","","","","","","","","","","","","","89.2",",,I,18,","","","","","437.1",",,,I","","","","","",""
"IN012090600","1901-08","19.967","79.3","193.0","CHANDRAPUR, IN","","","","","27",",I","19",",I","6",",I","","","","","","","","","","","","","66.8",",,I,22,","","","","","428.4",",,,I","","","","","",""
"IN012090600","1901-09","19.967","79.3","193.0","CHANDRAPUR, IN","","","","","9",",I","7",",I","2",",I","","","","","","","","","","","","","173.2",",,I,23,","","","","","259.4",",,,I","","","","","",""
"IN012090600","1901-10","19.967","79.3","193.0","CHANDRAPUR, IN","","","","","3",",I","1",",I","1",",I","","","","","","","","","","","","","34.5",",,I,16,","","","","","36.3",",,,I","","","","","",""
"IN012090600","1901-11","19.967","79.3","193.0","CHANDRAPUR, IN","","","","","0",",I","0",",I","0",",I","","","","","","","","","","","","","0.0",",,I,30,+","","","","","0.0",",,,I","","","","","",""
"IN012090600","1901-12","19.967","79.3","193.0","CHANDRAPUR, IN","","","","","0",",I","0",",I","0",",I","","","","","","","","","","","","","0.0",",,I,31,+","","","","","0.0",",,,I","","","","","",""
"IN012090600","1902-01","19.967","79.3","193.0","CHANDRAPUR, IN","","","","","0",",I","0",",I","0",",I","","","","","","","","","","","","","0.0",",,I,31,+","","","","","0.0",",,,I","","","","","",""
"IN012090600","1902-02","19.967","79.3","193.0","CHANDRAPUR, IN","","","","","0",",I","0",",I","0",",I","","","","","","","","","","","","","0.0",",,I,28,+","","","","","0.0",",,,I","","","","","",""
"IN012090600","1902-03","19.967","79.3","193.0","CHANDRAPUR, IN","","","","","0",",I","0",",I","0",",I","","","","","","","","","","","","","0.0",",,I,31,+","","","","","0.0",",,,I","","","","","",""
"IN012090600","1902-04","19.967","79.3","193.0","CHANDRAPUR, IN","","","","","2",",I","0",",I","0",",I","","","","","","","","","","","","","2.0",",,I,10,","","","","","2.5",",,,I","","","","","",""
"IN012090600","1902-05","19.967","79.3","193.0","CHANDRAPUR, IN","","","","","1",",I","1",",I","0",",I","","","","","","","","","","","","","8.9",",,I,04,","","","","","8.9",",,,I","","","","","",""
"IN012090600","1902-06","19.967","79.3","193.0","CHANDRAPUR, IN","","","","","6",",I","4",",I","0",",I","","","","","","","","","","","","","20.8",",,I,06,","","","","","65.1",",,,I","","","","","",""
"IN012090600","1902-07","19.967","79.3","193.0","CHANDRAPUR, IN","","","","","23",",I","17",",I","3",",I","","","","","","","","","","","","","81.0",",,I,03,","","","","","281.5",",,,I","","","","","",""
"IN012090600","1902-08","19.967","79.3","193.0","CHANDRAPUR, IN","","","","","13",",I","8",",I","1",",I","","","","","","","","","","","","","41.1",",,I,19,","","","","","106.2",",,,I","","","","","",""
"IN012090600","1902-09","19.967","79.3","193.0","CHANDRAPUR, IN","","","","","12",",I","9",",I","5",",I","","","","","","","","","","","","","44.5",",,I,02,","","","","","256.6",",,,I","","","","","",""
"IN012090600","1902-10","19.967","79.3","193.0","CHANDRAPUR, IN","","","","","2",",I","1",",I","0",",I","","","","","","","","","","","","","3.0",",,I,31,","","","","","3.3",",,,I","","","","","",""
"IN012090600","1902-11","19.967","79.3","193.0","CHANDRAPUR, IN","","","","","2",",I","1",",I","0",",I","","","","","","","","","","","","","10.7",",,I,01,","","","","","11.5",",,,I","","","","","",""
"IN012090600","1902-12","19.967","79.3","193.0","CHANDRAPUR, IN","","","","","4",",I","1",",I","0",",I","","","","","","","","","","","","","3.6",",,I,11,","","","","","6.7",",,,I","","","","","",""
"IN012090600","1903-01","19.967","79.3","193.0","CHANDRAPUR, IN","","","","","0",",I","0",",I","0",",I","","","","","","","","","","","","","0.0",",,I,31,+","","","","","0.0",",,,I","","","","","",""
"IN012090600","1903-02","19.967","79.3","193.0","CHANDRAPUR, IN","","","","","4",",I","2",",I","0",",I","","","","","","","","","","","","","3.0",",,I,22,","","","","","8.4",",,,I","","","","","",""
"IN012090600","1903-03","19.967","79.3","193.0","CHANDRAPUR, IN","","","","","1",",I","0",",I","0",",I","","","","","","","","","","","","","1.0",",,I,19,","","","","","1.0",",,,I","","","","","",""
"IN012090600","1903-04","19.967","79.3","193.0","CHANDRAPUR, IN","","","","","2",",I","0",",I","0",",I","","","","","","","","","","","","","1.8",",,I,12,","","","","","3.1",",,,I","","","","","",""
"IN012090600","1903-05","19.967","79.3","193.0","CHANDRAPUR, IN","","","","","7",",I","2",",I","1",",I","","","","","","","","","","","","","44.5",",,I,10,","","","","","55.0",",,,I","","","","","",""
"IN012090600","1903-06","19.967","79.3","193.0","CHANDRAPUR, IN","","","","","12",",I","11",",I","3",",I","","","","","","","","","","","","","50.8",",,I,27,","","","","","191.3",",,,I","","","","","",""
"IN012090600","1903-07","19.967","79.3","193.0","CHANDRAPUR, IN","","","","","22",",I","17",",I","8",",I","","","","","","","","","","","","","127.0",",,I,24,","","","","","565.5",",,,I","","","","","",""
"IN012090600","1903-08","19.967","79.3","193.0","CHANDRAPUR, IN","","","","","22",",I","17",",I","6",",I","","","","","","","","","","","","","57.2",",,I,13,","","","","","356.7",",,,I","","","","","",""
"IN012090600","1903-09","19.967","79.3","193.0","CHANDRAPUR, IN","","","","","19",",I","18",",I","3",",I","","","","","","","","","","","","","50.8",",,I,01,","","","","","273.2",",,,I","","","","","",""
"IN012090600","1903-10","19.967","79.3","193.0","CHANDRAPUR, IN","","","","","10",",I","6",",I","1",",I","","","","","","","","","","","","","65.0",",,I,05,","","","","","110.8",",,,I","","","","","",""
