"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ICM00004082","1985-09","64.296","-15.227","7.3","HORNAFJORDUR, IC","","","","","","","0","2,S","0","2,S","0","2,S","","","12.2","2,S,13,","","","","","","","9.10","2,,,S","",""
"ICM00004082","1986-01","64.296","-15.227","7.3","HORNAFJORDUR, IC","","","","","","","5","5,S","0","5,S","0","5,S","","","6.4","5,S,26,","","","","","","","2.73","5,,,S","",""
"ICM00004082","1986-02","64.296","-15.227","7.3","HORNAFJORDUR, IC","","","","","","","3","2,S","0","2,S","0","2,S","","","7.2","2,S,13,","","","","","","","3.19","2,,,S","",""
"ICM00004082","1986-03","64.296","-15.227","7.3","HORNAFJORDUR, IC","","","","","","","2","5,S","0","5,S","0","5,S","","","7.9","5,S,12,","","","","","","","4.06","5,,,S","",""
"ICM00004082","1986-04","64.296","-15.227","7.3","HORNAFJORDUR, IC","","","","","","","2",",S","0",",S","0",",S","","","11.4",",S,10,","","","","","","","6.09",",,,S","",""
"ICM00004082","1986-05","64.296","-15.227","7.3","HORNAFJORDUR, IC","","","","","","","0","2,S","0","2,S","0","2,S","","","14.8","2,S,27,","","","","","","","8.08","2,,,S","",""
"ICM00004082","1986-06","64.296","-15.227","7.3","HORNAFJORDUR, IC","","","","","","","0","1,S","0","1,S","0","1,S","","","15.7","1,S,29,+","","","","","","","11.28","1,,,S","",""
"ICM00004082","1986-07","64.296","-15.227","7.3","HORNAFJORDUR, IC","","","","","","","0",",S","0",",S","0",",S","","","16.9",",S,20,","","","","","","","13.00",",,,S","",""
"ICM00004082","1986-08","64.296","-15.227","7.3","HORNAFJORDUR, IC","","","0","5,S","0","5,S","0","1,S","0","1,S","0","1,S","1.8","5,S,29,","15.5","1,S,07,","","","","","9.08","6,S","12.26","1,,,S","5.90","5,,,S"
"ICM00004082","1986-09","64.296","-15.227","7.3","HORNAFJORDUR, IC","","","","","","","0",",S","0",",S","0",",S","","","13.0",",S,02,","","","","","","","10.61",",,,S","",""
"ICM00004082","1986-10","64.296","-15.227","7.3","HORNAFJORDUR, IC","","","","","","","0","3,S","0","3,S","0","3,S","","","10.9","3,S,09,","","","","","","","6.03","3,,,S","",""
"ICM00004082","1986-11","64.296","-15.227","7.3","HORNAFJORDUR, IC","","","0","5,S","14","5,S","","","","","","","-5.8","5,S,11,","","","","","","","","","","","-0.94","5,,,S"
"ICM00004082","1986-12","64.296","-15.227","7.3","HORNAFJORDUR, IC","","","","","","","6","5,S","0","5,S","0","5,S","","","7.3","5,S,10,","","","","","","","2.82","5,,,S","",""
"ICM00004082","1987-01","64.296","-15.227","7.3","HORNAFJORDUR, IC","","","","","","","1","4,S","0","4,S","0","4,S","","","9.5","4,S,25,+","","","","","","","3.83","4,,,S","",""
"ICM00004082","1987-02","64.296","-15.227","7.3","HORNAFJORDUR, IC","","","","","","","5","1,S","0","1,S","0","1,S","","","7.7","1,S,28,","","","","","","","2.63","1,,,S","",""
"ICM00004082","1987-03","64.296","-15.227","7.3","HORNAFJORDUR, IC","","","","","","","6",",S","0",",S","0",",S","","","8.2",",S,06,","","","","","","","3.75",",,,S","",""
"ICM00004082","1987-04","64.296","-15.227","7.3","HORNAFJORDUR, IC","0.0","4,S","0","3,S","7","3,S","1","1,S","0","1,S","0","1,S","-5.9","3,S,02,","9.5","1,S,23,","","","368.4","1,S","4.22","4,S","6.59","1,,,S","1.86","3,,,S"
"ICM00004082","1987-05","64.296","-15.227","7.3","HORNAFJORDUR, IC","0.0",",S","0",",S","5",",S","0",",S","1",",S","0",",S","-2.7",",S,01,","21.4",",S,21,","","","341.8",",S","7.31",",S","10.85",",,,S","3.76",",,,S"
"ICM00004082","1987-06","64.296","-15.227","7.3","HORNAFJORDUR, IC","0.0","1,S","0","1,S","0","1,S","0",",S","0",",S","0",",S","2.2","1,S,07,","14.2",",S,30,+","","","282.7",",S","8.55","1,S","10.94",",,,S","6.16","1,,,S"
"ICM00004082","1987-07","64.296","-15.227","7.3","HORNAFJORDUR, IC","0.0","3,S","0","3,S","0","3,S","0",",S","0",",S","0",",S","6.9","3,S,31,","17.0",",S,24,","207.9","S","207.9",",S","10.93","3,S","13.10",",,,S","8.77","3,,,S"
"ICM00004082","1987-08","64.296","-15.227","7.3","HORNAFJORDUR, IC","","","0","5,S","0","5,S","0","2,S","0","2,S","0","2,S","3.5","5,S,31,","20.2","2,S,07,","","","","","10.09","7,S","13.19","2,,,S","6.98","5,,,S"
"ICM00004082","1987-09","64.296","-15.227","7.3","HORNAFJORDUR, IC","","","","","","","0","2,S","0","2,S","0","2,S","","","14.2","2,S,08,","","","","","","","10.45","2,,,S","",""
"ICM00004082","1987-10","64.296","-15.227","7.3","HORNAFJORDUR, IC","","","","","","","0","3,S","0","3,S","0","3,S","","","10.3","3,S,01,","","","","","","","5.89","3,,,S","",""
"ICM00004082","1987-11","64.296","-15.227","7.3","HORNAFJORDUR, IC","","","","","","","1","4,S","0","4,S","0","4,S","","","8.7","4,S,05,+","","","","","","","5.72","4,,,S","",""
