"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00014848","1893-12","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","","","","","0.0",",6","15","3,6","10","3,6","0","3,6","","","7",",6","1",",6","26",",6","12",",6","0",",6","0",",6","","","","","","","-17.8",",6,02,","","","229",",,6,03,","22.9","3,,6,03,","15.6",",6,24,","","","631.3",",6","84.1","3,,,6","572",",,,6","-2.03",",6","2.78",",,,6","-6.85",",,,6","","","","","","","","","","","","","","","",""
"USW00014848","1894-01","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","","","0.0","6","0.0",",6","","","","","","","","","","","2",",6","24",",6","11",",6","0",",6","0",",6","","","","","","","-23.3",",6,25,","","","","","","","15.0",",6,17,","","","614.1",",6","","","","","-1.48",",6","2.74",",,,6","-5.69",",,,6","","","","","","","","","","","","","","","",""
"USW00014848","1894-02","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","","","0.0","6","0.0",",6","10",",6","5",",6","0",",6","","","3",",6","2",",6","25",",6","16",",6","0",",6","0",",6","","","","","","","-17.8",",6,25,+","","","203",",,6,12,","20.3",",,6,12,","12.2",",6,09,","","","639.8",",6","52.9",",,,6","326",",,,6","-4.52",",6","-0.35",",,,6","-8.69",",,,6","","","","","","","","","","","","","","","",""
"USW00014848","1894-03","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","","","0.0","6","0.0","2,Z","","","","","","","","","3",",6","0","1,6","11","1,Z","3","1,6","3","1,6","0","1,6","","","","","","","-11.7","1,Z,27,","","","127",",,6,28,","","","23.9","1,6,17,","","","327.0","1,6","","","279",",,,6","6.82","2,Z","11.65","1,,,6","2.00","1,,,Z","","","","","","","","","","","","","","","",""
"USW00014848","1894-04","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","","","6.7","6","6.7",",6","11",",6","9",",6","0",",6","","","0",",6","0",",6","8",",6","0",",6","9",",6","0",",6","","","","","","","-2.2",",6,08,+","","","13",",,6,11,","22.9",",,6,29,","27.8",",6,30,+","","","250.8",",6","90.7",",,,6","13",",,,6","10.20",",6","15.62",",,,6","4.78",",,,6","","","","","","","","","","","","","","","",""
"USW00014848","1894-05","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","","","23.9","6","17.2",",6","15",",6","13",",6","1",",6","","","","","0",",6","0",",6","0",",6","15",",6","0",",6","","","","","","","1.7",",6,19,","","","","","26.4",",,6,01,","30.6",",6,17,","","","133.2",",6","156.1",",,,6","","","14.59",",6","19.98",",,,6","9.20",",,,6","","","","","","","","","","","","","","","",""
"USW00014848","1894-06","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","","","171.3","6","147.4",",6","","","","","","","","","","","0",",6","0",",6","0",",6","27",",6","8",",6","","","","","","","5.0",",6,06,","","","","","","","33.3",",6,12,","","","26.3",",6","","","","","22.37",",6","28.32",",,,6","16.42",",,,6","","","","","","","","","","","","","","","",""
"USW00014848","1894-07","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","","","329.9","6","158.6","1,6","4",",6","2",",6","1",",6","","","","","0","1,6","0","1,6","0",",6","31",",6","10",",6","","","","","","","10.0","1,6,05,","","","","","32.8",",,6,01,","35.0",",6,18,+","1.9","6","1.9",",6","42.2",",,,6","","","23.45","1,6","29.18",",,,6","17.72","1,,,6","","","","","","","","","","","","","","","",""
"USW00014848","1894-08","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","","","446.7","6","116.8","3,6","","","","","","","","","","","0","2,6","0","2,6","0","1,6","29","1,6","5","1,6","","","","","","","11.1","2,6,22,","","","","","","","34.4","1,6,08,","2.8","6","0.9","1,6","","","","","22.45","3,6","28.10","1,,,6","16.80","2,,,6","","","","","","","","","","","","","","","",""
"USW00014848","1894-09","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","","","514.3","6","67.6","3,6","12",",6","10",",6","1",",6","","","","","0","3,6","0","3,6","0",",6","23",",6","1",",6","","","","","","","5.0","3,6,25,","","","","","31.8",",,6,10,","33.3",",6,02,","39.9","6","37.1",",6","123.9",",,,6","","","19.38","3,6","23.91",",,,6","14.84","3,,,6","","","","","","","","","","","","","","","",""
"USW00014848","1894-10","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","","","515.7","6","1.4",",6","14",",6","5",",6","0",",6","","","","","0",",6","1",",6","0",",6","5",",6","0",",6","","","","","","","-1.1",",6,15,","","","","","11.4",",,6,05,","23.3",",6,21,","242.0","6","202.1",",6","45.9",",,,6","","","11.86",",6","15.80",",,,6","7.91",",,,6","","","","","","","","","","","","","","","",""
"USW00014848","1894-11","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","","","515.7","6","0.0","4,6","","","","","","","","","6","1,6","0","3,6","20","3,6","3","1,6","0","1,6","0","1,6","","","","","","","-11.1","3,6,12,","","","127","1,,6,10,","","","15.6","1,6,02,","671.5","6","429.5","1,6","","","419","1,,,6","2.02","4,6","6.08","1,,,6","-2.05","3,,,6","","","","","","","","","","","","","","","",""
"USW00014848","1894-12","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","","","515.7","6","0.0","2,6","","","","","","","","","1",",6","0",",6","23",",6","6","2,6","0","2,6","0","2,6","","","","","","","-15.6",",6,28,","","","25",",,6,31,","","","12.2","2,6,21,+","1171.5","6","500.0","2,6","","","38",",,,6","0.80","2,6","4.10","2,,,6","-2.49",",,,6","","","","","","","","","","","","","","","",""
"USW00014848","1895-01","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","","","","","","","16","1,6","11","1,6","0","1,6","","","","","8","2,6","29","2,6","23","2,6","0","2,6","0","2,6","","","","","","","-24.4","2,6,12,","","","","","17.8","1,,6,11,","11.7","2,6,21,","","","","","96.0","1,,,6","","","-7.89","4,6","-3.30","2,,,6","-12.49","2,,,6","","","","","","","","","","","","","","","",""
