"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"USC00156679","1923-11","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","5",",6","5",",6","1",",6","","","","","","","","","","","","","","","","","25.4",",,6,04,","","","64.5",",,,6","","","",""
"USC00156679","1923-12","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","7",",6","7",",6","2",",6","","","","","","","","","","","","","","","","","41.9",",,6,31,","","","122.3",",,,6","","","",""
"USC00156679","1924-01","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","7",",6","7",",6","2",",6","","","","","","","","","","","","","","","","","68.6",",,6,03,","","","126.8",",,,6","","","",""
"USC00156679","1924-02","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","7",",6","7",",6","0",",6","","","","","","","","","","","","","","","","","14.7",",,6,20,","","","43.0",",,,6","","","",""
"USC00156679","1924-03","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","5",",6","5",",6","1",",6","","","","","","","","","","","","","","","","","33.0",",,6,29,","","","68.3",",,,6","","","",""
"USC00156679","1924-04","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","7",",6","7",",6","0",",6","","","0",",6","","","","","","","","","","","0",",,6,30,+","14.0",",,6,30,","","","44.7",",,,6","0",",,,6","",""
"USC00156679","1924-05","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","12",",6","12",",6","1",",6","","","","","","","","","","","","","","","","","27.9",",,6,21,","","","134.4",",,,6","","","",""
"USC00156679","1924-06","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","14",",6","14",",6","3",",6","","","","","","","","","","","","","","","","","53.1",",,6,11,","","","212.7",",,,6","","","",""
"USC00156679","1924-07","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","5",",6","5",",6","2",",6","","","","","","","","","","","","","","","","","37.6",",,6,13,","","","120.2",",,,6","","","",""
"USC00156679","1924-08","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","6",",6","6",",6","1",",6","","","","","","","","","","","","","","","","","30.2",",,6,17,","","","103.6",",,,6","","","",""
"USC00156679","1924-09","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","9",",6","9",",6","1",",6","","","","","","","","","","","","","","","","","55.9",",,6,22,","","","152.5",",,,6","","","",""
"USC00156679","1924-10","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","0",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","0.0",",T,6,28,+","","","0.0",",T,,6","","","",""
"USC00156679","1924-11","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","5",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","17.8",",,6,22,","","","50.7",",,,6","","","",""
"USC00156679","1924-12","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","5",",6","5",",6","2",",6","","","","","","","","","","","","","","","","","80.0",",,6,08,","","","158.0",",,,6","","","",""
"USC00156679","1925-01","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","9",",6","9",",6","1",",6","","","1",",6","","","","","","","","","","","127",",,6,28,","27.9",",,6,20,","","","75.6",",,,6","127",",,,6","",""
"USC00156679","1925-02","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","6",",6","6",",6","1",",6","","","","","","","","","","","","","","","","","33.0",",,6,15,","","","68.4",",,,6","","","",""
"USC00156679","1925-03","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","11",",6","10",",6","1",",6","","","","","","","","","","","","","","","","","26.7",",,6,19,","","","85.5",",,,6","","","",""
"USC00156679","1925-04","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","8",",6","8",",6","0",",6","","","","","","","","","","","","","","","","","15.2",",,6,28,","","","58.9",",,,6","","","",""
"USC00156679","1925-05","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","7",",6","7",",6","2",",6","","","","","","","","","","","","","","","","","44.5",",,6,11,","","","125.9",",,,6","","","",""
"USC00156679","1925-06","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","8",",6","8",",6","2",",6","","","","","","","","","","","","","","","","","32.3",",,6,25,","","","116.1",",,,6","","","",""
"USC00156679","1925-07","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","8",",6","8",",6","0",",6","","","","","","","","","","","","","","","","","21.6",",,6,21,","","","75.3",",,,6","","","",""
"USC00156679","1925-08","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","3",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","11.4",",,6,09,","","","24.6",",,,6","","","",""
"USC00156679","1925-09","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","6",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","18.5",",,6,14,","","","42.6",",,,6","","","",""
"USC00156679","1925-10","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","13",",6","12",",6","3",",6","","","","","","","","","","","","","","","","","55.1",",,6,17,","","","213.2",",,,6","","","",""
"USC00156679","1925-11","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","6",",6","6",",6","2",",6","","","","","","","","","","","","","","","","","34.3",",,6,27,","","","108.2",",,,6","","","",""
"USC00156679","1925-12","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","2",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","3.8",",,6,05,","","","6.3",",,,6","","","",""
"USC00156679","1926-01","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","8",",6","8",",6","1",",6","","","","","","","","","","","","","","","","","55.9",",,6,22,","","","119.3",",,,6","","","",""
"USC00156679","1926-02","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","8",",6","8",",6","0",",6","","","","","","","","","","","","","","","","","16.5",",,6,01,","","","66.0",",,,6","","","",""
"USC00156679","1926-03","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","10",",6","8",",6","0",",6","","","","","","","","","","","","","","","","","20.8",",,6,23,","","","55.6",",,,6","","","",""
"USC00156679","1926-04","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","6",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","13.5",",,6,12,","","","50.6",",,,6","","","",""
"USC00156679","1926-05","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","6",",6","6",",6","1",",6","","","","","","","","","","","","","","","","","31.8",",,6,16,","","","73.2",",,,6","","","",""
"USC00156679","1926-06","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","11",",6","10",",6","0",",6","","","","","","","","","","","","","","","","","23.6",",,6,01,","","","101.4",",,,6","","","",""
"USC00156679","1926-07","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","11",",6","10",",6","1",",6","","","","","","","","","","","","","","","","","48.5",",,6,06,","","","110.2",",,,6","","","",""
"USC00156679","1926-08","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","13",",6","13",",6","4",",6","","","","","","","","","","","","","","","","","40.6",",,6,17,","","","237.8",",,,6","","","",""
"USC00156679","1926-09","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","9",",6","7",",6","4",",6","","","","","","","","","","","","","","","","","63.2",",,6,25,","","","177.6",",,,6","","","",""
"USC00156679","1926-10","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","9",",6","9",",6","3",",6","","","","","","","","","","","","","","","","","40.6",",,6,20,","","","147.2",",,,6","","","",""
"USC00156679","1926-11","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","9",",6","8",",6","1",",6","","","","","","","","","","","","","","","","","26.4",",,6,26,","","","87.8",",,,6","","","",""
"USC00156679","1926-12","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","11",",6","11",",6","2",",6","","","","","","","","","","","","","","","","","27.4",",,6,22,","","","135.8",",,,6","","","",""
"USC00156679","1927-01","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","11",",6","10",",6","0",",6","","","","","","","","","","","","","","","","","21.1",",,6,24,","","","97.1",",,,6","","","",""
"USC00156679","1927-02","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","11",",6","11",",6","1",",6","","","","","","","","","","","","","","","","","27.9",",,6,19,","","","95.8",",,,6","","","",""
"USC00156679","1927-03","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","10",",6","10",",6","1",",6","","","","","","","","","","","","","","","","","30.7",",,6,31,","","","109.5",",,,6","","","",""
"USC00156679","1927-04","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","14",",6","12",",6","1",",6","","","","","","","","","","","","","","","","","38.1",",,6,01,","","","168.0",",,,6","","","",""
"USC00156679","1927-05","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","14",",6","13",",6","3",",6","","","","","","","","","","","","","","","","","30.0",",,6,25,","","","191.8",",,,6","","","",""
"USC00156679","1927-06","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","11",",6","10",",6","1",",6","","","","","","","","","","","","","","","","","30.5",",,6,14,","","","122.9",",,,6","","","",""
"USC00156679","1927-07","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","8",",6","6",",6","1",",6","","","","","","","","","","","","","","","","","26.7",",,6,15,","","","94.2",",,,6","","","",""
"USC00156679","1927-08","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","6",",6","6",",6","0",",6","","","","","","","","","","","","","","","","","12.7",",,6,14,","","","44.7",",,,6","","","",""
"USC00156679","1927-09","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","4",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","15.2",",,6,19,","","","31.7",",,,6","","","",""
"USC00156679","1927-10","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","5",",6","4",",6","1",",6","","","","","","","","","","","","","","","","","26.7",",,6,13,","","","54.2",",,,6","","","",""
"USC00156679","1927-11","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","8",",6","8",",6","2",",6","","","","","","","","","","","","","","","","","75.4",",,6,17,","","","135.1",",,,6","","","",""
"USC00156679","1927-12","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","7",",6","7",",6","0",",6","","","","","","","","","","","","","","","","","22.1",",,6,12,","","","86.1",",,,6","","","",""
"USC00156679","1928-01","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","7",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","6.4",",,6,19,","","","22.8",",,,6","","","",""
"USC00156679","1928-02","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","10",",6","9",",6","0",",6","","","","","","","","","","","","","","","","","14.2",",,6,23,","","","54.6",",,,6","","","",""
"USC00156679","1928-03","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","5",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","23.9",",,6,14,","","","60.5",",,,6","","","",""
"USC00156679","1928-04","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","12",",6","12",",6","0",",6","","","","","","","","","","","","","","","","","21.8",",,6,27,","","","93.4",",,,6","","","",""
"USC00156679","1928-05","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","6",",6","6",",6","1",",6","","","","","","","","","","","","","","","","","29.2",",,6,26,","","","68.6",",,,6","","","",""
"USC00156679","1928-06","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","17",",6","16",",6","4",",6","","","","","","","","","","","","","","","","","77.2",",,6,29,","","","291.2",",,,6","","","",""
"USC00156679","1928-07","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","8",",6","8",",6","3",",6","","","","","","","","","","","","","","","","","41.4",",,6,13,","","","176.5",",,,6","","","",""
"USC00156679","1928-08","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","13",",6","13",",6","2",",6","","","","","","","","","","","","","","","","","37.3",",,6,19,","","","156.1",",,,6","","","",""
"USC00156679","1928-09","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","0",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","0.0",",,6,30,+","","","0.0",",,,6","","","",""
"USC00156679","1928-10","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","6",",6","5",",6","1",",6","","","","","","","","","","","","","","","","","28.4",",,6,18,","","","72.8",",,,6","","","",""
"USC00156679","1928-11","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","10",",6","7",",6","2",",6","","","","","","","","","","","","","","","","","41.4",",,6,30,","","","123.0",",,,6","","","",""
"USC00156679","1928-12","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","6",",6","6",",6","0",",6","","","","","","","","","","","","","","","","","14.7",",,6,05,","","","34.2",",,,6","","","",""
"USC00156679","1929-01","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","6",",6","6",",6","1",",6","","","","","","","","","","","","","","","","","29.2",",,6,19,","","","81.0",",,,6","","","",""
"USC00156679","1929-02","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","7",",6","6",",6","2",",6","","","","","","","","","","","","","","","","","34.3",",,6,21,","","","96.3",",,,6","","","",""
"USC00156679","1929-03","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","8",",6","8",",6","2",",6","","","","","","","","","","","","","","","","","47.0",",,6,23,","","","149.6",",,,6","","","",""
"USC00156679","1929-04","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","5",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","20.3",",,6,28,","","","61.4",",,,6","","","",""
"USC00156679","1929-05","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","11",",6","11",",6","3",",6","","","","","","","","","","","","","","","","","47.0",",,6,03,","","","180.9",",,,6","","","",""
"USC00156679","1929-06","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","8",",6","8",",6","0",",6","","","","","","","","","","","","","","","","","13.7",",,6,09,","","","63.8",",,,6","","","",""
"USC00156679","1929-07","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","9",",6","9",",6","1",",6","","","","","","","","","","","","","","","","","31.8",",,6,01,","","","93.8",",,,6","","","",""
"USC00156679","1929-08","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","7",",6","7",",6","1",",6","","","","","","","","","","","","","","","","","30.5",",,6,12,","","","76.9",",,,6","","","",""
"USC00156679","1929-09","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","11",",6","11",",6","1",",6","","","","","","","","","","","","","","","","","44.5",",,6,09,","","","142.6",",,,6","","","",""
"USC00156679","1929-10","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","7",",6","6",",6","1",",6","","","","","","","","","","","","","","","","","33.0",",,6,30,","","","89.8",",,,6","","","",""
"USC00156679","1929-11","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","9",",6","9",",6","0",",6","","","","","","","","","","","","","","","","","20.8",",,6,17,","","","85.4",",,,6","","","",""
"USC00156679","1929-12","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","6",",6","6",",6","0",",6","","","","","","","","","","","","","","","","","14.0",",,6,28,","","","48.0",",,,6","","","",""
"USC00156679","1930-01","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","10",",6","10",",6","0",",6","","","","","","","","","","","","","","","","","12.7",",,6,03,","","","53.2",",,,6","","","",""
"USC00156679","1930-02","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","8",",6","8",",6","0",",6","","","","","","","","","","","","","","","","","15.7",",,6,05,","","","59.2",",,,6","","","",""
"USC00156679","1930-03","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","12",",6","11",",6","0",",6","","","","","","","","","","","","","","","","","12.2",",,6,02,","","","65.5",",,,6","","","",""
"USC00156679","1930-04","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","4",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","14.5",",,6,03,","","","24.1",",,,6","","","",""
"USC00156679","1930-05","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","11",",6","11",",6","0",",6","","","","","","","","","","","","","","","","","16.8",",,6,19,","","","64.7",",,,6","","","",""
"USC00156679","1930-06","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","4",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","18.3",",,6,07,","","","37.4",",,,6","","","",""
"USC00156679","1930-07","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","4",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","12.2",",,6,27,","","","24.9",",,,6","","","",""
"USC00156679","1930-08","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","6",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","11.7",",,6,15,","","","31.1",",,,6","","","",""
"USC00156679","1930-09","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","5",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","17.8",",,6,25,","","","33.4",",,,6","","","",""
"USC00156679","1930-10","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","5",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","6.4",",,6,28,","","","21.9",",,,6","","","",""
"USC00156679","1930-11","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","6",",6","4",",6","0",",6","","","0",",6","","","","","","","","","","","20",",,6,26,","6.1",",,6,13,+","","","21.3",",,,6","33",",,,6","",""
"USC00156679","1930-12","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","7",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","9.7",",,6,06,","","","29.7",",,,6","","","",""
"USC00156679","1931-01","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","5",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","17.8",",,6,06,","","","42.9",",,,6","","","",""
"USC00156679","1931-02","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","9",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","24.1",",,6,09,","","","46.9",",,,6","","","",""
"USC00156679","1931-03","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","13",",6","12",",6","2",",6","","","","","","","","","","","","","","","","","30.7",",,6,28,","","","129.7",",,,6","","","",""
"USC00156679","1931-04","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","8",",6","7",",6","2",",6","","","","","","","","","","","","","","","","","50.8",",,6,22,","","","114.2",",,,6","","","",""
"USC00156679","1931-05","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","14",",6","12",",6","0",",6","","","","","","","","","","","","","","","","","18.8",",,6,09,","","","84.0",",,,6","","","",""
"USC00156679","1931-06","37.66667","-83.95","192.0","RAVENNA LOCK 12, KY US","10",",6","7",",6","0",",6","","","","","","","","","","","","","","","","","21.6",",,6,24,","","","79.1",",,,6","","","",""
