"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00121192","1983-11","39.03556","-85.53056","242.3","BUTLERVILLE 1 WNW, IN US","","","0.0","1,0","12",",0","9",",0","0",",0","0",",0","0",",0","0","1,0","10","1,0","0",",0","1",",0","0",",0","1","","","","-4.4","1,0,05,","0",",,0,30,+","0",",,0,30,+","24.1",",,0,24,","21.1",",0,02,","","","","","","","317.0",",0","","","","","","","","","","","","","","","","","","","","","114.8",",,,0","0",",,,0","7.38","1,0","12.18",",,,0","2.58","1,,,0"
"USC00121192","1983-12","39.03556","-85.53056","242.3","BUTLERVILLE 1 WNW, IN US","","","0.0","1,0","14",",0","8",",0","1",",0","3",",0","0",",0","6","1,0","26","1,0","14",",0","0",",0","0",",0","","","","","-25.0","1,0,25,","25",",,0,31,+","15",",,0,29,","45.2",",,0,12,","11.1",",0,12,","","","","","","","697.8",",0","","","","","","","","","","","","","","","","","","","","","102.9",",,,0","31",",,,0","-4.73","1,0","-0.59",",,,0","-8.88","1,,,0"
"USC00121192","1984-01","39.03556","-85.53056","242.3","BUTLERVILLE 1 WNW, IN US","0.0","0","0.0",",0","10","2,0","3","2,0","0","2,0","14","1,0","2",",0","4",",0","31",",0","11",",0","0",",0","0",",0","3","","","","-31.7",",0,21,","102","1,,0,22,+","46",",,0,10,","10.7","2,,0,24,","10.0",",0,10,","","","  -1.1","3,,,0,3,2","  -2.2","3,,,0,5,2","720.0",",0","  -1.1","3,,,0,3,2","  -2.2","3,,,0,5,2","  -5.0","3,,,0,3,2","  -4.4","3,,,0,5,2","  -2.2","3,,,0,3,2","  -2.8","3,,,0,5,2","  -2.0","3,,,0,3,2","  -2.4","3,,,0,5,2","  -1.7","3,,,0,3,2","  -2.3","3,,,0,5,2","21.6","2,,,0","122",",,,0","-4.89",",0","-0.21",",,,0","-9.58",",,,0"
"USC00121192","1984-02","39.03556","-85.53056","242.3","BUTLERVILLE 1 WNW, IN US","0.0","0","0.0",",0","10",",0","5",",0","0",",0","3",",0","1",",0","0",",0","21",",0","6",",0","0",",0","0",",0","1","","","","-13.3",",0,08,+","127",",,0,29,+","114",",,0,28,","11.7",",,0,25,","20.0",",0,13,","","","","","","","451.2",",0","","","","","","","","","","","","","","","","","","","","","38.3",",,,0","142",",,,0","2.77",",0","7.94",",,,0","-2.40",",,,0"
"USC00121192","1984-03","39.03556","-85.53056","242.3","BUTLERVILLE 1 WNW, IN US","0.0","0","0.0","1,0","15",",0","8",",0","0",",0","6",",0","1",",0","1","1,0","23","1,0","3",",0","1",",0","0",",0","2","","","","-18.9","1,0,09,","127",",,0,01,","48",",,0,08,","16.8",",,0,16,","23.3",",0,16,","","","","","","","524.0",",0","","","","","","","","","","","","","","","","","","","","","96.9",",,,0","64",",,,0","0.93","1,0","5.70",",,,0","-3.85","1,,,0"
"USC00121192","1984-04","39.03556","-85.53056","242.3","BUTLERVILLE 1 WNW, IN US","3.0","0","3.0",",0","23",",0","15",",0","2",",0","0",",0","0",",0","0",",0","7",",0","0",",0","6",",0","0",",0","2","","","","-1.7",",0,07,+","0",",,0,30,+","0",",,0,30,+","34.8",",,0,22,","27.2",",0,27,","","","","","","","248.3",",0","","","","","","","","","","","","","","","","","","","","","148.3",",,,0","0",",,,0","10.16",",0","15.61",",,,0","4.70",",,,0"
"USC00121192","1984-05","39.03556","-85.53056","242.3","BUTLERVILLE 1 WNW, IN US","18.1","0","15.1","2,0","13",",0","9",",0","1",",0","0",",0","0",",0","0","2,0","0","2,0","0",",0","13",",0","0",",0","2","","1","","1.7","2,0,16,","0",",,0,31,+","0",",,0,31,+","31.8",",,0,04,","27.8",",0,23,+","","","","","","","125.0",",0","","","","","","","","","","","","","","","","","","","","","108.0",",,,0","0",",,,0","14.60","2,0","20.19",",,,0","9.00","2,,,0"
"USC00121192","1984-06","39.03556","-85.53056","242.3","BUTLERVILLE 1 WNW, IN US","155.7","0","137.6","1,0","7",",0","2",",0","1",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","30",",0","3",",0","6","","1","","7.8","1,0,01,","0",",,0,30,+","0",",,0,30,+","37.6",",,0,24,","32.8",",0,19,+","","","","","","","3.3",",0","","","","","","","","","","","","","","","","","","","","","46.4",",,,0","0",",,,0","22.96","1,0","29.07",",,,0","16.84","1,,,0"
"USC00121192","1984-07","39.03556","-85.53056","242.3","BUTLERVILLE 1 WNW, IN US","260.0","0","104.3",",0","8",",0","6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","2",",0","1","","","","10.0",",0,19,+","0",",,0,31,+","0",",,0,31,+","38.6",",,0,04,","33.3",",0,16,","0.8","0","","","","","0.8",",0","","","","","","","","","","","","","","","","","","","","","119.6",",,,0","0",",,,0","21.67",",0","27.71",",,,0","15.63",",,,0"
"USC00121192","1984-08","39.03556","-85.53056","242.3","BUTLERVILLE 1 WNW, IN US","378.7","0","118.7","1,0","10",",0","7",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","31",",0","0",",0","4","","","","10.0","1,0,25,","0",",,0,31,+","0",",,0,31,+","22.6",",,0,28,","31.7",",0,09,","3.0","0","","","","","2.2",",0","","","","","","","","","","","","","","","","","","","","","94.0",",,,0","0",",,,0","22.24","1,0","28.34",",,,0","16.15","1,,,0"
"USC00121192","1984-09","39.03556","-85.53056","242.3","BUTLERVILLE 1 WNW, IN US","415.9","0","37.2","1,0","12",",0","8",",0","3",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","22",",0","1",",0","1","","1","","3.3","1,0,28,","0",",,0,30,+","0",",,0,30,+","35.3",",,0,26,","32.2",",0,03,","73.9","0","","","","","70.9",",0","","","","","","","","","","","","","","","","","","","","","145.0",",,,0","0",",,,0","17.22","1,0","23.54",",,,0","10.90","1,,,0"
