"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00386114","2005-01","34.1944","-79.2472","33.5","MULLINS, SC US","2.2","0","2.2",",0","6",",0","5",",0","0",",0","0",",0","0",",0","0",",0","14",",0","1",",0","9",",0","0",",0","1","","","","-9.4",",0,19,","0",",,0,31,+","0",",,0,31,+","21.6",",,0,14,","24.4",",0,14,+","","","  17.8","2,,,0,3,2","","","313.8",",0","  23.3","2,,,0,3,2","  -3.3","2,,,0,3,2","","","   0.6","2,,,0,3,2","   6.4","2,,,0,3,2","","","  13.2","2,,,0,3,2","46.0",",,,0","0",",,,0","8.28",",0","14.26",",,,0","2.30",",,,0"
"USC00386114","2005-02","34.1944","-79.2472","33.5","MULLINS, SC US","2.2","0","0.0",",0","9",",0","6",",0","1",",0","0",",0","0",",0","0",",0","11",",0","0",",0","3",",0","0",",0","","","","","-2.2",",0,19,+","0",",,0,28,+","0",",,0,28,+","26.7",",,0,24,","23.3",",0,23,","","","  12.8","2,,,0,3,2","","","269.2",",0","  19.4","2,,,0,3,2","   1.1","2,,,0,3,2","","","   5.0","2,,,0,3,2","   6.2","2,,,0,3,2","","","  13.2","2,,,0,3,2","93.3",",,,0","0",",,,0","8.72",",0","14.82",",,,0","2.62",",,,0"
"USC00386114","2005-03","34.1944","-79.2472","33.5","MULLINS, SC US","3.9","0","1.7",",0","10",",0","7",",0","1",",0","0",",0","0",",0","0",",0","7",",0","0",",0","11",",0","0",",0","","","","","-2.8",",0,03,","0",",,0,31,+","0",",,0,31,+","27.7",",,0,17,","27.2",",0,31,+","","","  18.3",",,,0,3,2","","","225.6",",0","  25.0",",,,0,3,2","   2.8",",,,0,3,2","","","   4.4",",,,0,3,2","   9.3",",,,0,3,2","","","  15.7",",,,0,3,2","93.8",",,,0","0",",,,0","11.11",",0","17.29",",,,0","4.93",",,,0"
"USC00386114","2005-04","34.1944","-79.2472","33.5","MULLINS, SC US","20.5","0","16.6",",0","9",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","21",",0","0",",0","","","","","3.9",",0,26,+","0",",,0,30,+","0",",,0,30,+","21.3",",,0,08,","28.9",",0,23,+","","","  19.4",",,,0,3,2","","","94.0",",0","  28.3",",,,0,3,2","   5.6",",,,0,3,2","","","  13.9",",,,0,3,2","  15.1",",,,0,3,2","","","  21.6",",,,0,3,2","57.2",",,,0","0",",,,0","15.76",",0","22.78",",,,0","8.73",",,,0"
"USC00386114","2005-05","34.1944","-79.2472","33.5","MULLINS, SC US","85.0","0","64.5",",0","8",",0","6",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","0",",0","","","","","6.7",",0,08,+","0",",,0,31,+","0",",,0,31,+","25.4",",,0,21,","31.7",",0,13,","","","  21.1",",,,0,3,2","","","29.7",",0","  28.9",",,,0,3,2","  12.8",",,,0,3,2","","","  16.7",",,,0,3,2","  18.5",",,,0,3,2","","","  23.6",",,,0,3,2","74.2",",,,0","0",",,,0","19.46",",0","25.36",",,,0","13.55",",,,0"
"USC00386114","2005-06","34.1944","-79.2472","33.5","MULLINS, SC US","259.0","0","174.0","2,0","14","2,0","13","2,0","0","2,0","0",",0","0",",0","0","2,0","0","2,0","0","1,0","28","1,0","2","1,0","","","","","15.6","2,0,21,","0",",,0,30,+","0",",,0,30,+","21.3","2,,0,29,","34.4","1,0,15,","","","  25.0","1,,,0,3,2","","","0.3","1,0","  30.0","1,,,0,3,2","  20.0","1,,,0,3,2","","","  20.6","1,,,0,3,2","  22.9","1,,,0,3,2","","","  26.7","1,,,0,3,2","162.1",",a,,0","0",",,,0","24.55","2,0","28.87","1,,,0","20.22","2,,,0"
"USC00386114","2005-07","34.1944","-79.2472","33.5","MULLINS, SC US","556.2","0","297.2",",0","12",",0","8",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","18",",0","","","","","20.6",",0,09,","0",",,0,31,+","0",",,0,31,+","39.4",",,0,22,","37.8",",0,29,+","0.0","0","  28.9",",,,0,3,2","","","0.0",",0","  31.7",",,,0,3,2","  22.8",",,,0,3,2","","","  28.3",",,,0,3,2","  26.3",",,,0,3,2","","","  30.1",",,,0,3,2","106.6",",,,0","0",",,,0","27.92",",0","32.76",",,,0","23.08",",,,0"
"USC00386114","2005-08","34.1944","-79.2472","33.5","MULLINS, SC US","829.5","0","273.3",",0","10",",0","8",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","17",",0","","","","","18.9",",0,26,","0",",,0,31,+","0",",,0,31,+","65.0",",,0,01,","36.7",",0,22,","0.0","0","  30.0","1,,,0,3,2","","","0.0",",0","  31.1","1,,,0,3,2","  26.1","1,,,0,3,2","","","  27.2","1,,,0,3,2","  28.2","1,,,0,3,2","","","  29.6","1,,,0,3,2","176.7",",,,0","0",",,,0","27.15",",0","31.92",",,,0","22.38",",,,0"
"USC00386114","2005-09","34.1944","-79.2472","33.5","MULLINS, SC US","1046.4","0","216.9",",0","6",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","14",",0","","","","","15.6",",0,07,","0",",,0,30,+","0",",,0,30,+","15.2",",,0,15,","35.0",",0,18,","0.0","0","  28.3",",,,0,3,2","","","0.0",",0","  29.4",",,,0,3,2","  22.8",",,,0,3,2","","","  23.9",",,,0,3,2","  25.1",",,,0,3,2","","","  27.0",",,,0,3,2","28.4",",,,0","0",",,,0","25.56",",0","31.40",",,,0","19.72",",,,0"
"USC00386114","2005-11","34.1944","-79.2472","33.5","MULLINS, SC US","","","6.2",",0","9",",0","6",",0","2",",0","0","1,0","0",",0","0",",0","7",",0","0",",0","17",",0","0",",0","","","","","-2.2",",0,19,","0","1,,0,30,+","0",",,0,30,+","41.9",",,0,28,","27.8",",0,10,","","","  18.9","1,,,0,3,2","","","167.7",",0","  24.4","1,,,0,3,2","   7.8","1,,,0,3,2","","","   9.4","1,,,0,3,2","  14.1","1,,,0,3,2","","","  18.0","1,,,0,3,2","134.8",",,,0","0",",,,0","12.95",",0","19.89",",,,0","6.01",",,,0"
