"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES"
"USW00012920","1915-04","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","","","","","6",",0","2",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","44.5",",,0,23,","","","","","","","","","","","","","55.1",",,,0","0",",,,0","","","","","","","","","","","",""
"USW00012920","1915-09","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","","","","","6",",0","4",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","34.3",",,0,22,","","","","","","","","","","","","","54.5",",,,0","0",",,,0","","","","","","","","","","","",""
"USW00012920","1915-11","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","","","","","1",",0","0",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","1.0",",,0,03,","","","","","","","","","","","","","1.0",",,,0","0",",,,0","","","","","","","","","","","",""
"USW00012920","1915-12","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","","","","","3",",0","1",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","3.8",",,0,07,","","","","","","","","","","","","","5.8",",,,0","0",",,,0","","","","","","","","","","","",""
"USW00012920","1916-01","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","","","","","6",",0","3",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","29.7",",,0,04,","","","","","","","","","","","","","41.4",",,,0","0",",,,0","","","","","","","","","","","",""
"USW00012920","1916-02","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","","","","","0",",0","0",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","","","0",",,0,29,+","0",",,0,29,+","0.0",",,0,29,+","","","","","","","","","","","","","0.0",",,,0","0",",,,0","","","","","","","","","","","",""
"USW00012920","1916-03","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","","","","","0",",0","0",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","0.0",",,0,31,+","","","","","","","","","","","","","0.0",",,,0","0",",,,0","","","","","","","","","","","",""
"USW00012920","1916-04","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","","","","","4",",0","2",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","4.6",",,0,28,","","","","","","","","","","","","","8.7",",,,0","0",",,,0","","","","","","","","","","","",""
"USW00012920","1916-05","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","","","","","2",",0","0",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","1.3",",,0,18,","","","","","","","","","","","","","1.8",",,,0","0",",,,0","","","","","","","","","","","",""
"USW00012920","1916-06","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","","","","","2",",0","0",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","2.3",",,0,27,","","","","","","","","","","","","","3.8",",,,0","0",",,,0","","","","","","","","","","","",""
"USW00012920","1916-07","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","","","","","8",",0","6",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","42.2",",,0,08,","","","","","","","","","","","","","96.6",",,,0","0",",,,0","","","","","","","","","","","",""
"USW00012920","1916-08","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","","","","","4",",0","4",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","88.9",",,0,19,","","","","","","","","","","","","","120.4",",,,0","0",",,,0","","","","","","","","","","","",""
"USW00012920","1916-10","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","","","","","3",",0","3",",0","2",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","54.6",",,0,16,","","","","","","","","","","","","","91.0",",,,0","0",",,,0","","","","","","","","","","","",""
"USW00012920","1916-11","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","","","","","1",",0","1",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","8.9",",,0,13,","","","","","","","","","","","","","8.9",",,,0","0",",,,0","","","","","","","","","","","",""
"USW00012920","1916-12","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","","","","","0",",0","0",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","0.0",",,0,31,+","","","","","","","","","","","","","0.0",",,,0","0",",,,0","","","","","","","","","","","",""
"USW00012920","1917-01","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","","","","","4",",0","0",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","1.5",",,0,17,+","","","","","","","","","","","","","5.1",",,,0","0",",,,0","","","","","","","","","","","",""
"USW00012920","1944-01","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","11.4","","11.4",",0","7",",0","2",",0","0",",0","0",",0","0",",0","0",",0","5",",0","0",",0","13",",0","0",",0","12","","","","","","-2.8",",0,09,","0",",,0,31,+","0",",T,0,13,+","8.6",",,0,01,","30.6",",0,25,","","","","","170.2",",0","","","","","17.5",",,,0","0",",T,,0","13.21",",0","19.02",",,,0","7.40",",,,0","","","","","",""
"USW00012920","1944-02","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","69.5","","58.1",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","23",",0","2",",0","13","","","","","","1.1",",0,12,","0",",,0,29,+","0",",,0,29,+","7.4",",,0,19,","33.3",",0,25,","","","","","60.9",",0","","","","","12.6",",,,0","0",",,,0","18.24",",0","23.37",",,,0","13.10",",,,0","","","","","",""
"USW00012920","1946-02","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","","","38.5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","19",",0","0",",0","","","","","","","-0.6",",0,10,","0",",,0,28,+","0",",,0,28,+","0.3",",,0,03,","31.7",",0,23,","","","","","66.6",",0","","","","","0.3",",,,0","0",",,,0","17.33",",0","23.41",",,,0","11.25",",,,0","","","","","",""
"USW00012920","1946-03","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","","","117.9",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","7",",0","","","","","","","6.1",",0,09,","0",",,0,31,+","0",",,0,31,+","0.5",",,0,12,","38.3",",0,31,","","","","","9.2",",0","","","","","0.8",",,,0","0",",,,0","21.84",",0","29.43",",,,0","14.25",",,,0","","","","","",""
"USW00012920","1946-04","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","","","198.5",",0","6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","12",",0","","","","","","","13.3",",0,18,","0",",,0,30,+","0",",,0,30,+","20.6",",,0,16,","37.2",",0,07,","","","","","0.0",",0","","","","","36.1",",,,0","0",",,,0","24.95",",0","31.33",",,,0","18.57",",,,0","","","","","",""
"USW00012920","1946-05","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","","","279.0",",0","9",",0","7",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","22",",0","","","","","","","15.6",",0,20,+","0",",,0,31,+","0",",,0,31,+","28.7",",,0,26,","39.4",",0,19,","","","","","0.0",",0","","","","","126.5",",,,0","0",",,,0","27.33",",0","33.13",",,,0","21.54",",,,0","","","","","",""
"USW00012920","1946-06","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","","","304.0",",0","5",",0","4",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","21",",0","","","","","","","18.9",",0,06,+","0",",,0,30,+","0",",,0,30,+","31.0",",,0,11,","38.9",",0,30,","","","","","0.0",",0","","","","","88.1",",,,0","0",",,,0","28.47",",0","34.10",",,,0","22.83",",,,0","","","","","",""
"USW00012920","1946-07","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","","","392.8",",0","2",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","31",",0","","","","","","","21.1",",0,21,","0",",,0,31,+","0",",,0,31,+","20.1",",,0,22,","41.7",",0,30,","","","0.0","0","0.0",",0","","","","","22.4",",,,0","0",",,,0","31.00",",0","37.58",",,,0","24.43",",,,0","","","","","",""
"USW00012920","1946-08","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","","","366.7",",0","2",",0","2",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","28",",0","","","","","","","20.6",",0,23,","0",",,0,31,+","0",",,0,31,+","52.1",",,0,28,","38.9",",0,13,+","","","0.0","0","0.0",",0","","","","","64.3",",,,0","0",",,,0","30.16",",0","36.34",",,,0","23.99",",,,0","","","","","",""
"USW00012920","1946-09","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","","","301.8",",0","7",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","22",",0","5","","","","9","","18.9",",0,30,","0",",,0,30,+","0",",,0,30,+","74.9",",,0,23,","37.2",",0,22,","","","0.0","0","0.0",",0","","","","","92.7",",,,0","0",",,,0","28.39",",0","33.49",",,,0","23.29",",,,0","","","","","",""
"USW00012920","1946-10","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","","","207.7",",0","5",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","4",",0","7","","","","","","10.0",",0,12,","0",",,0,31,+","0",",,0,31,+","68.6",",,0,08,","32.8",",0,05,","","","2.8","0","2.8",",0","","","","","91.3",",,,0","0",",,,0","24.94",",0","29.76",",,,0","20.13",",,,0","","","","","",""
"USW00012920","1946-11","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","","","58.3",",0","1",",0","1",",0","0",",0","0",",X","0",",X","0",",0","0",",0","0",",0","24",",0","2",",0","4","","","","1","","3.9",",0,28,","0",",,X,30,+","0",",,X,30,+","3.0",",,0,26,","33.3",",0,09,","","","52.4","0","49.6",",0","","","","","3.0",",,,0","0",",,,X","18.62",",0","24.15",",,,0","13.10",",,,0","","","","","",""
"USW00012920","1946-12","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","","","35.6",",0","2",",0","1",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","21",",0","0",",0","10","","","","","","-1.1",",0,31,","0",",T,0,31,","0",",T,0,31,","16.3",",,0,31,","28.3",",0,28,+","","","163.6","0","111.2",",0","","","","","16.8",",,,0","0",",T,,0","15.89",",0","21.67",",,,0","10.12",",,,0","","","","","",""
"USW00012920","1947-01","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","14.2","0","14.2",",0","10",",0","4",",0","0",",0","0",",0","1",",0","0",",0","5",",0","0",",0","12",",0","0",",0","14","","","","1","","-3.3",",0,05,+","0",",T,0,05,+","51",",,0,04,","18.0",",,0,09,","31.1",",0,29,","","","386.7","0","223.1",",0","","","","","38.9",",,,0","51",",,,0","11.60",",0","16.56",",,,0","6.63",",,,0","","","","","",""
"USW00012920","1947-02","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","19.7","0","5.5",",0","0",",0","0",",0","0",",0","0","2,0","0","2,0","0",",0","1",",0","0",",0","11",",0","0",",0","","","","","","","-1.1",",0,10,","0","2,,0,28,+","0","2,,0,28,+","0.0",",T,0,27,+","29.4",",0,17,","","","566.3","0","179.6",",0","","","","","0.0",",T,,0","0","2,,,0","12.12",",0","18.83",",,,0","5.40",",,,0","","","","","",""
"USW00012920","1947-03","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","76.0","0","56.3",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","2",",0","0",",0","23",",0","2",",0","4","","","","","","0.0",",0,08,+","0",",,0,31,+","0",",,0,31,+","0.5",",,0,18,+","35.0",",0,27,","","","647.1","0","80.8",",0","","","","","1.0",",,,0","0",",,,0","17.54",",0","24.74",",,,0","10.35",",,,0","","","","","",""
"USW00012920","1947-04","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","250.6","0","174.6",",0","6",",0","4",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","15",",0","8","","","","4","","10.0",",0,14,","0",",,0,30,+","0",",,0,30,+","141.0",",,0,12,","38.9",",0,04,","","","659.9","0","12.8",",0","","","","","201.0",",,,0","0",",,,0","23.73",",0","29.98",",,,0","17.48",",,,0","","","","","",""
