"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"NOE00133050","1919-07","58.6667","7.8","207.0","BYGLANDSFJORD, NO","10",",E","3",",E","0",",E","0",",","0",",","0",",E","5.2",",E,07,+","0",",,E,31,+","9.0",",,E,20,","23.3",",,,E","10.09",",,,E"
"NOE00133050","1919-08","58.6667","7.8","207.0","BYGLANDSFJORD, NO","6",",E","4",",E","0",",E","0",",","0",",","0",",E","3.2",",E,27,","0",",,E,31,+","21.7",",,E,26,","48.6",",,,E","7.85",",,,E"
"NOE00133050","1919-09","58.6667","7.8","207.0","BYGLANDSFJORD, NO","8",",E","6",",E","0",",E","0",",","0",",","1",",E","-2.0",",E,29,","0",",,E,30,+","16.2",",,E,01,","54.9",",,,E","5.71",",,,E"
"NOE00133050","1919-10","58.6667","7.8","207.0","BYGLANDSFJORD, NO","6",",E","4",",E","0",",E","0",",","0",",","7",",E","-2.4",",E,24,+","10",",,E,28,","4.5",",,E,19,","17.8",",,,E","1.72",",,,E"
"NOE00133050","1919-11","58.6667","7.8","207.0","BYGLANDSFJORD, NO","14",",E","11",",E","0",",E","12",",","0",",","30",",E","-14.0",",E,16,","50",",,E,30,+","18.1",",,E,24,","121.3",",,,E","-5.43",",,,E"
"NOE00133050","1919-12","58.6667","7.8","207.0","BYGLANDSFJORD, NO","13",",E","7",",E","0",",E","31",",","1",",","31",",E","-19.0",",E,25,","300",",,E,31,","22.0",",,E,02,","65.4",",,,E","-6.25",",,,E"
"NOE00133050","1920-01","58.6667","7.8","207.0","BYGLANDSFJORD, NO","14",",E","10",",E","1",",E","31",",","2",",","29",",E","-20.0",",E,06,","1150",",,E,31,","39.0",",,E,07,","150.7",",,,E","-8.31",",,,E"
"NOE00133050","1920-02","58.6667","7.8","207.0","BYGLANDSFJORD, NO","9",",E","6",",E","0",",E","29",",","0",",","25",",E","-10.0",",E,15,","1250",",,E,01,","16.3",",,E,13,","60.7",",,,E","-3.48",",,,E"
"NOE00133050","1920-03","58.6667","7.8","207.0","BYGLANDSFJORD, NO","14",",E","11",",E","0",",E","27",",","0",",","15",",E","-6.0",",E,09,+","520",",,E,16,","19.0",",,E,06,","102.5",",,,E","-0.31",",,,E"
"NOE00133050","1920-04","58.6667","7.8","207.0","BYGLANDSFJORD, NO","13",",E","11",",E","1",",E","1",",","0",",","6",",E","-2.8",",E,11,","30",",,E,21,","35.0",",,E,15,","133.8",",,,E","1.04",",,,E"
"NOE00133050","1920-05","58.6667","7.8","207.0","BYGLANDSFJORD, NO","11",",E","7",",E","1",",E","0",",","0",",","0",",E","0.2",",E,10,","0",",,E,31,+","27.0",",,E,02,","97.7",",,,E","5.19",",,,E"
"NOE00133050","1920-06","58.6667","7.8","207.0","BYGLANDSFJORD, NO","3",",E","3",",E","0",",E","0",",","0",",","0",",E","1.2",",E,26,+","0",",,E,30,+","8.2",",,E,29,","18.0",",,,E","6.89",",,,E"
"NOE00133050","1920-07","58.6667","7.8","207.0","BYGLANDSFJORD, NO","","","","","","","0",",","0",",","0",",E","5.2",",E,26,","0",",,E,31,+","","","","","9.15",",,,E"
"NOE00133050","1920-08","58.6667","7.8","207.0","BYGLANDSFJORD, NO","","","","","","","0",",","0",",","0",",E","5.2",",E,30,+","0",",,E,31,+","","","","","7.95",",,,E"
"NOE00133050","1920-09","58.6667","7.8","207.0","BYGLANDSFJORD, NO","4","1,E","3","1,E","1","1,E","0",",","0",",","0",",E","0.2",",E,21,","0",",,E,30,+","31.4","1,,E,18,","55.4","1,,,E","6.24",",,,E"
"NOE00133050","1920-11","58.6667","7.8","207.0","BYGLANDSFJORD, NO","13",",E","8",",E","0",",E","2",",","0",",","9",",E","-2.6",",E,06,","40",",,E,29,","25.0",",,E,14,","101.3",",,,E","0.90",",,,E"
"NOE00133050","1920-12","58.6667","7.8","207.0","BYGLANDSFJORD, NO","15",",E","10",",E","0",",E","29",",","0",",","29",",E","-12.0",",E,14,","200",",,E,31,","24.0",",,E,03,","104.2",",,,E","-4.14",",,,E"
"NOE00133050","1921-01","58.6667","7.8","207.0","BYGLANDSFJORD, NO","20",",E","11",",E","0",",E","27",",","0",",","27",",E","-13.0",",E,25,+","250",",,E,02,+","18.0",",,E,17,","108.5",",,,E","-4.08",",,,E"
"NOE00133050","1921-02","58.6667","7.8","207.0","BYGLANDSFJORD, NO","5",",E","2",",E","0",",E","28",",","0",",","28",",E","-11.0",",E,25,","150",",,E,10,+","10.8",",,E,01,","23.5",",,,E","-5.39",",,,E"
"NOE00133050","1921-03","58.6667","7.8","207.0","BYGLANDSFJORD, NO","17",",E","11",",E","0",",E","10",",","0",",","25",",E","-10.0",",E,08,","120",",,E,09,","18.4",",,E,17,","93.9",",,,E","-1.05",",,,E"
"NOE00133050","1921-04","58.6667","7.8","207.0","BYGLANDSFJORD, NO","2",",E","2",",E","0",",E","0",",","0",",","9",",E","-4.0",",E,20,+","0",",,E,30,+","4.2",",,E,22,","8.0",",,,E","2.31",",,,E"
"NOE00133050","1921-05","58.6667","7.8","207.0","BYGLANDSFJORD, NO","9",",E","4",",E","3",",E","0",",","0",",","4",",E","-4.0",",E,04,","0",",,E,31,+","35.4",",,E,30,","111.0",",,,E","3.65",",,,E"
"NOE00133050","1921-06","58.6667","7.8","207.0","BYGLANDSFJORD, NO","1",",E","0",",E","0",",E","0",",","0",",","0",",E","3.0",",E,19,+","0",",,E,30,+","0.3",",,E,22,","0.3",",,,E","6.90",",,,E"
"NOE00133050","1921-07","58.6667","7.8","207.0","BYGLANDSFJORD, NO","5","1,E","3","1,E","0","1,E","0",",","0",",","0",",E","6.6",",E,31,","0",",,E,31,+","11.7","1,,E,29,","31.2","1,,,E","9.97",",,,E"
"NOE00133050","1921-08","58.6667","7.8","207.0","BYGLANDSFJORD, NO","13","1,E","8","1,E","0","1,E","0",",","0",",","0",",E","3.2",",E,29,","0",",,E,31,+","21.9","1,,E,14,","93.7","1,,,E","8.01",",,,E"
"NOE00133050","1921-09","58.6667","7.8","207.0","BYGLANDSFJORD, NO","8","4,E","5","4,E","0","4,E","0",",","0",",","1",",E","-1.8",",E,30,","0",",,E,30,+","9.1","4,,E,14,","33.5","4,,,E","4.96",",,,E"
"NOE00133050","1921-10","58.6667","7.8","207.0","BYGLANDSFJORD, NO","6",",E","4",",E","0",",E","0",",","0",",","5",",E","-6.6",",E,05,","0",",,E,31,+","7.0",",,E,07,","26.4",",,,E","3.57",",,,E"
"NOE00133050","1921-11","58.6667","7.8","207.0","BYGLANDSFJORD, NO","4",",E","3",",E","0",",E","6",",","0",",","28",",E","-10.0",",E,09,","30",",,E,11,+","6.9",",,E,01,","17.3",",,,E","-3.42",",,,E"
"NOE00133050","1921-12","58.6667","7.8","207.0","BYGLANDSFJORD, NO","14",",E","13",",E","0",",E","19",",","0",",","22",",E","-8.0",",E,04,","50",",,E,20,+","23.1",",,E,20,","135.2",",,,E","-2.13",",,,E"
"NOE00133050","1922-01","58.6667","7.8","207.0","BYGLANDSFJORD, NO","11",",E","8",",E","0",",E","31",",","2",",","31",",E","-21.1",",E,29,","650",",,E,31,+","21.0",",,E,14,","74.8",",,,E","-8.70",",,,E"
