"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00387288","1997-06","33.1025","-80.2978","21.3","RIDGEVILLE, SC US","","","","","","","","","","","0",",0","0",",0","","","","","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",",,,0","","","","","","","",""
"USC00387288","1997-07","33.1025","-80.2978","21.3","RIDGEVILLE, SC US","","","228.0","3,0","11",",0","8",",0","2",",0","0",",0","0",",0","0","3,0","0","3,0","0","3,0","28","3,0","14","3,0","","","","","15.6","3,0,13,","0",",,0,31,+","0",",,0,31,+","33.3",",,0,31,","35.6","3,0,06,+","115.1","3,,,0","0.0","0","  28.9","3,,,0,0,2","0.0","3,0","  36.7","3,,,0,0,2","  26.1","3,,,0,0,2","  30.0","3,,,0,0,2","  27.5","3,,,0,0,2","22.53","4,,,0","  31.2","3,,,0,0,2","35.86","3,,,0","118.4",",,,0","0",",,,0","26.48","3,0","32.03","3,,,0","20.92","3,,,0","657","3,,,0"
"USC00387288","1997-08","33.1025","-80.2978","21.3","RIDGEVILLE, SC US","","","189.0","1,0","11",",0","7",",0","2",",0","0","1,0","0",",0","0","1,0","0","1,0","0",",0","30",",0","13",",0","","","","","13.3","1,0,25,","0","1,,0,31,+","0",",,0,31,+","50.0",",,0,05,","33.9",",0,19,+","131.1","1,,,0","0.6","0","  28.3",",,,0,0,2","0.6",",0","  31.7",",,,0,0,2","  22.2",",,,0,0,2","  27.2",",,,0,0,2","  26.3",",,,0,0,2","20.18",",,,0","  29.6",",,,0,0,2","33.99","1,,,0","132.0",",,,0","0",",,,0","24.51","1,0","30.44",",,,0","18.59","1,,,0","780",",,,0"
"USC00387288","1997-09","33.1025","-80.2978","21.3","RIDGEVILLE, SC US","","","136.6","1,0","12",",0","10",",0","4",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","30",",0","1",",0","","","","","7.2","1,0,05,","0",",,0,30,+","0",",,0,30,+","65.3",",,0,25,","32.8",",0,21,","99.2","1,,,0","4.5","0","  26.7",",,,0,0,2","3.9",",0","  31.7",",,,0,0,2","  22.2",",,,0,0,2","  23.9",",,,0,0,2","  24.7",",,,0,0,2","18.33",",,,0","  27.4",",,,0,0,2","30.35",",,,0","249.7",",,,0","0",",,,0","22.93","1,0","28.84",",,,0","17.02","1,,,0","860",",,,0"
"USC00387288","1997-10","33.1025","-80.2978","21.3","RIDGEVILLE, SC US","","","44.3","1,0","8",",0","6",",0","2",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","21",",0","0",",0","","","","","3.3","1,0,29,","0",",,0,31,+","0",",,0,31,+","40.9",",,0,27,","30.0",",0,08,+","70.8",",,,0","79.8","0","  22.8",",,,0,0,2","75.3",",0","  26.1",",,,0,0,2","  16.1",",,,0,0,2","  18.3",",,,0,0,2","  20.6",",,,0,0,2","13.06",",,,0","  22.9",",,,0,0,2","23.97",",,,0","97.8",",,,0","0",",,,0","17.33","1,0","23.51",",,,0","11.16","1,,,0","742",",,,0"
"USC00387288","1997-11","33.1025","-80.2978","21.3","RIDGEVILLE, SC US","","","","","","","","","","","0",",0","0",",0","","","","","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",",,,0","","","","","","","",""
"USC00387288","1997-12","33.1025","-80.2978","21.3","RIDGEVILLE, SC US","","","0.0","1,0","16",",0","10",",0","2",",0","0",",0","0",",0","0","1,0","13","1,0","0","1,0","3","1,0","0","1,0","","","","","-5.0","1,0,09,+","0",",,0,31,+","0",",,0,31,+","31.2",",,0,24,","23.3","1,0,12,+","","","","","  12.8","1,,,0,0,2","301.6","1,0","  16.1","1,,,0,0,2","   7.8","1,,,0,0,2","   8.9","1,,,0,0,2","  10.0","1,,,0,0,2","","","  11.7","1,,,0,0,2","","","160.8",",,,0","0",",,,0","8.28","1,0","14.83","1,,,0","1.73","1,,,0","934",",,,0"
"USC00387288","1998-01","33.1025","-80.2978","21.3","RIDGEVILLE, SC US","2.0","0","2.0",",0","12",",0","10",",0","1",",0","0",",0","0",",0","0",",0","15",",0","0",",0","5",",0","0",",0","","","","","-5.0",",0,02,+","0",",,0,31,+","0",",,0,31,+","28.4",",,0,28,","24.4",",0,07,+","","","","","  15.0",",,,0,0,2","278.7",",0","  16.7",",,,0,0,2","   5.6",",,,0,0,2","   7.2",",,,0,0,2","  10.0",",,,0,0,2","","","  11.9",",,,0,0,2","","","135.8",",,,0","0",",,,0","9.40",",0","15.90",",,,0","2.91",",,,0","",""
"USC00387288","1998-02","33.1025","-80.2978","21.3","RIDGEVILLE, SC US","2.0","0","0.0","1,0","11",",0","8",",0","3",",0","0",",0","0",",0","0","1,0","5","1,0","0",",0","5",",0","0",",0","","","","","-3.3","1,0,01,","0",",,0,28,+","0",",,0,28,+","91.9",",,0,17,","25.0",",0,18,","","","","","  13.9",",,,0,0,2","225.2",",0","  16.1",",,,0,0,2","   7.2",",,,0,0,2","   9.4",",,,0,0,2","   9.9",",,,0,0,2","","","  12.5",",,,0,0,2","","","247.0",",,,0","0",",,,0","10.00","1,0","16.35",",,,0","3.64","1,,,0","",""
"USC00387288","1998-03","33.1025","-80.2978","21.3","RIDGEVILLE, SC US","9.7","0","7.7","1,0","6",",0","5",",0","2",",0","0",",0","0",",0","0","1,0","6","1,0","0",",0","11",",0","0",",0","","","","","-6.7","1,0,14,+","0",",,0,31,+","0",",,0,31,+","55.1",",,0,09,","28.3",",0,31,+","","","","","  16.7",",,,0,0,2","196.4",",0","  21.7",",,,0,0,2","   7.8",",,,0,0,2","  12.2",",,,0,0,2","  11.8",",,,0,0,2","","","  15.6",",,,0,0,2","","","134.7",",,,0","0",",,,0","11.89","1,0","18.48",",,,0","5.29","1,,,0","",""
"USC00387288","1998-04","33.1025","-80.2978","21.3","RIDGEVILLE, SC US","","","","","8","4,0","5","4,0","2","4,0","0",",0","0",",0","","","","","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","67.8","4,,0,04,","","","","","","","  18.9","5,,,0,0,2","","","  23.9","5,,,0,0,2","  15.0","5,,,0,0,2","  17.2","5,,,0,0,2","  17.1","5,,,0,0,2","","","  21.4","5,,,0,0,2","","","169.5",",a,,0","0",",,,0","","","","","","","",""
"USC00387288","1998-05","33.1025","-80.2978","21.3","RIDGEVILLE, SC US","","","125.7",",0","6",",0","5",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","9",",0","","","","","10.6",",0,05,","0",",,0,31,+","0",",,0,31,+","30.5",",,0,04,","32.8",",0,29,+","140.6","1,,,0","","","  26.7",",,,0,0,2","0.7",",0","  30.0",",,,0,0,2","  18.3",",,,0,0,2","  22.2",",,,0,0,2","  22.0",",,,0,0,2","17.49",",,,0","  26.6",",,,0,0,2","24.61",",,,0","110.0",",,,0","0",",,,0","22.36",",0","29.19",",,,0","15.54",",,,0","684","2,,,0"
"USC00387288","1998-06","33.1025","-80.2978","21.3","RIDGEVILLE, SC US","","","224.6","2,0","7",",0","5",",0","1",",0","0",",0","0",",0","0","2,0","0","2,0","0","1,0","29","1,0","22","1,0","","","","","9.4","2,0,08,","0",",,0,30,+","0",",,0,30,+","34.0",",,0,11,","38.3","1,0,30,","160.3","2,,,0","","","  27.2","1,,,0,0,2","1.1","1,0","  33.3","1,,,0,0,2","  23.9","1,,,0,0,2","  27.2","1,,,0,0,2","  25.9","1,,,0,0,2","","","  30.1","1,,,0,0,2","","","68.9",",,,0","0",",,,0","26.32","2,0","33.03","1,,,0","19.61","2,,,0","739","2,,,0"
"USC00387288","1998-07","33.1025","-80.2978","21.3","RIDGEVILLE, SC US","","","261.7","3,0","10",",0","10",",0","1",",0","0",",0","0",",0","0","2,0","0","2,0","0","3,0","28","3,0","22","3,0","","","","","17.8","2,0,13,","0",",,0,31,+","0",",,0,31,+","105.4",",,0,17,","37.8","3,0,10,+","155.4","1,,,0","0.0","0","  28.9",",,,0,0,2","0.0","3,0","  33.9",",,,0,0,2","  25.6",",,,0,0,2","  29.4",",,,0,0,2","  27.3",",,,0,0,2","23.64",",,,0","  31.9",",,,0,0,2","36.68",",,,0","163.8",",,,0","0",",,,0","27.69","3,0","33.57","3,,,0","21.80","2,,,0","869",",,,0"
"USC00387288","1998-08","33.1025","-80.2978","21.3","RIDGEVILLE, SC US","","","227.4","1,0","9",",0","6",",0","2",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","31",",0","13",",0","","","","","15.0","1,0,22,","0",",,0,31,+","0",",,0,31,+","36.6",",,0,10,+","35.6",",0,30,+","136.7","2,,,0","0.0","0","  28.9",",,,0,0,2","0.0",",0","  32.2",",,,0,0,2","  25.6",",,,0,0,2","  28.3",",,,0,0,2","  27.0",",,,0,0,2","22.68",",,,0","  30.2",",,,0,0,2","35.87",",,,0","115.5",",,,0","0",",,,0","25.92","1,0","31.62",",,,0","20.23","1,,,0","696",",,,0"
"USC00387288","1998-09","33.1025","-80.2978","21.3","RIDGEVILLE, SC US","","","171.0",",0","9",",0","7",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","5",",0","","","","","9.4",",0,11,+","0",",,0,30,+","0",",,0,30,+","56.4",",,0,22,","35.0",",0,01,","108.6","2,,,0","2.0","0","  27.8",",,,0,0,2","2.0",",0","  31.1",",,,0,0,2","  23.3",",,,0,0,2","  27.2",",,,0,0,2","  25.5",",,,0,0,2","20.46",",,,0","  28.5",",,,0,0,2","33.45",",,,0","162.8",",,,0","0",",,,0","23.97",",0","29.95",",,,0","17.98",",,,0","597",",,,0"
"USC00387288","1998-10","33.1025","-80.2978","21.3","RIDGEVILLE, SC US","","","53.7",",0","5",",0","4",",0","0",",0","","","0",",0","0",",0","0",",0","0",",0","29",",0","0",",0","","","","","0.6",",0,25,+","","","0",",,0,31,+","15.7",",,0,08,","30.0",",0,02,","86.5",",,,0","46.1","0","  26.1",",,,0,0,2","44.1",",0","  28.3",",,,0,0,2","  16.7",",,,0,0,2","  19.4",",,,0,0,2","  21.1",",,,0,0,2","14.72",",,,0","  24.0",",,,0,0,2","27.07",",,,0","41.8",",,,0","0",",,,0","18.64",",0","25.77",",,,0","11.52",",,,0","600",",,,0"
"USC00387288","1998-11","33.1025","-80.2978","21.3","RIDGEVILLE, SC US","","","7.8","2,0","7",",0","0",",0","0",",0","0",",0","0",",0","0","2,0","1","2,0","0",",0","19",",0","0",",0","","","","","-0.6","2,0,08,","0",",,0,30,+","0",",,0,30,+","2.0",",,0,17,","27.2",",0,01,","40.2",",,,0","154.8","0","  20.6","1,,,0,0,2","108.7",",0","  21.7","1,,,0,0,2","  13.9","1,,,0,0,2","  15.6","1,,,0,0,2","  16.6","1,,,0,0,2","10.48","1,,,0","  18.9","1,,,0,0,2","20.01","1,,,0","8.4",",,,0","0",",,,0","14.62","2,0","21.81",",,,0","7.43","2,,,0","505","1,,,0"
"USC00387288","1998-12","33.1025","-80.2978","21.3","RIDGEVILLE, SC US","","","5.6","2,0","9",",0","6",",0","2",",0","0",",0","0",",0","0","1,0","5","1,0","0","1,0","13","1,0","0","1,0","","","","","-4.4","1,0,28,+","0",",,0,31,+","0",",,0,31,+","37.3",",,0,26,","27.8","1,0,09,","","","364.5","0","  17.2",",,,0,0,2","209.7","1,0","  19.4",",,,0,0,2","   8.3",",,,0,0,2","  10.0",",,,0,0,2","  13.2",",,,0,0,2","7.71","1,,,0","  15.2",",,,0,0,2","15.30",",,,0","106.2",",,,0","0",",,,0","11.52","2,0","18.18","1,,,0","4.86","1,,,0","781",",,,0"
"USC00387288","1999-01","33.1025","-80.2978","21.3","RIDGEVILLE, SC US","1.7","0","1.7","1,0","10",",0","6",",0","2",",0","0",",0","0",",0","0","1,0","13","1,0","0",",0","14",",0","0",",0","","","","","-10.0","1,0,06,","0",",,0,31,+","0",",,0,31,+","78.5",",,0,24,","25.6",",0,23,","","","618.7","0","","","254.2",",0","","","","","","","","","","","","","","","149.4",",,,0","0",",,,0","9.89","1,0","18.14",",,,0","1.64","1,,,0","",""
"USC00387288","1999-02","33.1025","-80.2978","21.3","RIDGEVILLE, SC US","1.7","0","0.0",",0","10",",0","5",",0","0",",0","0",",0","0",",0","0",",0","13",",0","0",",0","11",",0","0",",0","","","","","-6.1",",0,23,+","0",",,0,28,+","0",",,0,28,+","24.1",",,0,02,","26.1",",0,13,+","","","855.2","0","  14.4","1,,,0,0,2","236.5",",0","  16.7","1,,,0,0,2","   8.3","1,,,0,0,2","  11.1","1,,,0,0,2","  10.9","1,,,0,0,2","","","  14.1","1,,,0,0,2","","","63.0",",,,0","0",",,,0","9.89",",0","18.13",",,,0","1.65",",,,0","",""
"USC00387288","1999-03","33.1025","-80.2978","21.3","RIDGEVILLE, SC US","2.0","0","0.3",",0","10",",0","6",",0","1",",0","0",",0","0",",0","0",",0","11",",0","0",",0","14",",0","0",",0","","","","","-3.3",",0,08,+","0",",,0,31,+","0",",,0,31,+","29.2",",,0,26,","27.2",",0,19,","","","1083.6","0","  15.6",",,,0,0,2","228.4",",0","  18.9",",,,0,0,2","   9.4",",,,0,0,2","  12.2",",,,0,0,2","  11.4",",,,0,0,2","","","  15.2",",,,0,0,2","","","68.4",",,,0","0",",,,0","10.98",",0","19.37",",,,0","2.58",",,,0","",""
