"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00243113","1894-12","47.8304","-110.6611","807.4","FORT BENTON, MT US","","","","","","","","","","","","","","","1",",6","","","","","","","","","","","4","","","","","","","","51",",,6,24,","","","","","","","","","","","51",",,,6","","","","","","","",""
"USC00243113","1895-01","47.8304","-110.6611","807.4","FORT BENTON, MT US","","","","","","","3",",6","2",",6","0",",6","","","1",",6","17","4,6","27","4,6","","","","","","","","","","","-34.4","4,6,07,","","","76",",,6,19,","5.1",",,6,01,","","","","","","","10.7",",,,6","104",",,,6","","","","","-18.02","4,,,6","",""
"USC00243113","1895-02","47.8304","-110.6611","807.4","FORT BENTON, MT US","","","","","","","","","","","","","","","","","13","3,6","24","3,6","3","4,6","0","4,6","0","4,6","","","","","-42.8","3,6,14,","","","","","","","16.7","4,6,27,","","","","","","","","","-4.67","6,6","9.13","4,,,6","-18.47","3,,,6","",""
"USC00243113","1895-03","47.8304","-110.6611","807.4","FORT BENTON, MT US","","","","","0.0",",6","1",",6","0",",6","0",",6","","","","","2",",6","29",",6","0",",6","0",",6","0",",6","","","","","-30.0",",6,14,","","","","","1.0",",,6,13,","20.0",",6,26,+","","","514.2",",6","1.0",",,,6","","","1.75",",6","12.20",",,,6","-8.71",",,,6","",""
"USC00243113","1895-04","47.8304","-110.6611","807.4","FORT BENTON, MT US","","","","","0.0",",6","","","","","","","","","","","0",",6","24",",6","0",",6","14",",6","0",",6","","","","","-12.2",",6,18,","","","","","","","24.4",",6,24,","","","304.3",",6","","","","","8.19",",6","19.71",",,,6","-3.33",",,,6","",""
"USC00243113","1895-05","47.8304","-110.6611","807.4","FORT BENTON, MT US","","","","","0.0",",6","","","","","","","","","","","0",",6","7",",6","0",",6","17",",6","0",",6","","","","","-6.7",",6,11,","","","","","","","25.6",",6,19,+","","","204.2",",6","","","","","11.75",",6","20.86",",,,6","2.63",",,,6","",""
"USC00243113","1895-06","47.8304","-110.6611","807.4","FORT BENTON, MT US","","","","","3.9",",6","","","","","","","","","","","0",",6","1",",6","0",",6","20",",6","1",",6","","","","","-2.8",",6,09,","","","","","","","32.8",",6,30,","","","130.4",",6","","","","","14.12",",6","22.66",",,,6","5.57",",,,6","",""
"USC00243113","1895-07","47.8304","-110.6611","807.4","FORT BENTON, MT US","","","","","59.8",",6","6",",6","2",",6","1",",6","","","","","0",",6","0",",6","0",",6","27",",6","5",",6","","","","","2.2",",6,20,","","","","","50.8",",,6,04,","36.7",",6,03,","52.3","6","52.3",",6","65.1",",,,6","","","18.57",",6","27.07",",,,6","10.07",",,,6","",""
"USC00243113","1895-08","47.8304","-110.6611","807.4","FORT BENTON, MT US","","","","","45.6",",6","2",",6","1",",6","0",",6","","","","","0",",6","0",",6","0",",6","29",",6","9",",6","","","","","1.1",",6,14,","","","","","4.6",",,6,08,","36.7",",6,04,","95.9","6","43.6",",6","5.1",",,,6","","","18.40",",6","28.46",",,,6","8.33",",,,6","",""
"USC00243113","1895-09","47.8304","-110.6611","807.4","FORT BENTON, MT US","","","","","3.6",",6","5",",6","1",",6","0",",6","","","0",",6","0",",6","8",",6","0",",6","14",",6","0",",6","","","","","-7.2",",6,22,","","","5",",,6,20,","11.4",",,6,10,","31.7",",6,01,","283.5","6","187.6",",6","14.9",",,,6","5",",,,6","12.20",",6","20.16",",,,6","4.24",",,,6","",""
