"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00474190","1937-01","44.466667","-87.5","179.5","KEWAUNEE EVAPORATION, WI US","","","","","5",",6","4",",6","0",",6","","","","","","","","","","","","","17.0",",,6,31,","","","","","","","","","33.5",",,,6","","","","","","","",""
"USC00474190","1937-02","44.466667","-87.5","179.5","KEWAUNEE EVAPORATION, WI US","","","","","5","1,6","4","1,6","1","1,6","","","","","17","1,6","0","1,6","0","1,6","","","47.8","1,,6,21,","8.3","1,6,20,","1166.4","4,,,6","","","","","60.8","1,,,6","","","-1.44","1,,,6","","","8986",",,,6"
"USC00474190","1937-03","44.466667","-87.5","179.5","KEWAUNEE EVAPORATION, WI US","","","0.0","1,6","2",",6","1",",6","0",",6","0",",6","29",",6","11","1,6","0","1,6","0","1,6","-15.6",",6,26,","3.6",",,6,18,","6.1","1,6,29,+","1287.3","4,,,6","","","632.5","1,6","4.9",",,,6","-2.68","1,6","1.22","1,,,6","-6.58",",,,6","7443",",,,6"
"USC00474190","1937-04","44.466667","-87.5","179.5","KEWAUNEE EVAPORATION, WI US","","","0.0",",6","11",",6","7",",6","0",",6","0",",6","12",",6","0",",6","0",",6","0",",6","-6.7",",6,03,","22.4",",,6,22,","20.0",",6,19,","1126.8","2,,,6","","","423.3",",6","75.2",",,,6","4.22",",6","7.78",",,,6","0.66",",,,6","6609",",,,6"
"USC00474190","1937-05","44.466667","-87.5","179.5","KEWAUNEE EVAPORATION, WI US","","","0.0","2,6","","","","","","","0","1,6","2","1,6","0","2,6","4","2,6","0","2,6","-1.7","1,6,15,+","","","25.6","2,6,31,","1343.7",",,,6","","","223.7","2,6","","","10.65","2,6","16.19","2,,,6","5.12","1,,,6","5796",",,,6"
"USC00474190","1937-06","44.466667","-87.5","179.5","KEWAUNEE EVAPORATION, WI US","","","9.7","3,6","12",",6","9",",6","0",",6","0","2,6","0","2,6","0","2,6","13","2,6","0","2,6","1.1","2,6,10,","10.7",",,6,06,","30.0","2,6,01,","492.7","1,,,6","","","88.1","2,6","57.5",",,,6","15.35","3,6","20.50","2,,,6","10.21","2,,,6","4856","1,,,6"
"USC00474190","1937-07","44.466667","-87.5","179.5","KEWAUNEE EVAPORATION, WI US","","","59.5",",6","7",",6","3",",6","1",",6","0",",6","0",",6","0",",6","27",",6","1",",6","6.7",",6,27,+","48.0",",,6,26,","32.8",",6,08,","335.1","1,,,6","29.9","6","29.9",",6","66.1",",,,6","19.29",",6","24.27",",,,6","14.31",",,,6","4932",",,,6"
"USC00474190","1937-08","44.466667","-87.5","179.5","KEWAUNEE EVAPORATION, WI US","","","56.9","2,6","4",",6","4",",6","0",",6","0","1,6","0","1,6","0","2,6","23","2,6","1","2,6","7.8","1,6,23,","23.1",",,6,19,","34.4","2,6,17,","232.1","2,,,6","51.2","6","21.3","2,6","40.6",",,,6","19.56","2,6","24.49","2,,,6","14.63","1,,,6","3890","1,,,6"
"USC00474190","1937-09","44.466667","-87.5","179.5","KEWAUNEE EVAPORATION, WI US","","","31.9","2,6","6",",6","3",",6","1",",6","0","2,6","1","2,6","0","1,6","9","1,6","2","1,6","-1.7","2,6,27,","73.9",",,6,11,","33.9","1,6,03,","469.1","1,,,6","173.7","6","122.5","1,6","85.7",",,,6","15.02","2,6","20.40","1,,,6","9.64","2,,,6","4967",",,,6"
"USC00474190","1937-10","44.466667","-87.5","179.5","KEWAUNEE EVAPORATION, WI US","","","0.0","1,6","9",",6","5",",6","1",",6","0",",6","12",",6","0","1,6","2","1,6","0","1,6","-5.0",",6,16,+","26.7",",,6,18,","23.3","1,6,30,","637.7","2,,,6","528.3","6","354.6","1,6","83.1",",,,6","6.67","1,6","11.44","1,,,6","1.90",",,,6","5862",",,,6"
