"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00087293","1940-04","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","4",",6","4",",6","1",",6","","","","","","","","","31.8",",,6,01,","","","74.2",",,,6","","","",""
"USC00087293","1940-05","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","6",",6","6",",6","1",",6","","","","","","","","","32.5",",,6,30,","","","74.4",",,,6","","","",""
"USC00087293","1940-06","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","12",",6","9",",6","4",",6","","","","","","","","","42.4",",,6,01,","","","188.9",",,,6","","","",""
"USC00087293","1940-07","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","19",",6","7",",6","1",",6","","","","","","","","","51.8",",,6,18,","","","124.9",",,,6","","","",""
"USC00087293","1940-08","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","18",",6","14",",6","3",",6","","","","","","","","","48.8",",,6,19,","","","203.5",",,,6","","","",""
"USC00087293","1940-09","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","16",",6","11",",6","3",",6","","","","","","","","","42.9",",,6,11,","","","170.5",",,,6","","","",""
"USC00087293","1940-10","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","3",",6","2",",6","0",",6","","","","","","","","","13.7",",,6,29,","","","24.4",",,,6","","","",""
"USC00087293","1940-11","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","2",",6","1",",6","0",",6","","","","","","","","","2.5",",,6,04,","","","4.5",",,,6","","","",""
"USC00087293","1940-12","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","11",",6","6",",6","0",",6","","","","","","","","","20.3",",,6,27,+","","","79.5",",,,6","","","",""
"USC00087293","1941-01","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","8",",6","6",",6","1",",6","","","","","","","","","43.7",",,6,18,","","","101.6",",,,6","","","",""
"USC00087293","1941-02","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","9",",6","7",",6","2",",6","","","0",",6","","","0",",,6,28,+","35.6",",,6,08,","","","111.9",",,,6","0",",,,6","",""
"USC00087293","1941-03","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","5",",6","4",",6","1",",6","","","","","","","","","51.8",",,6,08,","1079.4",",,,6","94.7",",,,6","","","6874",",,,6"
"USC00087293","1941-04","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","8",",6","7",",6","4",",6","","","","","","","","","75.7",",,6,24,","1155.9",",,,6","230.4",",,,6","","","6518",",,,6"
"USC00087293","1941-05","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","2",",6","1",",6","1",",6","","","","","","","","","47.0",",,6,07,","","","48.0",",,,6","","","",""
