"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00041043","1968-02","38.11667","-121.7","9.1","BRANNAN ISLAND, CA US","","","0.0",",0","12",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","4",",0","0",",0","0.6",",0,01,","0",",,0,29,+","0",",,0,29,+","18.0",",,0,17,","22.8",",0,27,","","","","","187.2",",0","55.2",",,,0","0",",,,0","11.88",",0","16.74",",,,0","7.02",",,,0","980","5,,,0"
"USC00041043","1968-03","38.11667","-121.7","9.1","BRANNAN ISLAND, CA US","","","1.1",",0","8",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","9",",0","0",",0","4.4",",0,20,+","0",",,0,31,+","0",",,0,31,+","22.1",",,0,08,","27.8",",0,31,+","100.4","2,,,0","","","149.8",",0","60.6",",,,0","0",",,,0","13.54",",0","19.63",",,,0","7.44",",,,0","1860","4,,,0"
"USC00041043","1968-04","38.11667","-121.7","9.1","BRANNAN ISLAND, CA US","","","14.4","2,0","2",",0","1",",0","0",",0","0",",0","0",",0","0","2,0","0","2,0","0","2,0","17","2,0","0","2,0","5.6","2,0,23,","0",",,0,30,+","0",",,0,30,+","6.4",",,0,02,","31.1","2,0,30,","177.2","4,,,0","","","78.6","2,0","7.9",",,,0","0",",,,0","16.04","2,0","22.80","2,,,0","9.28","2,,,0","3929","4,,,0"
"USC00041043","1968-05","38.11667","-121.7","9.1","BRANNAN ISLAND, CA US","","","28.5","2,0","1",",0","1",",0","0",",0","0",",0","0",",0","0","2,0","0","2,0","0","2,0","22","2,0","1","2,0","5.6","2,0,14,","0",",,0,31,+","0",",,0,31,+","2.5",",,0,14,","32.2","2,0,28,","240.1","4,,,0","","","50.7","2,0","2.5",",,,0","0",",,,0","17.57","2,0","23.81","2,,,0","11.33","2,,,0","6358","4,,,0"
"USC00041043","1968-06","38.11667","-121.7","9.1","BRANNAN ISLAND, CA US","","","117.6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","9",",0","11.1",",0,10,+","0",",,0,30,+","0",",,0,30,+","0.0",",,0,30,+","37.8",",0,16,","361.4",",,,0","","","2.2",",0","0.0",",,,0","0",",,,0","22.18",",0","29.86",",,,0","14.50",",,,0","8777",",,,0"
"USC00041043","1968-07","38.11667","-121.7","9.1","BRANNAN ISLAND, CA US","","","163.5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","18",",0","12.2",",0,24,+","0",",,0,31,+","0",",,0,31,+","0.0",",,0,31,+","37.2",",0,20,+","356.7",",,,0","0.0","0","0.0",",0","0.0",",,,0","0",",,,0","23.61",",0","32.07",",,,0","15.14",",,,0","8039",",,,0"
"USC00041043","1968-08","38.11667","-121.7","9.1","BRANNAN ISLAND, CA US","","","105.6","1,0","1",",0","1",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","31",",0","7",",0","11.1","1,0,21,","0",",,0,31,+","0",",,0,31,+","10.7",",,0,22,","37.8",",0,31,","256.1","2,,,0","1.9","0","1.9",",0","10.7",",,,0","0",",,,0","21.80","1,0","28.77",",,,0","14.82","1,,,0","6548",",,,0"
"USC00041043","1968-09","38.11667","-121.7","9.1","BRANNAN ISLAND, CA US","","","92.7","1,0","0",",0","0",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0","1,0","29","1,0","6","1,0","7.8","1,0,23,","0",",,0,30,+","0",",,0,30,+","0.0",",,0,30,+","35.0","1,0,28,","234.5","2,,,0","4.7","0","2.8","1,0","0.0",",,,0","0",",,,0","21.43","1,0","28.62","1,,,0","14.24","1,,,0","5274","2,,,0"
"USC00041043","1968-10","38.11667","-121.7","9.1","BRANNAN ISLAND, CA US","","","5.0",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","25",",0","0",",0","6.1",",0,09,","0",",,0,31,+","0",",,0,31,+","5.6",",,0,12,","28.9",",0,28,","110.3",",,,0","54.7","0","50.0",",0","9.4",",,,0","0",",,,0","16.88",",0","23.89",",,,0","9.87",",,,0","3443",",,,0"
"USC00041043","1968-11","38.11667","-121.7","9.1","BRANNAN ISLAND, CA US","","","0.0","1,0","10",",0","4",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0","1,0","1","1,0","0","1,0","0.6","1,0,29,+","0",",,0,30,+","0",",,0,30,+","22.1",",,0,03,","22.2","1,0,09,","41.1","2,,,0","251.4","0","196.7","1,0","64.6",",,,0","0",",,,0","11.55","1,0","16.32","1,,,0","6.78","1,,,0","2024","2,,,0"
"USC00041043","1968-12","38.11667","-121.7","9.1","BRANNAN ISLAND, CA US","","","0.0",",0","8","2,0","6","2,0","0","2,0","0",",0","0",",0","0",",0","12",",0","0",",0","0",",0","0",",0","-3.3",",0,21,","0",",,0,31,+","0",",,0,31,+","17.8","2,,0,25,","16.7",",0,11,","34.5",",,,0","618.1","0","366.7",",0","54.4",",a,,0","0",",,,0","6.50",",0","11.22",",,,0","1.79",",,,0","2400",",,,0"
"USC00041043","1969-01","38.11667","-121.7","9.1","BRANNAN ISLAND, CA US","0.0","0","0.0",",0","15",",0","12",",0","1",",0","0",",0","0",",0","0",",0","6",",0","0",",0","0",",0","0",",0","-3.3",",0,10,","0",",,0,31,+","0",",,0,31,+","40.1",",,0,19,","16.1",",0,26,+","28.0","2,,,0","983.4","0","365.3",",0","169.0",",,,0","0",",,,0","6.55",",0","10.24",",,,0","2.86",",,,0","",""
"USC00041043","1969-02","38.11667","-121.7","9.1","BRANNAN ISLAND, CA US","0.0","0","0.0",",0","18",",0","15",",0","2",",0","0",",0","0",",0","0",",0","1",",0","0",",0","0",",0","0",",0","-0.6",",0,03,","0",",,0,28,+","0",",,0,28,+","33.0",",,0,12,","18.3",",0,11,","31.5","3,,,0","1260.3","0","276.9",",0","157.4",",,,0","0",",,,0","8.44",",0","12.58",",,,0","4.31",",,,0","2461",",,,0"
"USC00041043","1969-03","38.11667","-121.7","9.1","BRANNAN ISLAND, CA US","0.8","0","0.8",",0","6",",0","5",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","7",",0","0",",0","0.0",",0,08,","0",",,0,31,+","0",",,0,31,+","14.2",",,0,01,","26.7",",0,29,","110.2","2,,,0","1466.2","0","205.9",",0","36.8",",,,0","0",",,,0","11.72",",0","17.66",",,,0","5.77",",,,0","3639",",,,0"
"USC00041043","1969-04","38.11667","-121.7","9.1","BRANNAN ISLAND, CA US","0.8","0","0.0",",0","5",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","13",",0","0",",0","2.8",",0,04,","0",",,0,30,+","0",",,0,30,+","12.2",",,0,05,","26.7",",0,28,+","166.9",",,,0","1584.0","0","117.8",",0","28.7",",,,0","0",",,,0","14.41",",0","20.54",",,,0","8.27",",,,0","4227",",,,0"
"USC00041043","1969-05","38.11667","-121.7","9.1","BRANNAN ISLAND, CA US","25.6","0","24.8","3,0","1",",0","0",",0","0",",0","0",",0","0",",0","0","2,0","0","2,0","0","3,0","23","3,0","1","3,0","7.2","2,0,04,","0",",,0,31,+","0",",,0,31,+","1.0",",,0,04,","32.8","3,0,18,","247.2","2,,,0","1618.5","0","34.5","3,0","1.0",",,,0","0",",,,0","17.99","3,0","24.84","3,,,0","11.13","2,,,0","5863","2,,,0"
"USC00041043","1969-06","38.11667","-121.7","9.1","BRANNAN ISLAND, CA US","47.2","0","21.6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","1",",0","7.2",",0,25,","0",",,0,30,+","0",",,0,30,+","0.0",",,0,30,+","33.9",",0,01,","291.3",",,,0","1639.1","0","20.6",",0","0.0",",,,0","0",",,,0","18.37",",0","25.28",",,,0","11.46",",,,0","6144",",,,0"
"USC00041043","1969-07","38.11667","-121.7","9.1","BRANNAN ISLAND, CA US","164.9","0","117.7",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","17",",0","5.6",",0,26,","0",",,0,31,+","0",",,0,31,+","0.0",",,0,31,+","38.3",",0,18,","307.9","2,,,0","0.8","0","0.8",",0","0.0",",,,0","0",",,,0","22.10",",0","32.38",",,,0","11.83",",,,0","4497",",,,0"
"USC00041043","1969-08","38.11667","-121.7","9.1","BRANNAN ISLAND, CA US","358.5","0","193.6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","25",",0","7.8",",0,24,","0",",,0,31,+","0",",,0,31,+","0.0",",,0,31,+","38.3",",0,10,+","318.7",",,,0","3.0","0","2.2",",0","0.0",",,,0","0",",,,0","24.51",",0","34.25",",,,0","14.77",",,,0","3560",",,,0"
"USC00041043","1969-09","38.11667","-121.7","9.1","BRANNAN ISLAND, CA US","472.7","0","114.2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","13",",0","7.2",",0,14,+","0",",,0,30,+","0",",,0,30,+","0.0",",T,0,07,","38.9",",0,03,+","235.2","2,,,0","11.3","0","8.3",",0","0.0",",T,,0","0",",,,0","21.86",",0","30.82",",,,0","12.91",",,,0","5406","3,,,0"
"USC00041043","1969-10","38.11667","-121.7","9.1","BRANNAN ISLAND, CA US","478.6","0","5.9",",0","4",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","19",",0","0",",0","4.4",",0,23,","0",",,0,31,+","0",",,0,31,+","23.1",",,0,16,","30.6",",0,01,","143.6",",,,0","107.1","0","95.8",",0","41.6",",,,0","0",",,,0","15.43",",0","22.53",",,,0","8.34",",,,0","4400",",,,0"
"USC00041043","1969-11","38.11667","-121.7","9.1","BRANNAN ISLAND, CA US","478.6","0","0.0",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","5",",0","0",",0","11",",0","0",",0","-1.1",",0,29,","0",",,0,30,+","0",",,0,30,+","6.1",",,0,05,","26.1",",0,03,","41.6","2,,,0","298.1","0","191.0",",0","9.4",",,,0","0",",,,0","11.97",",0","19.52",",,,0","4.41",",,,0","1538",",,,0"
"USC00041043","1969-12","38.11667","-121.7","9.1","BRANNAN ISLAND, CA US","478.6","0","0.0",",0","12",",0","8",",0","1",",0","0",",0","0",",0","0",",0","8",",0","0",",0","0",",0","0",",0","-4.4",",0,05,","0",",,0,31,+","0",",,0,31,+","56.4",",,0,20,","17.8",",0,02,","29.5","2,,,0","591.1","0","293.0",",0","113.9",",,,0","0",",,,0","8.88",",0","13.73",",,,0","4.04",",,,0","2643",",,,0"
"USC00041043","1970-01","38.11667","-121.7","9.1","BRANNAN ISLAND, CA US","0.0","0","0.0","1,0","17",",0","11",",0","2",",0","0",",0","0",",0","0","1,0","7","1,0","0","1,0","0","1,0","0","1,0","-3.9","1,0,07,+","0",",,0,31,+","0",",,0,31,+","48.3",",,0,21,","19.4","1,0,23,","26.9","5,,,0","852.6","0","261.5","1,0","185.8",",,,0","0",",,,0","9.62","1,0","14.05","1,,,0","5.19","1,,,0","2617","2,,,0"
"USC00041043","1970-02","38.11667","-121.7","9.1","BRANNAN ISLAND, CA US","0.0","0","0.0",",0","9",",0","4",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","0",",0","0",",0","0.0",",0,07,","0",",,0,28,+","0",",,0,28,+","14.2",",,0,14,","20.6",",0,28,+","47.8","2,,,0","1064.4","0","211.8",",0","32.3",",,,0","0",",,,0","10.77",",0","16.46",",,,0","5.08",",,,0","2260",",,,0"
"USC00041043","1970-03","38.11667","-121.7","9.1","BRANNAN ISLAND, CA US","0.0","0","0.0",",0","4",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","12",",0","0",",0","2.8",",0,06,","0",",,0,31,+","0",",,0,31,+","15.0",",,0,05,","25.0",",0,25,","140.3",",,,0","1229.2","0","164.8",",0","34.0",",,,0","0",",,,0","13.02",",0","19.10",",,,0","6.94",",,,0","4347",",,,0"
"USC00041043","1970-04","38.11667","-121.7","9.1","BRANNAN ISLAND, CA US","0.0","0","0.0","1,0","3",",0","1",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","14",",0","0",",0","1.1","1,0,15,","0",",,0,30,+","0",",,0,30,+","5.1",",,0,28,","25.6",",0,06,+","191.0",",,,0","1381.0","0","151.8",",0","6.6",",,,0","0",",,,0","13.11","1,0","20.38",",,,0","5.84","1,,,0","5679",",,,0"
"USC00041043","1970-05","38.11667","-121.7","9.1","BRANNAN ISLAND, CA US","54.4","0","54.4","2,0","0",",0","0",",0","0",",0","0",",0","0",",0","0","2,0","0","2,0","0",",0","26",",0","7",",0","5.0","2,0,10,","0",",,0,31,+","0",",,0,31,+","0.0",",,0,31,+","37.2",",0,17,","265.1",",,,0","1427.9","0","46.9",",0","0.0",",,,0","0",",,,0","18.64","2,0","26.49",",,,0","10.80","2,,,0","6274",",,,0"
"USC00041043","1970-06","38.11667","-121.7","9.1","BRANNAN ISLAND, CA US","118.1","0","63.7",",0","2",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","6",",0","2.8",",0,05,","0",",,0,30,+","0",",,0,30,+","3.8",",,0,09,","36.1",",0,20,+","301.9",",,,0","1448.1","0","20.2",",0","4.1",",,,0","0",",,,0","19.78",",0","28.32",",,,0","11.25",",,,0","7611",",,,0"
"USC00041043","1970-07","38.11667","-121.7","9.1","BRANNAN ISLAND, CA US","","","","","0",",0","0",",0","0",",0","0",",0","0",",0","","","","","0",",0","31",",0","13",",0","","","0",",,0,31,+","0",",,0,31,+","0.0",",,0,31,+","39.4",",0,20,+","351.4",",,,0","","","","","0.0",",,,0","0",",,,0","","","32.13",",,,0","","","7419",",,,0"
"USC00041043","1970-08","38.11667","-121.7","9.1","BRANNAN ISLAND, CA US","","","","","0",",0","0",",0","0",",0","0",",0","0",",0","","","","","0",",0","31",",0","10",",0","","","0",",,0,31,+","0",",,0,31,+","0.0",",,0,31,+","40.0",",0,11,","317.8",",,,0","","","","","0.0",",,,0","0",",,,0","","","30.82",",,,0","","","7837",",,,0"
"USC00041043","1970-09","38.11667","-121.7","9.1","BRANNAN ISLAND, CA US","","","107.5","1,0","1",",0","0",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","30",",0","12",",0","8.9","1,0,30,","0",",,0,30,+","0",",,0,30,+","2.0",",,0,05,","37.2",",0,11,+","223.9","2,,,0","","","2.2",",0","2.0",",,,0","0",",,,0","21.94","1,0","30.72",",,,0","13.17","1,,,0","4614",",,,0"
"USC00041043","1970-10","38.11667","-121.7","9.1","BRANNAN ISLAND, CA US","","","20.8","1,0","3",",0","2",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0","1,0","22","1,0","3","1,0","2.8","1,0,28,","0",",,0,31,+","0",",,0,31,+","5.3",",,0,24,","35.6","1,0,02,","","","","","82.0","1,0","11.9",",,,0","0",",,,0","16.29","1,0","23.79","1,,,0","8.79","1,,,0","4621",",,,0"
"USC00041043","1970-11","38.11667","-121.7","9.1","BRANNAN ISLAND, CA US","","","0.0","2,0","12",",0","10",",0","2",",0","0",",0","0",",0","0","2,0","0","2,0","0","1,0","3","1,0","0","1,0","3.3","2,0,27,+","0",",,0,30,+","0",",,0,30,+","45.0",",,0,29,","25.0","1,0,03,","","","","","151.7","1,0","129.4",",,,0","0",",,,0","12.81","2,0","18.04","1,,,0","7.58","2,,,0","",""
"USC00041043","1970-12","38.11667","-121.7","9.1","BRANNAN ISLAND, CA US","","","0.0",",0","19",",0","14",",0","0",",0","0",",0","0",",0","0",",0","3",",0","0",",0","0",",0","0",",0","-0.6",",0,25,","0",",,0,31,+","0",",,0,31,+","22.9",",,0,04,","16.1",",0,02,","","","","","331.8",",0","125.8",",,,0","0",",,,0","7.63",",0","11.33",",,,0","3.94",",,,0","1824",",,,0"
"USC00041043","1971-01","38.11667","-121.7","9.1","BRANNAN ISLAND, CA US","0.0","0","0.0",",0","8",",0","4",",0","0",",0","0",",0","0",",0","0",",0","9",",0","0",",0","0",",0","0",",0","-3.3",",0,08,","0",",,0,31,+","0",",,0,31,+","12.4",",,0,13,","17.8",",0,18,","","","","","338.4",",0","29.3",",,,0","0",",,,0","7.42",",0","12.05",",,,0","2.79",",,,0","1889",",,,0"
"USC00041043","1971-02","38.11667","-121.7","9.1","BRANNAN ISLAND, CA US","0.0","0","0.0","1,0","2",",0","1",",0","0",",0","0",",0","0",",0","0","1,0","3","1,0","0",",0","0",",0","0",",0","-5.0","1,0,28,","0",",,0,28,+","0",",,0,28,+","3.3",",,0,17,","19.4",",0,14,","48.6","3,,,0","","","260.3",",0","4.8",",,,0","0",",,,0","8.70","1,0","14.66",",,,0","2.74","1,,,0","2842",",,,0"
"USC00041043","1971-03","38.11667","-121.7","9.1","BRANNAN ISLAND, CA US","","","","","6",",0","5",",0","0",",0","0",",0","0",",0","","","","","0","2,0","4","2,0","0","2,0","","","0",",,0,31,+","0",",,0,31,+","17.8",",,0,26,","23.9","2,0,30,+","","","","","","","47.7",",,,0","0",",,,0","","","17.51","2,,,0","","","4072","4,,,0"
"USC00041043","1971-04","38.11667","-121.7","9.1","BRANNAN ISLAND, CA US","","","0.0","3,0","4",",0","2",",0","0",",0","0",",0","0",",0","0","3,0","1","3,0","0","1,0","10","1,0","0","1,0","-2.2","3,0,08,","0",",,0,30,+","0",",,0,30,+","6.9",",,0,14,","26.1","1,0,05,","154.3","2,,,0","","","139.8","1,0","13.2",",,,0","0",",,,0","13.09","3,0","19.89","1,,,0","6.28","3,,,0","5127","2,,,0"
"USC00041043","1971-05","38.11667","-121.7","9.1","BRANNAN ISLAND, CA US","","","7.8","4,0","5",",0","2",",0","0",",0","0",",0","0",",0","0","4,0","0","4,0","0","1,0","19","1,0","0","1,0","3.3","4,0,30,","0",",,0,31,+","0",",,0,31,+","12.2",",,0,03,","28.9","1,0,23,","210.0","2,,,0","","","63.5","1,0","25.5",",,,0","0",",,,0","16.30","4,0","22.37","1,,,0","10.23","4,,,0","5667","2,,,0"
"USC00041043","1971-06","38.11667","-121.7","9.1","BRANNAN ISLAND, CA US","","","82.2","4,0","0",",0","0",",0","0",",0","0",",0","0",",0","0","4,0","0","4,0","0","3,0","24","3,0","6","3,0","5.0","4,0,01,","0",",,0,30,+","0",",,0,30,+","0.0",",,0,30,+","36.7","3,0,17,+","268.0","5,,,0","","","16.7","3,0","0.0",",,,0","0",",,,0","20.81","4,0","27.99","3,,,0","13.62","4,,,0","5358","5,,,0"
"USC00041043","1971-07","38.11667","-121.7","9.1","BRANNAN ISLAND, CA US","","","143.7","2,0","0",",0","0",",0","0",",0","0",",0","0",",0","0","2,0","0","2,0","0","1,0","30","1,0","11","1,0","12.8","2,0,26,+","0",",,0,31,+","0",",,0,31,+","0.0",",,0,31,+","37.8","1,0,15,","340.5","2,,,0","0.0","0","0.0","1,0","0.0",",,,0","0",",,,0","23.32","2,0","31.36","1,,,0","15.29","2,,,0","6257","2,,,0"
