"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00094850","1959-10","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","","","0.0",",0","15",",0","8",",0","2",",0","7",",0","2",",0","0",",0","16",",0","3",",0","0",",0","0",",0","16","","","","","","-11.7",",0,28,","229",",,0,29,+","330",",,0,24,","118.1",",,0,24,","20.0",",0,04,","","","439.9",",0","196.3",",,,0","","","393",",,,0","4.14",",0","8.02",",,,0","0.27",",,,0","","","","","","","","","","","","","",""
"USW00094850","1959-11","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","","","","","","","","","","","","","","","","","","","","","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094850","1961-10","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","","","0.0",",0","13",",0","6",",0","0",",0","0",",0","0",",0","0",",0","13",",0","0",",0","6",",0","0",",0","12","","","","","","-6.7",",0,03,","0",",,0,31,+","0",",T,0,31,+","9.1",",,0,13,","27.2",",0,17,","","","345.3",",0","42.8",",,,0","","","0",",T,,0","7.20",",0","12.69",",,,0","1.70",",,,0","","","","","","","","","","","","","",""
"USW00094850","1961-11","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","","","0.0",",0","10",",0","3",",0","0",",0","15",",0","3",",0","0",",0","28",",0","9",",0","0",",0","0",",0","9","","","","","","-16.7",",0,19,","178",",,0,22,","102",",,0,16,","17.0",",,0,02,","17.2",",0,02,","","","569.2",",0","46.2",",,,0","","","222",",,,0","-0.64",",0","3.61",",,,0","-4.89",",,,0","","","","","","","","","","","","","",""
"USW00094850","1961-12","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","","","0.0",",0","15",",0","6",",0","1",",0","29",",0","7",",0","8",",0","31",",0","27",",0","0",",0","0",",0","8","","","","","","-25.0",",0,28,","559",",,0,29,+","279",",,0,12,","27.9",",,0,12,","10.0",",0,04,","","","830.6",",0","55.3",",,,0","","","635",",,,0","-8.46",",0","-4.21",",,,0","-12.71",",,,0","","","","","","","","","","","","","",""
"USW00094850","1962-01","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","0.0","0","0.0",",0","13",",0","5",",0","0",",0","31",",0","7",",0","14",",0","31",",0","29",",0","0",",0","0",",0","4","","","","","","-29.4",",0,19,","813",",,0,17,+","102",",,0,07,","8.1",",,0,05,","1.7",",0,03,","","","964.4",",0","37.6",",,,0","","","468",",,,0","-12.78",",0","-8.27",",,,0","-17.28",",,,0","","","","","","","","","","","","","",""
"USW00094850","1962-02","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","0.0","0","0.0",",0","14",",0","8",",0","0",",0","28",",0","8",",0","13",",0","28",",0","26",",0","0",",0","0",",0","9","","","","","","-35.6",",0,08,","1016",",,0,28,+","180",",,0,22,","16.3",",,0,13,","1.7",",0,03,","","","865.6",",0","54.7",",,,0","","","632",",,,0","-12.58",",0","-7.68",",,,0","-17.49",",,,0","","","","","","","","","","","","","",""
"USW00094850","1962-03","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","0.0","0","0.0",",0","6",",0","3",",0","0",",0","31",",0","3",",0","3",",0","30",",0","10",",0","0",",0","0",",0","9","","","","1","","-32.8",",0,01,","1016",",,0,03,+","102",",,0,12,","10.2",",,0,12,","12.8",",0,28,","","","696.3",",0","24.3",",,,0","","","204",",,,0","-4.13",",0","1.03",",,,0","-9.29",",,,0","","","","","","","","","","","","","",""
"USW00094850","1962-04","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","0.0","0","0.0",",0","9",",0","4",",0","0",",0","20",",0","0",",0","0",",0","27",",0","5",",0","1",",0","0",",0","11","","","","1","","-15.6",",0,03,","203",",,0,01,","3",",,0,15,","10.7",",,0,22,","22.2",",0,24,","","","496.8",",0","33.9",",,,0","","","3",",,,0","1.77",",0","7.46",",,,0","-3.91",",,,0","","","","","","","","","","","","","",""
"USW00094850","1962-05","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","23.9","0","23.9",",0","11",",0","7",",0","0",",0","1",",0","1",",0","0",",0","5",",0","0",",0","11",",0","1",",0","10","","","","3","","-3.3",",0,09,+","25",",,0,08,","46",",,0,08,","10.2",",,0,13,","32.2",",0,16,","","","214.3",",0","51.6",",,,0","","","46",",,,0","12.19",",0","18.21",",,,0","6.17",",,,0","","","","","","","","","","","","","",""
