"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"ECM00084008","2012-02","-0.917","-89.617","18.9","SAN CRISTOBAL, EC","0","5,S","24","5,S","0","5,S","31.4","5,S,29,","30.01","5,,,S"
"ECM00084008","2012-06","-0.917","-89.617","18.9","SAN CRISTOBAL, EC","0","2,S","28","2,S","0","2,S","31.2","2,S,01,","29.36","2,,,S"
"ECM00084008","2012-07","-0.917","-89.617","18.9","SAN CRISTOBAL, EC","0","2,S","29","2,S","0","2,S","28.6","2,S,13,+","27.56","2,,,S"
"ECM00084008","2012-08","-0.917","-89.617","18.9","SAN CRISTOBAL, EC","0","5,S","26","5,S","0","5,S","27.7","5,S,13,","26.52","5,,,S"
"ECM00084008","2012-09","-0.917","-89.617","18.9","SAN CRISTOBAL, EC","0","5,S","25","5,S","0","5,S","27.3","5,S,26,","26.32","5,,,S"
"ECM00084008","2012-10","-0.917","-89.617","18.9","SAN CRISTOBAL, EC","0","5,S","26","5,S","0","5,S","27.4","5,S,30,","26.51","5,,,S"
"ECM00084008","2012-11","-0.917","-89.617","18.9","SAN CRISTOBAL, EC","0","4,S","26","4,S","0","4,S","29.2","4,S,22,","26.90","4,,,S"
"ECM00084008","2013-01","-0.917","-89.617","18.9","SAN CRISTOBAL, EC","0","5,S","26","5,S","0","5,S","31.0","5,S,30,","29.51","5,,,S"
"ECM00084008","2013-02","-0.917","-89.617","18.9","SAN CRISTOBAL, EC","0","1,S","27","1,S","1","1,S","32.2","1,S,26,","30.24","1,,,S"
"ECM00084008","2013-03","-0.917","-89.617","18.9","SAN CRISTOBAL, EC","0","3,S","28","3,S","2","3,S","32.4","3,S,31,+","30.85","3,,,S"
"ECM00084008","2013-04","-0.917","-89.617","18.9","SAN CRISTOBAL, EC","0","5,S","25","5,S","2","5,S","32.2","5,S,18,+","30.75","5,,,S"
"ECM00084008","2013-05","-0.917","-89.617","18.9","SAN CRISTOBAL, EC","0","5,S","26","5,S","0","5,S","30.0","5,S,01,","28.62","5,,,S"
"ECM00084008","2015-01","-0.917","-89.617","18.9","SAN CRISTOBAL, EC","0","5,S","26","5,S","0","5,S","31.0","5,S,27,","29.00","5,,,S"
"ECM00084008","2015-12","-0.917","-89.617","18.9","SAN CRISTOBAL, EC","0","4,S","27","4,S","0","4,S","31.2","4,S,04,","30.12","4,,,S"
"ECM00084008","2016-01","-0.917","-89.617","18.9","SAN CRISTOBAL, EC","0","3,S","28","3,S","0","3,S","30.8","3,S,31,+","29.85","3,,,S"
"ECM00084008","2016-03","-0.917","-89.617","18.9","SAN CRISTOBAL, EC","0","3,S","28","3,S","14","3,S","34.1","3,S,24,","31.96","3,,,S"
"ECM00084008","2016-04","-0.917","-89.617","18.9","SAN CRISTOBAL, EC","0","3,S","27","3,S","11","3,S","34.4","3,S,06,+","31.96","3,,,S"
"ECM00084008","2016-05","-0.917","-89.617","18.9","SAN CRISTOBAL, EC","0","5,S","26","5,S","0","5,S","32.1","5,S,08,","30.32","5,,,S"
"ECM00084008","2018-05","-0.917","-89.617","18.9","SAN CRISTOBAL, EC","0","5,S","26","5,S","0","5,S","31.6","5,S,03,+","30.50","5,,,S"
"ECM00084008","2018-06","-0.917","-89.617","18.9","SAN CRISTOBAL, EC","0","2,S","28","2,S","0","2,S","29.4","2,S,03,","27.99","2,,,S"
"ECM00084008","2018-07","-0.917","-89.617","18.9","SAN CRISTOBAL, EC","0","2,S","29","2,S","0","2,S","28.3","2,S,07,+","26.98","2,,,S"
"ECM00084008","2018-08","-0.917","-89.617","18.9","SAN CRISTOBAL, EC","0","4,S","27","4,S","0","4,S","26.9","4,S,01,","25.76","4,,,S"
"ECM00084008","2019-02","-0.917","-89.617","18.9","SAN CRISTOBAL, EC","0","5,S","23","5,S","3","5,S","33.0","5,S,17,","31.40","5,,,S"
"ECM00084008","2019-08","-0.917","-89.617","18.9","SAN CRISTOBAL, EC","0","4,S","27","4,S","0","4,S","26.3","4,S,26,","25.42","4,,,S"
