"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00426140","1906-02","39.65","-111.86667","1598.1","NEPHI 5 SSW, UT US","","","4",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","5.8",",,6,22,","","","","","","","","","17.3",",,,6","","","","","","","","","",""
"USC00426140","1906-03","39.65","-111.86667","1598.1","NEPHI 5 SSW, UT US","","","9",",6","8",",6","1",",6","2",",6","","","","","","","","","","","","","279",",,6,17,","25.4",",,6,27,","","","","","","","","","97.4",",,,6","457",",,,6","","","","","","","",""
"USC00426140","1906-04","39.65","-111.86667","1598.1","NEPHI 5 SSW, UT US","","","8",",6","5",",6","1",",6","","","","","","","","","","","","","","","","","30.0",",,6,07,","","","","","","","","","73.0",",,,6","","","","","","","","","",""
"USC00426140","1906-05","39.65","-111.86667","1598.1","NEPHI 5 SSW, UT US","","","4",",6","4",",6","1",",6","","","","","","","","","","","","","","","","","29.5",",,6,13,","","","","","","","","","74.1",",,,6","","","","","","","","","",""
"USC00426140","1906-06","39.65","-111.86667","1598.1","NEPHI 5 SSW, UT US","","","2",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","5.8",",,6,04,","","","","","","","","","10.9",",,,6","","","","","","","","","",""
"USC00426140","1906-07","39.65","-111.86667","1598.1","NEPHI 5 SSW, UT US","","","6",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","6.4",",,6,24,","","","","","","","","","20.4",",,,6","","","","","","","","","",""
"USC00426140","1906-08","39.65","-111.86667","1598.1","NEPHI 5 SSW, UT US","","","7",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","21.6",",,6,20,","","","","","","","","","39.9",",,,6","","","","","","","","","",""
"USC00426140","1906-09","39.65","-111.86667","1598.1","NEPHI 5 SSW, UT US","","","2",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","10.2",",,6,02,","","","","","","","","","15.5",",,,6","","","","","","","","","",""
"USC00426140","1906-10","39.65","-111.86667","1598.1","NEPHI 5 SSW, UT US","","","0",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","0.0",",T,6,21,","","","","","","","","","0.0",",T,,6","","","","","","","","","",""
"USC00426140","1906-11","39.65","-111.86667","1598.1","NEPHI 5 SSW, UT US","","","7",",6","5",",6","0",",6","3",",6","","","","","","","","","","","","","152",",,6,28,","20.3",",,6,02,","","","","","","","","","37.3",",,,6","241",",,,6","","","","","","","",""
