"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00204075","1905-02","43.0","-85.08333","244.1","IONIA, MI US","","","7",",6","6",",6","0",",6","","","7",",6","","","","","","","","","","","","","","","","","102",",,6,09,","11.2",",,6,09,","","","","","34.0",",,,6","343",",,,6","","","","","",""
"USC00204075","1905-03","43.0","-85.08333","244.1","IONIA, MI US","","","11",",6","4",",6","1",",6","","","1",",6","","","","","","","","","","","2","","","","","","25",",,6,20,","36.1",",,6,24,","","","","","88.4",",,,6","67",",,,6","","","","","",""
"USC00204075","1905-04","43.0","-85.08333","244.1","IONIA, MI US","","","12",",6","5",",6","1",",6","","","0",",6","","","","","","","","","","","","","","","","","13",",,6,07,","31.5",",,6,21,","","","","","71.3",",,,6","13",",,,6","","","","","",""
"USC00204075","1906-02","43.0","-85.08333","244.1","IONIA, MI US","","","7",",6","4",",6","0",",6","","","2",",6","","","","","","","","","","","","","","","","","38",",,6,14,","13.2",",,6,14,","","","","","45.6",",,,6","63",",,,6","","","","","",""
"USC00204075","1906-03","43.0","-85.08333","244.1","IONIA, MI US","","","13",",6","5",",6","0",",6","","","3",",6","","","","","","","","","","","","","","","","","51",",,6,19,","22.9",",,6,03,","","","","","41.3",",,,6","168",",,,6","","","","","",""
"USC00204075","1906-04","43.0","-85.08333","244.1","IONIA, MI US","","","8",",6","4",",6","1",",6","","","0",",6","","","","","","","","","","","","","","","","","0",",,6,30,+","27.4",",,6,14,","","","","","56.8",",,,6","0",",,,6","","","","","",""
"USC00204075","1907-01","43.0","-85.08333","244.1","IONIA, MI US","","","9",",6","4",",6","1",",6","","","4",",6","","","","","","","","","","","","","","","","","76",",,6,22,","28.4",",,6,08,","","","","","63.7",",,,6","216",",,,6","","","","","",""
"USC00204075","1907-02","43.0","-85.08333","244.1","IONIA, MI US","","","7",",6","0",",6","0",",6","","","1",",6","","","","","","","","","","","","","","","","","51",",,6,21,","2.0",",,6,01,","","","","","6.8",",,,6","113",",,,6","","","","","",""
"USC00204075","1907-03","43.0","-85.08333","244.1","IONIA, MI US","","","9",",6","6",",6","0",",6","","","1",",6","","","","","","","","","","","","","","","","","76",",,6,08,","17.3",",,6,24,","","","","","67.4",",,,6","81",",,,6","","","","","",""
"USC00204075","1907-04","43.0","-85.08333","244.1","IONIA, MI US","","","9",",6","6",",6","2",",6","","","1",",6","","","","","","","","","","","","","","","","","25",",,6,30,","30.0",",,6,29,","","","","","77.0",",,,6","28",",,,6","","","","","",""
