"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES"
"USC00041194","1939-12","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","","","2.0",",0","2",",0","2",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","22",",0","0",",0","","","","","","","0.0",",0,27,","0",",,0,31,+","0",",,0,31,+","11.9",",,0,23,","31.7",",0,03,","","","110.2",",0","14.4",",,,0","0",",,,0","14.84",",0","24.00",",,,0","5.68",",,,0","","","",""
"USC00041194","1940-01","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","0.0","0","0.0",",0","13",",0","9",",0","2",",0","0",",0","0",",0","0",",0","2",",0","0",",0","10",",0","0",",0","","","","","2","","0.0",",0,19,+","0",",,0,31,+","0",",,0,31,+","30.0",",,0,08,","28.3",",0,28,","","","170.1",",0","118.5",",,,0","0",",,,0","12.85",",0","19.46",",,,0","6.23",",,,0","","","",""
"USC00041194","1940-02","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","0.0","0","0.0",",0","9",",0","7",",0","3",",0","0",",0","0",",0","0",",0","2",",0","0",",0","13",",0","0",",0","","","","","1","","0.0",",0,17,+","0",",,0,29,+","0",",,0,29,+","60.5",",,0,01,","25.6",",0,20,","","","159.7",",0","145.6",",,,0","0",",,,0","12.83",",0","19.68",",,,0","5.97",",,,0","","","",""
"USC00041194","1940-03","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","0.0","0","0.0",",0","6",",0","2",",0","1",",0","0",",0","0",",0","0",",0","1",",0","0",",0","18",",0","0",",0","","","","","","","0.0",",0,13,","0",",,0,31,+","0",",,0,31,+","34.0",",,0,31,","29.4",",0,06,","","","111.2",",0","39.1",",,,0","0",",,,0","14.75",",0","21.70",",,,0","7.79",",,,0","","","",""
"USC00041194","1940-04","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","18.2","0","18.2",",0","3",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","17",",0","3",",0","","","","","1","","5.0",",0,27,+","0",",,0,30,+","0",",,0,30,+","28.2",",,0,26,","35.6",",0,13,+","","","84.6",",0","48.3",",,,0","0",",,,0","16.12",",0","23.12",",,,0","9.12",",,,0","","","",""
"USC00041194","1940-05","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","52.5","0","34.3",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","4",",0","","","","","1","","7.2",",0,31,+","0",",,0,31,+","0",",,0,31,+","0.8",",,0,18,","36.1",",0,09,+","","","23.9",",0","1.1",",,,0","0",",,,0","18.67",",0","25.88",",,,0","11.45",",,,0","","","",""
"USC00041194","1940-06","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","93.8","0","41.3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","0",",0","","","","","","","8.9",",0,19,","0",",,0,30,+","0",",,0,30,+","0.0",",T,0,17,+","30.0",",0,13,","","","3.9",",0","0.0",",T,,0","0",",,,0","19.58",",0","26.33",",,,0","12.82",",,,0","","","",""
"USC00041194","1940-07","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","216.0","0","122.2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","13",",0","","","","","","","9.4",",0,20,+","0",",,0,31,+","0",",,0,31,+","0.0",",T,0,28,+","40.6",",0,10,","2.0","0","2.0",",0","0.0",",T,,0","0",",,,0","22.21",",0","30.80",",,,0","13.62",",,,0","","","",""
"USC00041194","1940-08","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","335.7","0","119.7",",0","0",",0","0",",0","0",",0","0","5,0","0",",0","0",",0","0",",0","0",",0","31",",0","8",",0","","","","","","","11.1",",0,26,+","0","5,,0,31,+","0",",,0,31,+","0.0",",T,0,21,","38.3",",0,19,","2.0","0","0.0",",0","0.0",",T,,0","0",",,,0","22.20",",0","29.98",",,,0","14.41",",,,0","","","",""
"USC00041194","1940-09","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","392.6","0","56.9",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","4",",0","","","","","","","7.2",",0,30,","0",",,0,30,+","0",",,0,30,+","0.0",",T,0,03,+","33.3",",0,25,","3.1","0","1.1",",0","0.0",",T,,0","0",",,,0","20.19",",0","28.19",",,,0","12.20",",,,0","","","",""
