"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00114750","1951-11","39.78333","-91.18333",,"KINGSTON, IL US","4",",6","4",",6","0",",6","","","","","22.9",",,6,12,","54.2",",,,6"
"USC00114750","1951-12","39.78333","-91.18333",,"KINGSTON, IL US","1",",6","1",",6","0",",6","","","","","4.3",",,6,05,","4.3",",,,6"
"USC00114750","1952-02","39.78333","-91.18333",,"KINGSTON, IL US","4",",6","3",",6","0",",6","","","","","11.9",",,6,13,","27.9",",,,6"
"USC00114750","1952-03","39.78333","-91.18333",,"KINGSTON, IL US","9",",6","8",",6","1",",6","","","","","33.0",",,6,18,","92.2",",,,6"
"USC00114750","1952-04","39.78333","-91.18333",,"KINGSTON, IL US","9",",6","7",",6","0",",6","","","","","23.6",",,6,23,","96.8",",,,6"
"USC00114750","1952-05","39.78333","-91.18333",,"KINGSTON, IL US","9",",6","6",",6","1",",6","","","","","44.5",",,6,09,","92.2",",,,6"
"USC00114750","1952-06","39.78333","-91.18333",,"KINGSTON, IL US","7",",6","7",",6","1",",6","","","","","32.8",",,6,09,","110.0",",,,6"
"USC00114750","1952-08","39.78333","-91.18333",,"KINGSTON, IL US","4",",6","3",",6","1",",6","","","","","34.3",",,6,21,","49.8",",,,6"
"USC00114750","1952-09","39.78333","-91.18333",,"KINGSTON, IL US","2",",6","2",",6","1",",6","","","","","30.5",",,6,01,","43.7",",,,6"
"USC00114750","1952-10","39.78333","-91.18333",,"KINGSTON, IL US","2",",6","2",",6","0",",6","","","","","13.2",",,6,14,","20.8",",,,6"
"USC00114750","1952-11","39.78333","-91.18333",,"KINGSTON, IL US","5",",6","5",",6","2",",6","","","","","39.4",",,6,17,","89.6",",,,6"
"USC00114750","1952-12","39.78333","-91.18333",,"KINGSTON, IL US","4",",6","4",",6","0",",6","","","","","10.7",",,6,20,","34.4",",,,6"
"USC00114750","1953-01","39.78333","-91.18333",,"KINGSTON, IL US","3",",6","3",",6","0",",6","","","","","24.1",",,6,23,","33.5",",,,6"
"USC00114750","1953-02","39.78333","-91.18333",,"KINGSTON, IL US","3",",6","3",",6","0",",6","","","1","","10.9",",,6,20,","25.1",",,,6"
"USC00114750","1953-03","39.78333","-91.18333",,"KINGSTON, IL US","7",",6","6",",6","1",",6","","","","","29.5",",,6,31,","102.9",",,,6"
"USC00114750","1953-05","39.78333","-91.18333",,"KINGSTON, IL US","6",",6","3",",6","0",",6","","","","","20.3",",,6,05,","38.9",",,,6"
"USC00114750","1953-06","39.78333","-91.18333",,"KINGSTON, IL US","","","","","","","1","","2","","","","",""
"USC00114750","1953-07","39.78333","-91.18333",,"KINGSTON, IL US","5",",6","4",",6","1",",6","","","3","","47.2",",,6,16,","69.0",",,,6"
"USC00114750","1953-08","39.78333","-91.18333",,"KINGSTON, IL US","6",",6","5",",6","0",",6","","","4","","18.8",",,6,02,","37.5",",,,6"
"USC00114750","1953-09","39.78333","-91.18333",,"KINGSTON, IL US","2",",6","2",",6","1",",6","","","","","27.9",",,6,04,","42.1",",,,6"
"USC00114750","1953-10","39.78333","-91.18333",,"KINGSTON, IL US","4",",6","3",",6","1",",6","","","","","26.4",",,6,04,","36.6",",,,6"
"USC00114750","1953-11","39.78333","-91.18333",,"KINGSTON, IL US","1",",6","1",",6","0",",6","","","","","6.6",",,6,19,","6.6",",,,6"
"USC00114750","1953-12","39.78333","-91.18333",,"KINGSTON, IL US","4",",6","4",",6","0",",6","","","","","17.3",",,6,02,","27.5",",,,6"
