"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00145210","1973-05","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","","","16.4","1,0","9","1,0","6","1,0","2","1,0","0",",0","0",",0","0","1,0","0","1,0","0",",0","24",",0","0",",0","","","","","3.9","1,0,03,","0",",,0,31,+","0",",,0,31,+","43.2","1,,0,22,","31.7",",0,22,","206.0","2,,,0","","","59.3",",0","12.40",",,,0","19.54",",,,0","139.2","1,,,0","0",",,,0","16.88","1,0","23.32",",,,0","10.45","1,,,0","","","5625",",,,0","",""
"USC00145210","1973-07","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","","","208.5",",0","8",",0","6",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","17",",0","","","","","14.4",",0,15,","0",",,0,31,+","0",",,0,31,+","38.1",",,0,19,","34.4",",0,21,+","240.8",",,,0","0.0","0","0.0",",0","21.21",",,,0","27.70",",,,0","93.5",",,,0","0",",,,0","25.06",",0","31.41",",,,0","18.71",",,,0","","","4407",",,,0","",""
"USC00145210","1973-08","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","","","199.7",",0","6",",0","6",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","17",",0","","","","","13.3",",0,03,+","0",",,0,31,+","0",",,0,31,+","26.7",",,0,08,","37.8",",0,26,","233.8","1,,,0","0.0","0","0.0",",0","20.60",",,,0","27.10",",,,0","77.3",",,,0","0",",,,0","24.77",",0","31.83",",,,0","17.72",",,,0","","","4708",",,,0","",""
"USC00145210","1973-09","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","","","50.3",",0","13",",0","10",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","22",",0","0",",0","","","","","3.3",",0,18,","0",",,0,30,+","0",",,0,30,+","82.6",",,0,25,","31.7",",0,01,","82.2","5,,,0","43.5","0","43.5",",0","","","","","301.0",",,,0","0",",,,0","18.56",",0","23.27",",,,0","13.85",",,,0","","","4080",",,,0","",""
"USC00145210","1973-10","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","","","20.2","1,0","6",",0","3",",0","1",",0","0",",0","0",",0","0","1,0","1","1,0","0",",0","18",",0","0",",0","","","","","-0.6","1,0,29,","0",",,0,31,+","0",",,0,31,+","77.5",",,0,11,","28.9",",0,09,","101.5","1,,,0","142.8","0","99.3",",0","","","","","116.1",",,,0","0",",,,0","15.56","1,0","22.41",",,,0","8.71","1,,,0","","","4652",",,,0","",""
"USC00145210","1973-11","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","","","0.0","2,0","3",",0","3",",0","1",",0","0",",0","0",",0","0","2,0","15","2,0","0",",0","3",",0","0",",0","","","","","-5.6","2,0,10,","0",",,0,30,+","0",",,0,30,+","59.2",",,0,20,","24.4",",0,15,","","","450.9","0","308.1",",0","","","","","70.9",",,,0","0",",,,0","7.25","2,0","13.62",",,,0","0.88","2,,,0","","","","","",""
"USC00145210","1973-12","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","","","0.0",",0","7",",0","4",",0","1",",0","","","","","1",",0","29",",0","6",",0","0",",0","0",",0","","","","","-21.1",",0,31,","","","","","41.9",",,0,04,","17.8",",0,03,","","","1045.5","0","594.6",",0","","","","","65.8",",,,0","","","-0.85",",0","4.80",",,,0","-6.49",",,,0","","","","","",""
"USC00145210","1974-01","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","0.0","0","0.0",",0","5",",0","3",",0","0",",0","17",",0","3",",0","10",",0","29",",0","14",",0","0",",0","0",",0","","","","","-26.7",",0,12,","305",",,0,15,+","76",",,0,10,","5.6",",,0,10,","17.8",",0,31,","","","1785.1","0","739.6",",0","","","","","15.0",",,,0","126",",,,0","-5.53",",0","0.00",",,,0","-11.05",",,,0","","","","","",""
"USC00145210","1974-02","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","0.0","0","0.0","1,0","4",",0","2",",0","0",",0","3",",0","2",",0","0","1,0","25","1,0","3",",0","1",",0","0",",0","","","","","-13.3","1,0,25,+","25",",,0,25,+","25",",,0,24,+","16.5",",,0,21,","21.1",",0,13,","","","2247.3","0","462.2",",0","","","","","28.0",",,,0","50",",,,0","1.19","1,0","8.53",",,,0","-6.16","1,,,0","","","","","",""
"USC00145210","1974-03","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","1.7","0","1.7",",0","6",",0","4",",0","0",",0","1",",0","1",",0","0",",0","15",",0","1",",0","10",",0","0",",0","","","","","-14.4",",0,24,","51",",,0,23,","38",",,0,23,","18.8",",,0,10,","27.2",",0,08,","","","2593.2","0","345.9",",0","","","","","44.0",",,,0","38",",,,0","7.23",",0","14.71",",,,0","-0.25",",,,0","","","","","",""
