"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00428119","1909-07","40.08003","-111.6046","1438.7","SPANISH FORK POWER HOUSE, UT US","","","188.9",",6","5",",6","1",",6","0",",6","","","","","0",",6","0",",6","0",",6","31",",6","19",",6","","","","","11.1",",6,28,","","","","","3.3",",,6,19,","38.3",",6,02,","","","0.0","","0.0",",6","6.3",",,,6","","","24.43",",6","33.01",",,,6","15.85",",,,6"
"USC00428119","1909-08","40.08003","-111.6046","1438.7","SPANISH FORK POWER HOUSE, UT US","","","160.2","1,6","12",",6","8",",6","0",",6","","","","","0","1,6","0","1,6","0",",6","31",",6","9",",6","","","","","11.7","1,6,03,","","","","","22.9",",,6,16,","35.6",",6,04,","","","0.0","","0.0",",6","66.7",",,,6","","","23.69","1,6","30.73",",,,6","16.65","1,,,6"
"USC00428119","1909-09","40.08003","-111.6046","1438.7","SPANISH FORK POWER HOUSE, UT US","","","16.9","3,6","","","","","","","","","","","0",",6","0",",6","0","3,6","24","3,6","0","3,6","","","","","2.2",",6,22,","","","","","","","28.9","3,6,10,","","","50.8","","50.8","3,6","","","","","17.18","3,6","24.23","3,,,6","10.13",",,,6"
"USC00428119","1909-11","40.08003","-111.6046","1438.7","SPANISH FORK POWER HOUSE, UT US","","","0.0","1,6","7",",6","6",",6","1",",6","","","","","0",",6","12",",6","0","1,6","4","1,6","0","1,6","","","","","-8.3",",6,16,","","","","","25.4",",,6,21,","22.2","1,6,05,","","","","","354.1","1,6","66.9",",,,6","","","6.09","1,6","11.21","1,,,6","0.96",",,,6"
"USC00428119","1909-12","40.08003","-111.6046","1438.7","SPANISH FORK POWER HOUSE, UT US","","","0.0","2,6","","","","","","","","","","","1","2,6","29","2,6","20","2,6","0","2,6","0","2,6","","","","","-20.0","2,6,18,","","","","","","","8.9","2,6,02,","","","","","684.5","2,6","","","","","-5.27","2,6","-0.35","2,,,6","-10.19","2,,,6"
"USC00428119","1910-01","40.08003","-111.6046","1438.7","SPANISH FORK POWER HOUSE, UT US","0.0","6","0.0","1,6","","","","","","","","","","","2","1,6","28","1,6","6",",6","0",",6","0",",6","","","","","-18.9","1,6,06,+","","","","","","","13.3",",6,24,+","","","","","591.3",",6","","","","","-1.22","1,6","4.04",",,,6","-6.48","1,,,6"
"USC00428119","1910-02","40.08003","-111.6046","1438.7","SPANISH FORK POWER HOUSE, UT US","0.0","6","0.0","2,6","","","","","","","","","","","0","2,6","24","2,6","5","1,6","0","1,6","0","1,6","","","","","-13.9","2,6,04,","","","","","","","17.8","1,6,14,","","","","","500.8","1,6","","","","","-0.94","2,6","4.36","1,,,6","-6.24","2,,,6"
"USC00428119","1910-03","40.08003","-111.6046","1438.7","SPANISH FORK POWER HOUSE, UT US","0.3","6","0.3",",6","4",",6","3",",6","0",",6","","","","","0",",6","6",",6","0",",6","7",",6","0",",6","","","","","-3.3",",6,30,","","","","","16.8",",,6,28,","24.4",",6,22,","","","","","254.2",",6","35.4",",,,6","","","10.14",",6","17.51",",,,6","2.77",",,,6"
"USC00428119","1910-04","40.08003","-111.6046","1438.7","SPANISH FORK POWER HOUSE, UT US","3.3","6","3.0",",6","4",",6","1",",6","0",",6","","","","","0",",6","5",",6","0",",6","18",",6","0",",6","","","","","-3.3",",6,04,","","","","","7.9",",,6,03,","29.4",",6,27,+","","","","","147.9",",6","10.3",",,,6","","","13.50",",6","21.48",",,,6","5.52",",,,6"
"USC00428119","1910-05","40.08003","-111.6046","1438.7","SPANISH FORK POWER HOUSE, UT US","20.9","6","17.6",",6","4",",6","1",",6","0",",6","","","","","0",",6","0",",6","0",",6","23",",6","2",",6","","","","","1.7",",6,02,","","","","","15.2",",,6,01,","33.9",",6,31,","","","","","90.6",",6","20.1",",,,6","","","15.98",",6","23.58",",,,6","8.38",",,,6"
