"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BLM00085289","1990-12","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0","4,S","0","4,S","","","","","","","18.4","4,S,14,","","","","","","","22.77","4,,,S"
"BLM00085289","1991-02","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","","","","","0","4,S","24","4,S","23","4,S","","","36.6","4,S,25,","","","34.71","4,,,S","",""
"BLM00085289","1991-04","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0","4,S","0","4,S","","","","","","","16.2","4,S,19,","","","","","","","21.06","4,,,S"
"BLM00085289","1991-05","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0","5,S","0","5,S","0","3,S","27","3,S","3","3,S","15.6","5,S,06,","33.2","3,S,28,+","24.45","7,S","28.79","3,,,S","20.10","5,,,S"
"BLM00085289","1991-06","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","","","","","0","5,S","20","5,S","3","5,S","","","34.2","5,S,03,","","","26.62","5,,,S","",""
"BLM00085289","1991-07","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","","","","","0","5,S","22","5,S","3","5,S","","","36.0","5,S,10,","","","27.42","5,,,S","",""
"BLM00085289","1991-09","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","","","","","0","5,S","25","5,S","11","5,S","","","39.0","5,S,28,","","","31.60","5,,,S","",""
"BLM00085289","1992-05","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","","","","","0","1,S","28","1,S","13","1,S","","","33.5","1,S,13,+","","","29.94","1,,,S","",""
"BLM00085289","1992-12","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","","","","","0","3,S","28","3,S","23","3,S","","","36.7","3,S,24,","","","33.40","3,,,S","",""
"BLM00085289","1993-03","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","","","","","0","4,S","27","4,S","24","4,S","","","37.5","4,S,16,","","","34.72","4,,,S","",""
"BLM00085289","1993-04","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0","5,S","0","5,S","0","5,S","25","5,S","11","5,S","17.7","5,S,10,","35.0","5,S,03,","26.29","8,S","31.00","5,,,S","21.58","5,,,S"
