"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DSND","DSND_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES"
"NOE00133411","1961-11","61.1142","10.6719","520.0","MESNA TYRIA, NO","2",",","220",",,E,30,"
"NOE00133411","1961-12","61.1142","10.6719","520.0","MESNA TYRIA, NO","31",",","630",",,E,31,"
"NOE00133411","1962-01","61.1142","10.6719","520.0","MESNA TYRIA, NO","31",",","770",",,E,22,"
"NOE00133411","1962-02","61.1142","10.6719","520.0","MESNA TYRIA, NO","28",",","840",",,E,16,+"
"NOE00133411","1962-03","61.1142","10.6719","520.0","MESNA TYRIA, NO","31",",","900",",,E,31,"
"NOE00133411","1962-04","61.1142","10.6719","520.0","MESNA TYRIA, NO","30",",","1120",",,E,04,"
"NOE00133411","1962-05","61.1142","10.6719","520.0","MESNA TYRIA, NO","12",",","310",",,E,01,"
"NOE00133411","1962-06","61.1142","10.6719","520.0","MESNA TYRIA, NO","0",",","0",",,E,30,+"
"NOE00133411","1962-07","61.1142","10.6719","520.0","MESNA TYRIA, NO","0",",","0",",,E,31,+"
"NOE00133411","1962-08","61.1142","10.6719","520.0","MESNA TYRIA, NO","0",",","0",",,E,31,+"
"NOE00133411","1962-09","61.1142","10.6719","520.0","MESNA TYRIA, NO","0",",","0",",,E,30,+"
"NOE00133411","1962-10","61.1142","10.6719","520.0","MESNA TYRIA, NO","2",",","80",",,E,31,"
"NOE00133411","1962-11","61.1142","10.6719","520.0","MESNA TYRIA, NO","19",",","190",",,E,21,+"
"NOE00133411","1962-12","61.1142","10.6719","520.0","MESNA TYRIA, NO","31",",","680",",,E,23,+"
"NOE00133411","1963-01","61.1142","10.6719","520.0","MESNA TYRIA, NO","31",",","510",",,E,03,+"
"NOE00133411","1963-02","61.1142","10.6719","520.0","MESNA TYRIA, NO","28",",","540",",,E,18,+"
"NOE00133411","1963-03","61.1142","10.6719","520.0","MESNA TYRIA, NO","31",",","610",",,E,25,"
"NOE00133411","1963-04","61.1142","10.6719","520.0","MESNA TYRIA, NO","30",",","600",",,E,16,"
"NOE00133411","1963-05","61.1142","10.6719","520.0","MESNA TYRIA, NO","2",",","80",",,E,01,"
"NOE00133411","1963-06","61.1142","10.6719","520.0","MESNA TYRIA, NO","0",",","0",",,E,30,+"
"NOE00133411","1963-07","61.1142","10.6719","520.0","MESNA TYRIA, NO","0",",","0",",,E,31,+"
"NOE00133411","1963-08","61.1142","10.6719","520.0","MESNA TYRIA, NO","0",",","0",",,E,31,+"
"NOE00133411","1963-09","61.1142","10.6719","520.0","MESNA TYRIA, NO","0",",","0",",,E,30,+"
"NOE00133411","1963-10","61.1142","10.6719","520.0","MESNA TYRIA, NO","0",",","10",",,E,14,+"
"NOE00133411","1963-11","61.1142","10.6719","520.0","MESNA TYRIA, NO","18",",","380",",,E,27,"
"NOE00133411","1963-12","61.1142","10.6719","520.0","MESNA TYRIA, NO","31",",","410",",,E,31,"
"NOE00133411","1964-01","61.1142","10.6719","520.0","MESNA TYRIA, NO","31",",","400",",,E,02,+"
"NOE00133411","1964-02","61.1142","10.6719","520.0","MESNA TYRIA, NO","29",",","560",",,E,28,"
"NOE00133411","1964-03","61.1142","10.6719","520.0","MESNA TYRIA, NO","31",",","530",",,E,01,"
"NOE00133411","1964-04","61.1142","10.6719","520.0","MESNA TYRIA, NO","19",",","390",",,E,02,+"
"NOE00133411","1964-05","61.1142","10.6719","520.0","MESNA TYRIA, NO","0",",","0",",,E,31,+"
"NOE00133411","1964-06","61.1142","10.6719","520.0","MESNA TYRIA, NO","1",",","90",",,E,01,"
"NOE00133411","1964-07","61.1142","10.6719","520.0","MESNA TYRIA, NO","0",",","0",",,E,31,+"
"NOE00133411","1964-08","61.1142","10.6719","520.0","MESNA TYRIA, NO","0",",","0",",,E,31,+"
"NOE00133411","1964-09","61.1142","10.6719","520.0","MESNA TYRIA, NO","0",",","0",",,E,30,+"
"NOE00133411","1964-10","61.1142","10.6719","520.0","MESNA TYRIA, NO","0",",","10",",,E,25,"
"NOE00133411","1964-11","61.1142","10.6719","520.0","MESNA TYRIA, NO","12",",","90",",,E,30,+"
"NOE00133411","1964-12","61.1142","10.6719","520.0","MESNA TYRIA, NO","31",",","640",",,E,31,"
"NOE00133411","1965-01","61.1142","10.6719","520.0","MESNA TYRIA, NO","31",",","1000",",,E,24,"
"NOE00133411","1965-02","61.1142","10.6719","520.0","MESNA TYRIA, NO","28",",","860",",,E,02,+"
"NOE00133411","1965-03","61.1142","10.6719","520.0","MESNA TYRIA, NO","31",",","850",",,E,21,+"
"NOE00133411","1965-04","61.1142","10.6719","520.0","MESNA TYRIA, NO","30",",","820",",,E,20,"
"NOE00133411","1965-05","61.1142","10.6719","520.0","MESNA TYRIA, NO","7",",","300",",,E,01,"
"NOE00133411","1965-06","61.1142","10.6719","520.0","MESNA TYRIA, NO","0",",","0",",,E,30,+"
"NOE00133411","1965-07","61.1142","10.6719","520.0","MESNA TYRIA, NO","0",",","0",",,E,31,+"
"NOE00133411","1965-08","61.1142","10.6719","520.0","MESNA TYRIA, NO","0",",","0",",,E,31,+"
"NOE00133411","1965-09","61.1142","10.6719","520.0","MESNA TYRIA, NO","0",",","0",",,E,30,+"
"NOE00133411","1965-10","61.1142","10.6719","520.0","MESNA TYRIA, NO","0",",","0",",,E,31,+"
"NOE00133411","1965-11","61.1142","10.6719","520.0","MESNA TYRIA, NO","12",",","470",",,E,30,+"
"NOE00133411","1965-12","61.1142","10.6719","520.0","MESNA TYRIA, NO","31",",","680",",,E,27,"
"NOE00133411","1966-01","61.1142","10.6719","520.0","MESNA TYRIA, NO","31",",","720",",,E,31,+"
"NOE00133411","1966-02","61.1142","10.6719","520.0","MESNA TYRIA, NO","28",",","1060",",,E,26,+"
"NOE00133411","1966-03","61.1142","10.6719","520.0","MESNA TYRIA, NO","31",",","970",",,E,01,"
"NOE00133411","1966-04","61.1142","10.6719","520.0","MESNA TYRIA, NO","30",",","1060",",,E,04,"
"NOE00133411","1966-05","61.1142","10.6719","520.0","MESNA TYRIA, NO","15",",","600",",,E,01,"
"NOE00133411","1966-06","61.1142","10.6719","520.0","MESNA TYRIA, NO","0",",","0",",,E,30,+"
"NOE00133411","1966-07","61.1142","10.6719","520.0","MESNA TYRIA, NO","0",",","0",",,E,31,+"
"NOE00133411","1966-08","61.1142","10.6719","520.0","MESNA TYRIA, NO","0",",","0",",,E,31,+"
"NOE00133411","1966-09","61.1142","10.6719","520.0","MESNA TYRIA, NO","0",",","0",",,E,30,+"
"NOE00133411","1966-10","61.1142","10.6719","520.0","MESNA TYRIA, NO","5",",","120",",,E,29,+"
"NOE00133411","1966-11","61.1142","10.6719","520.0","MESNA TYRIA, NO","13",",","230",",,E,27,+"
"NOE00133411","1966-12","61.1142","10.6719","520.0","MESNA TYRIA, NO","31",",","960",",,E,30,"
"NOE00133411","1967-01","61.1142","10.6719","520.0","MESNA TYRIA, NO","31",",","1100",",,E,31,"
"NOE00133411","1967-02","61.1142","10.6719","520.0","MESNA TYRIA, NO","28",",","1160",",,E,28,"
"NOE00133411","1967-03","61.1142","10.6719","520.0","MESNA TYRIA, NO","31",",","1160",",,E,01,"
"NOE00133411","1967-04","61.1142","10.6719","520.0","MESNA TYRIA, NO","30",",","1280",",,E,06,"
"NOE00133411","1967-05","61.1142","10.6719","520.0","MESNA TYRIA, NO","23",",","800",",,E,04,"
"NOE00133411","1967-06","61.1142","10.6719","520.0","MESNA TYRIA, NO","0",",","0",",,E,30,+"
"NOE00133411","1967-07","61.1142","10.6719","520.0","MESNA TYRIA, NO","0",",","0",",,E,31,+"
"NOE00133411","1967-08","61.1142","10.6719","520.0","MESNA TYRIA, NO","0",",","0",",,E,31,+"
"NOE00133411","1967-09","61.1142","10.6719","520.0","MESNA TYRIA, NO","0",",","0",",,E,30,+"
"NOE00133411","1967-10","61.1142","10.6719","520.0","MESNA TYRIA, NO","1",",","30",",,E,21,"
"NOE00133411","1967-11","61.1142","10.6719","520.0","MESNA TYRIA, NO","22",",","300",",,E,29,"
"NOE00133411","1967-12","61.1142","10.6719","520.0","MESNA TYRIA, NO","31",",","700",",,E,28,"
"NOE00133411","1968-01","61.1142","10.6719","520.0","MESNA TYRIA, NO","31",",","820",",,E,18,"
"NOE00133411","1968-02","61.1142","10.6719","520.0","MESNA TYRIA, NO","29",",","1110",",,E,08,"
"NOE00133411","1968-03","61.1142","10.6719","520.0","MESNA TYRIA, NO","31",",","1000",",,E,24,"
"NOE00133411","1968-04","61.1142","10.6719","520.0","MESNA TYRIA, NO","28",",","920",",,E,04,"
"NOE00133411","1968-05","61.1142","10.6719","520.0","MESNA TYRIA, NO","2",",","50",",,E,06,"
"NOE00133411","1968-06","61.1142","10.6719","520.0","MESNA TYRIA, NO","0",",","0",",,E,30,+"
"NOE00133411","1968-07","61.1142","10.6719","520.0","MESNA TYRIA, NO","0",",","0",",,E,31,+"
"NOE00133411","1968-08","61.1142","10.6719","520.0","MESNA TYRIA, NO","0",",","0",",,E,31,+"
"NOE00133411","1968-09","61.1142","10.6719","520.0","MESNA TYRIA, NO","0",",","0",",,E,30,+"
"NOE00133411","1968-10","61.1142","10.6719","520.0","MESNA TYRIA, NO","8",",","150",",,E,28,"
"NOE00133411","1968-11","61.1142","10.6719","520.0","MESNA TYRIA, NO","30",",","220",",,E,23,"
"NOE00133411","1968-12","61.1142","10.6719","520.0","MESNA TYRIA, NO","31",",","280",",,E,26,+"
"NOE00133411","1969-01","61.1142","10.6719","520.0","MESNA TYRIA, NO","31",",","970",",,E,19,"
"NOE00133411","1969-02","61.1142","10.6719","520.0","MESNA TYRIA, NO","28",",","880",",,E,20,+"
"NOE00133411","1969-03","61.1142","10.6719","520.0","MESNA TYRIA, NO","31",",","800",",,E,02,+"
"NOE00133411","1969-04","61.1142","10.6719","520.0","MESNA TYRIA, NO","30",",","760",",,E,01,"
"NOE00133411","1969-05","61.1142","10.6719","520.0","MESNA TYRIA, NO","11",",","420",",,E,01,"
"NOE00133411","1969-06","61.1142","10.6719","520.0","MESNA TYRIA, NO","0",",","0",",,E,30,+"
"NOE00133411","1969-07","61.1142","10.6719","520.0","MESNA TYRIA, NO","0",",","0",",,E,31,+"
"NOE00133411","1969-08","61.1142","10.6719","520.0","MESNA TYRIA, NO","0",",","0",",,E,31,+"
