"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"FSM00061997","1980-11","-46.433","51.85","142.0","ALFRED FAURE ILES CROZET, FS","17","5,S","11","5,S","1","5,S","","","","","","","","","","","","","30.0","5,,S,27,","","","168.0","5,,,S","","","","","",""
"FSM00061997","1980-12","-46.433","51.85","142.0","ALFRED FAURE ILES CROZET, FS","19","4,S","14","4,S","2","4,S","","","","","","","","","","","","","47.0","4,,S,17,","","","237.6","4,,,S","","","","","",""
"FSM00061997","1981-04","-46.433","51.85","142.0","ALFRED FAURE ILES CROZET, FS","16","5,S","11","5,S","0","5,S","","","","","","","","","","","","","22.1","5,,S,29,","","","113.7","5,,,S","","","","","",""
"FSM00061997","1981-08","-46.433","51.85","142.0","ALFRED FAURE ILES CROZET, FS","20","4,S","15","4,S","1","4,S","","","","","","","","","","","","","31.0","4,,S,05,","","","180.2","4,,,S","","","","","",""
"FSM00061997","1981-09","-46.433","51.85","142.0","ALFRED FAURE ILES CROZET, FS","18","5,S","13","5,S","3","5,S","","","","","","","","","","","","","45.0","5,,S,20,","","","172.8","5,,,S","","","","","",""
"FSM00061997","1981-11","-46.433","51.85","142.0","ALFRED FAURE ILES CROZET, FS","18","5,S","12","5,S","3","5,S","","","","","","","","","","","","","89.9","5,,S,23,","","","234.6","5,,,S","","","","","",""
"FSM00061997","1982-04","-46.433","51.85","142.0","ALFRED FAURE ILES CROZET, FS","21","3,S","13","3,S","3","3,S","","","","","","","","","","","","","41.9","3,,S,13,","","","209.9","3,,,S","","","","","",""
"FSM00061997","1982-07","-46.433","51.85","142.0","ALFRED FAURE ILES CROZET, FS","24","3,S","19","3,S","1","3,S","","","","","","","","","","","","","30.0","3,,S,02,","","","237.8","3,,,S","","","","","",""
"FSM00061997","1982-08","-46.433","51.85","142.0","ALFRED FAURE ILES CROZET, FS","26","1,S","16","1,S","2","1,S","","","","","","","","","","","","","39.9","1,,S,10,","","","215.3","1,,,S","","","","","",""
"FSM00061997","1982-11","-46.433","51.85","142.0","ALFRED FAURE ILES CROZET, FS","19","4,S","9","4,S","1","4,S","","","","","","","","","","","","","27.9","4,,S,21,","","","133.5","4,,,S","","","","","",""
"FSM00061997","1983-03","-46.433","51.85","142.0","ALFRED FAURE ILES CROZET, FS","22","5,S","14","5,S","1","5,S","","","","","","","","","","","","","30.0","5,,S,17,","","","145.0","5,,,S","","","","","",""
